miRNA,GSM2837756,GSM2837757,GSM2837760,GSM2837761,GSM2837764,GSM2837765,GSM2837768,GSM2837769,GSM2837772,GSM2837773,GSM2837776,GSM2837777
hsa-let-7a-2-3p,0.23,0.0,0.25,0.0,1.39,0.0,1.13,0.0,0.0,0.0,0.0,0.84
hsa-let-7a-3p,6.11,29.72,6.06,27.83,2.78,9.05,10.2,13.64,0.0,0.0,8.12,4.22
hsa-let-7a-5p,1049.36,7647.53,1403.2,6060.09,1730.4,4678.1,877.52,4404.82,1881.61,866.81,853.88,1357.86
hsa-let-7b-3p,2.62,4.72,1.97,12.43,5.55,33.2,3.4,0.0,0.0,5.4,9.47,2.11
hsa-let-7b-5p,378.24,858.22,428.36,811.09,469.02,1315.9,269.83,784.54,346.61,136.68,242.23,251.75
hsa-let-7c-5p,1.26,6.13,9.75,24.87,80.48,256.54,103.17,191.02,49.52,1.8,131.26,84.76
hsa-let-7d-3p,15.06,133.99,28.02,136.76,52.73,138.83,32.88,68.22,0.0,19.78,35.18,36.69
hsa-let-7d-5p,101.39,281.67,129.76,224.38,102.69,226.36,69.16,147.81,74.27,26.98,59.54,80.54
hsa-let-7e-3p,0.97,2.83,0.41,2.37,1.39,3.02,1.13,0.0,0.0,1.8,1.35,1.27
hsa-let-7e-5p,102.48,282.61,87.16,181.76,460.7,660.97,188.2,391.13,173.31,97.11,232.75,174.58
hsa-let-7f-1-3p,1.03,1.42,1.72,2.96,0.0,0.0,0.0,2.27,0.0,0.0,2.71,0.0
hsa-let-7f-2-3p,0.74,0.0,0.49,0.0,1.39,3.02,0.0,0.0,0.0,0.0,0.0,0.84
hsa-let-7f-5p,1863.93,9483.8,4211.31,7767.52,4024.18,7955.79,1798.12,6301.36,2153.95,1390.14,2228.76,2498.55
hsa-let-7g-3p,1.54,0.0,0.25,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,237.08,756.31,259.19,480.73,169.29,531.19,187.07,438.89,148.55,86.32,261.17,167.84
hsa-let-7i-3p,1.88,0.94,1.31,2.96,4.16,15.09,5.67,4.55,24.76,0.0,4.06,1.69
hsa-let-7i-5p,435.93,954.94,342.75,611.57,1032.41,2133.82,699.52,1371.25,445.64,230.19,757.81,598.81
hsa-miR-1-3p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-3p,1.31,6.61,0.74,1.78,2.78,9.05,3.4,22.74,0.0,1.8,2.71,5.48
hsa-miR-100-5p,359.07,933.71,319.4,1039.02,441.27,1828.99,608.82,1405.36,767.5,472.97,630.6,502.24
hsa-miR-101-3p,81.37,133.05,71.43,142.09,67.99,265.6,40.81,131.89,49.52,35.97,14.89,39.64
hsa-miR-101-5p,0.8,3.3,0.25,2.37,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-10393-5p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.42
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-10395-3p,2.91,0.0,3.44,0.59,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.51,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.06,0.0,0.16,0.59,0.0,0.0,1.13,2.27,0.0,0.0,0.0,0.42
hsa-miR-10396b-5p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,1.08,17.46,0.41,2.96,1.39,15.09,2.27,22.74,0.0,14.39,2.71,37.11
hsa-miR-10399-5p,0.06,3.77,0.0,1.78,0.0,0.0,0.0,11.37,0.0,3.6,1.35,10.12
hsa-miR-103a-1-5p,0.17,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.46,0.0,0.08,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,48.5,548.71,247.81,276.48,199.82,72.44,5.67,27.29,222.82,8.99,29.77,13.49
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-10401-3p,0.74,2.36,0.41,0.59,2.78,6.04,6.8,2.27,0.0,5.4,0.0,2.95
hsa-miR-10527-5p,0.0,4.25,0.0,0.59,0.0,0.0,1.13,4.55,0.0,7.19,0.0,8.86
hsa-miR-106a-5p,0.23,0.47,0.25,0.59,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,78.74,109.46,34.49,75.78,27.75,54.33,39.68,102.33,49.52,8.99,41.95,39.64
hsa-miR-106b-5p,44.39,69.36,56.61,76.37,11.1,30.18,12.47,18.19,49.52,0.0,10.83,10.54
hsa-miR-107,82.11,39.16,10.73,16.58,26.37,6.04,41.95,29.56,123.79,0.0,36.54,6.75
hsa-miR-10a-3p,0.11,0.0,0.0,0.0,1.39,0.0,0.0,2.27,0.0,0.0,0.0,0.42
hsa-miR-10a-5p,70.81,129.28,64.22,148.01,2403.41,4267.64,259.63,520.76,272.34,167.25,351.84,103.74
hsa-miR-10b-3p,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0
hsa-miR-10b-5p,211.17,321.3,134.51,281.22,2622.65,5471.87,1561.16,1855.62,2772.89,145.67,3766.02,618.63
hsa-miR-1180-3p,3.31,13.68,2.05,14.8,2.78,6.04,3.4,9.1,0.0,0.0,4.06,7.17
hsa-miR-1181,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.06,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.84
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,1.39,0.0,0.0,2.27,0.0,0.0,0.0,0.0
hsa-miR-1185-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1207-5p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12133,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.57,0.0,0.41,1.18,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1226-3p,0.17,1.42,0.16,1.18,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-1227-3p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.23,0.47,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1243,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.17,0.47,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,36.52,88.23,7.7,31.38,0.0,0.0,9.07,25.01,0.0,12.59,1.35,3.37
hsa-miR-1247-5p,0.11,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,0.8,3.3,2.13,2.37,1.39,0.0,5.67,0.0,24.76,0.0,5.41,0.84
hsa-miR-1249-3p,0.4,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.42
hsa-miR-1252-5p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.51,0.47,0.57,0.59,1.39,0.0,0.0,0.0,0.0,0.0,1.35,0.0
hsa-miR-1255b-5p,0.06,0.0,0.08,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1256,0.06,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,1.83,10.85,2.95,8.29,8.33,21.13,4.53,15.92,0.0,1.8,5.41,6.33
hsa-miR-125a-5p,186.75,750.17,334.48,597.96,570.32,2520.14,602.02,1177.95,569.43,194.22,713.15,525.43
hsa-miR-125b-1-3p,3.42,16.99,4.26,27.23,40.24,117.71,56.69,70.5,0.0,21.58,63.6,32.47
hsa-miR-125b-2-3p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,2.27,0.0,1.8,0.0,0.84
hsa-miR-125b-5p,60.94,81.62,33.91,66.9,224.8,736.42,311.78,479.82,198.06,71.93,595.42,197.35
hsa-miR-126-3p,1.77,8.96,0.98,4.14,1.39,3.02,6.8,11.37,0.0,1.8,5.41,4.22
hsa-miR-126-5p,17.63,119.37,8.36,31.38,16.65,78.47,20.41,77.32,0.0,12.59,24.36,45.96
hsa-miR-1260a,0.0,0.94,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.42
hsa-miR-1260b,3.31,15.1,0.82,8.29,18.04,12.07,24.94,13.64,24.76,5.4,28.42,32.89
hsa-miR-1262,0.74,0.0,0.16,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1266-5p,0.46,0.47,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
hsa-miR-1268a,0.86,0.94,0.08,2.37,0.0,3.02,1.13,0.0,0.0,0.0,4.06,0.84
hsa-miR-1268b,0.0,0.94,0.33,0.0,2.78,0.0,2.27,6.82,0.0,0.0,0.0,0.42
hsa-miR-127-3p,0.57,3.3,0.74,0.59,58.28,153.92,30.61,40.93,24.76,8.99,39.24,11.81
hsa-miR-127-5p,0.0,0.0,0.08,0.0,0.0,0.0,4.53,6.82,0.0,3.6,2.71,0.84
hsa-miR-1270,0.0,0.0,0.0,0.59,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1271-3p,0.4,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,8.96,15.1,19.91,50.32,1.39,6.04,1.13,0.0,0.0,1.8,2.71,0.84
hsa-miR-1273h-5p,0.0,0.0,0.0,0.59,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-1275,0.91,3.77,1.8,9.47,0.0,15.09,2.27,0.0,24.76,0.0,2.71,0.0
hsa-miR-1276,0.11,1.89,0.0,1.78,0.0,6.04,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-1277-3p,0.11,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1278,0.51,0.47,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.46,1.89,0.16,3.55,1.39,0.0,3.4,0.0,0.0,0.0,0.0,0.84
hsa-miR-128-3p,84.1,117.01,52.26,155.11,73.55,223.34,60.09,138.72,0.0,34.17,46.01,53.56
hsa-miR-1281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-1284,0.06,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-3p,11.53,13.21,7.21,14.21,5.55,9.05,1.13,6.82,24.76,3.6,0.0,3.8
hsa-miR-1285-5p,0.86,3.77,0.66,4.14,0.0,6.04,1.13,2.27,0.0,0.0,0.0,9.7
hsa-miR-1286,0.23,0.94,0.25,0.0,0.0,3.02,0.0,0.0,0.0,0.0,1.35,0.84
hsa-miR-1287-3p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,0.68,0.47,0.16,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-1-3p,0.11,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0
hsa-miR-129-2-3p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,2.45,4.25,0.57,1.18,0.0,0.0,0.0,2.27,0.0,0.0,1.35,0.42
hsa-miR-1291,0.51,1.42,0.49,4.14,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.42
hsa-miR-1292-3p,0.0,0.0,0.0,0.0,0.0,3.02,0.0,2.27,0.0,0.0,0.0,0.0
hsa-miR-1292-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1293,0.74,1.42,0.33,0.0,2.78,15.09,4.53,9.1,0.0,8.99,0.0,2.11
hsa-miR-1294,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-3p,0.11,0.47,0.16,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,12.21,17.46,5.9,14.21,2.78,6.04,2.27,4.55,0.0,0.0,1.35,1.27
hsa-miR-1297,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1299,0.0,0.0,0.08,0.0,4.16,3.02,0.0,0.0,0.0,0.0,1.35,0.0
hsa-miR-1301-3p,0.57,1.42,0.25,0.59,1.39,0.0,1.13,2.27,0.0,1.8,1.35,0.42
hsa-miR-1303,0.46,2.36,0.16,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
hsa-miR-1304-5p,0.29,0.0,0.82,1.18,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0
hsa-miR-1305,0.4,1.42,0.25,0.0,0.0,3.02,0.0,2.27,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,0.11,2.36,0.08,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11
hsa-miR-1306-5p,0.34,1.42,0.08,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
hsa-miR-1307-3p,30.87,46.71,18.92,49.14,11.1,51.31,15.87,18.19,24.76,10.79,10.83,16.02
hsa-miR-1307-5p,287.69,247.7,140.66,417.39,142.93,449.7,137.18,325.19,49.52,104.31,82.55,142.11
hsa-miR-130a-3p,170.38,346.31,185.96,386.01,154.03,470.83,114.51,338.83,148.55,97.11,119.08,152.65
hsa-miR-130a-5p,3.2,1.42,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-3p,32.18,67.0,31.38,53.28,11.1,36.22,17.01,20.47,49.52,7.19,8.12,14.76
hsa-miR-130b-5p,3.77,20.29,2.95,27.83,0.0,9.05,0.0,4.55,0.0,5.4,1.35,3.37
hsa-miR-132-3p,3.54,9.91,5.82,14.8,26.37,45.27,6.8,11.37,0.0,5.4,12.18,7.59
hsa-miR-132-5p,0.46,1.42,0.41,0.59,2.78,9.05,0.0,9.1,0.0,0.0,1.35,0.84
hsa-miR-133a-3p,0.0,1.89,0.0,0.0,1.39,9.05,5.67,0.0,0.0,0.0,0.0,2.53
hsa-miR-134-3p,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,0.17,0.0,0.0,0.0,2.78,9.05,7.94,13.64,0.0,0.0,6.77,1.69
hsa-miR-1343-3p,0.17,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1343-5p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-5p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135b-3p,0.46,0.47,0.33,1.18,1.39,0.0,0.0,0.0,0.0,0.0,2.71,0.0
hsa-miR-135b-5p,14.72,10.85,7.37,4.14,6.94,42.25,5.67,9.1,0.0,3.6,12.18,11.39
