miRNA,SRR6502956,SRR6502957,SRR6502958,SRR6502959,SRR6502960,SRR6502961,SRR6502962,SRR6502963,SRR6502964,SRR6502965,SRR6502966,SRR6502967
hsa-let-7a-2-3p,6.03,16.95,11.12,4.38,34.32,25.8,0.0,16.32,13.09,10.52,10.04,8.55
hsa-let-7a-3p,31.66,260.56,474.71,16.05,472.17,471.5,4.85,166.04,427.67,31.56,112.02,148.14
hsa-let-7a-5p,8849.32,28886.22,5460.87,6726.96,16736.19,21253.81,249.53,8345.01,13392.1,8345.52,5475.89,8002.19
hsa-let-7b-3p,1.51,45.19,35.58,2.92,69.68,88.37,1.21,35.51,45.82,5.26,18.54,27.54
hsa-let-7b-5p,1106.73,4806.6,1146.21,1081.28,2959.93,4251.92,116.28,2531.82,6027.81,2185.67,2628.24,3661.62
hsa-let-7c-3p,1.51,0.71,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,232.2,541.6,34.46,97.77,65.52,396.68,1.21,68.14,100.37,34.19,43.26,67.42
hsa-let-7d-3p,60.31,105.92,78.93,17.51,119.6,134.81,19.38,109.41,244.39,115.73,94.25,94.01
hsa-let-7d-5p,245.77,919.38,240.14,116.74,499.22,516.01,10.9,471.24,517.14,504.99,198.55,216.51
hsa-let-7e-3p,4.52,30.36,23.35,10.21,30.16,25.16,0.0,12.48,9.82,5.26,7.73,4.75
hsa-let-7e-5p,743.35,2573.12,572.55,679.99,1274.04,1583.51,1.21,464.52,453.86,978.42,238.72,319.06
hsa-let-7f-1-3p,1.51,17.65,35.58,1.46,42.64,29.03,0.0,13.44,34.91,2.63,9.27,12.34
hsa-let-7f-2-3p,1.51,58.61,106.73,1.46,62.4,59.34,0.0,41.27,108.01,0.0,22.4,40.83
hsa-let-7f-5p,26314.24,53117.65,10882.83,10920.73,17050.28,20679.11,3064.59,18494.35,17367.73,9389.7,7323.85,8589.98
hsa-let-7g-3p,4.52,0.71,1.11,2.92,1.04,0.0,1.21,0.96,2.18,0.0,0.77,0.95
hsa-let-7g-5p,3205.6,23098.1,4938.35,839.05,9484.05,12478.42,1122.88,8496.65,8197.82,5084.11,4677.07,4443.13
hsa-let-7i-3p,6.03,35.31,25.57,1.46,12.48,23.87,0.0,2.88,1.09,0.0,6.18,4.75
hsa-let-7i-5p,3240.28,14907.03,3894.43,929.52,3751.39,9942.23,4951.8,6501.33,9587.76,5236.66,3717.55,6928.2
hsa-miR-1-3p,4.52,5.65,2.22,8.76,5.2,7.1,4.85,1.92,5.46,0.0,1.55,0.95
hsa-miR-100-3p,33.17,3.53,3.34,11.67,8.32,3.87,1.21,2.88,3.27,2.63,0.77,4.75
hsa-miR-100-5p,131758.18,89138.58,123801.27,113469.68,175702.98,199116.07,36870.77,200320.56,174489.0,117318.6,156853.25,243523.09
hsa-miR-101-2-5p,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0
hsa-miR-101-3p,1358.53,2801.2,2662.62,2280.75,2868.41,2779.36,598.38,1805.29,3863.25,320.88,1348.89,2354.98
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0
