miRNA,SRR6502956,SRR6502957,SRR6502958,SRR6502959,SRR6502960,SRR6502961,SRR6502962,SRR6502963,SRR6502964,SRR6502965,SRR6502966,SRR6502967
hsa-let-7a-2-3p,4.0,24.0,10.0,3.0,33.0,40.0,0.0,17.0,12.0,4.0,13.0,9.0
hsa-let-7a-3p,21.0,369.0,427.0,11.0,454.0,731.0,4.0,173.0,392.0,12.0,145.0,156.0
hsa-let-7a-5p,5869.0,40908.0,4912.0,4610.0,16092.0,32951.0,206.0,8695.0,12275.0,3173.0,7088.0,8427.0
hsa-let-7b-3p,1.0,64.0,32.0,2.0,67.0,137.0,1.0,37.0,42.0,2.0,24.0,29.0
hsa-let-7b-5p,734.0,6807.0,1031.0,741.0,2846.0,6592.0,96.0,2638.0,5525.0,831.0,3402.0,3856.0
hsa-let-7c-3p,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,154.0,767.0,31.0,67.0,63.0,615.0,1.0,71.0,92.0,13.0,56.0,71.0
hsa-let-7d-3p,40.0,150.0,71.0,12.0,115.0,209.0,16.0,114.0,224.0,44.0,122.0,99.0
hsa-let-7d-5p,163.0,1302.0,216.0,80.0,480.0,800.0,9.0,491.0,474.0,192.0,257.0,228.0
hsa-let-7e-3p,3.0,43.0,21.0,7.0,29.0,39.0,0.0,13.0,9.0,2.0,10.0,5.0
hsa-let-7e-5p,493.0,3644.0,515.0,466.0,1225.0,2455.0,1.0,484.0,416.0,372.0,309.0,336.0
hsa-let-7f-1-3p,1.0,25.0,32.0,1.0,41.0,45.0,0.0,14.0,32.0,1.0,12.0,13.0
hsa-let-7f-2-3p,1.0,83.0,96.0,1.0,60.0,92.0,0.0,43.0,99.0,0.0,29.0,43.0
hsa-let-7f-5p,17452.0,75224.0,9789.0,7484.0,16394.0,32060.0,2530.0,19270.0,15919.0,3570.0,9480.0,9046.0
hsa-let-7g-3p,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
hsa-let-7g-5p,2126.0,32711.0,4442.0,575.0,9119.0,19346.0,927.0,8853.0,7514.0,1933.0,6054.0,4679.0
hsa-let-7i-3p,4.0,50.0,23.0,1.0,12.0,37.0,0.0,3.0,1.0,0.0,8.0,5.0
hsa-let-7i-5p,2149.0,21111.0,3503.0,637.0,3607.0,15414.0,4088.0,6774.0,8788.0,1991.0,4812.0,7296.0
hsa-miR-1-3p,3.0,8.0,2.0,6.0,5.0,11.0,4.0,2.0,5.0,0.0,2.0,1.0
hsa-miR-100-3p,22.0,5.0,3.0,8.0,8.0,6.0,1.0,3.0,3.0,1.0,1.0,5.0
hsa-miR-100-5p,87384.0,126236.0,111358.0,77761.0,168940.0,308701.0,30439.0,208722.0,159934.0,44605.0,203031.0,256451.0
hsa-miR-101-2-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-101-3p,901.0,3967.0,2395.0,1563.0,2758.0,4309.0,494.0,1881.0,3541.0,122.0,1746.0,2480.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,29.0,810.0,90.0,22.0,165.0,228.0,2.0,11.0,14.0,3.0,14.0,10.0
hsa-miR-10395-5p,0.0,7.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10397-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,6.0,0.0,3.0,18.0,14.0,0.0,8.0,6.0,1.0,6.0,15.0
hsa-miR-10399-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,495.0,415.0,2174.0,133.0,778.0,4861.0,11.0,191.0,324.0,803.0,92.0,139.0
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,4.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,2.0,6.0,1.0,2.0
hsa-miR-105-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0
hsa-miR-10525-3p,0.0,5.0,1.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,2.0,4.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
hsa-miR-10527-5p,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
hsa-miR-106a-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,4.0,57.0,13.0,2.0,7.0,9.0,0.0,24.0,7.0,0.0,6.0,3.0
hsa-miR-106b-3p,246.0,347.0,119.0,144.0,258.0,385.0,233.0,359.0,294.0,88.0,267.0,362.0
hsa-miR-106b-5p,91.0,577.0,168.0,98.0,149.0,288.0,7.0,166.0,151.0,15.0,138.0,109.0
hsa-miR-107,50.0,174.0,27.0,29.0,130.0,67.0,2.0,27.0,30.0,6.0,21.0,232.0
hsa-miR-10a-3p,31.0,85.0,38.0,7.0,51.0,119.0,1.0,81.0,118.0,10.0,70.0,37.0
hsa-miR-10a-5p,6025.0,11581.0,14251.0,5345.0,8523.0,19817.0,1595.0,12603.0,13330.0,1212.0,6559.0,9281.0
hsa-miR-10b-3p,0.0,13.0,5.0,0.0,1.0,7.0,0.0,5.0,8.0,0.0,3.0,0.0
hsa-miR-10b-5p,1127.0,4841.0,3702.0,1222.0,508.0,3956.0,680.0,3705.0,4313.0,228.0,1530.0,2282.0
hsa-miR-1180-3p,29.0,74.0,60.0,11.0,76.0,214.0,4.0,86.0,159.0,20.0,117.0,154.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
hsa-miR-12121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,5.0,3.0
hsa-miR-122-5p,0.0,3.0,1.0,0.0,5.0,4.0,2.0,65.0,857.0,3.0,1.0,15.0
hsa-miR-1224-3p,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1224-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1226-3p,2.0,7.0,3.0,0.0,9.0,9.0,0.0,2.0,2.0,1.0,1.0,1.0
hsa-miR-1226-5p,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1227-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
