miRNA,GSM3059089,GSM3059090,GSM3059091,GSM3059095,GSM3059096,GSM3059097
hsa-let-7a-5p,500.32,351.81,596.68,418.78,232.2,338.7
hsa-let-7b-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-let-7b-5p,238.02,55.55,88.4,85.93,92.63,167.15
hsa-let-7c-5p,24.29,49.38,29.47,30.36,19.03,29.53
hsa-let-7d-3p,34.0,12.34,7.37,6.3,11.42,9.43
hsa-let-7d-5p,19.43,6.17,7.37,2.29,8.88,8.8
hsa-let-7e-3p,0.0,0.0,0.0,0.0,1.27,1.26
hsa-let-7e-5p,189.44,117.27,154.69,83.64,105.31,158.98
hsa-let-7f-5p,218.59,166.65,434.62,161.55,162.41,256.38
hsa-let-7g-5p,29.14,43.2,44.2,13.75,13.96,29.53
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,1.26
hsa-let-7i-5p,359.45,209.85,213.63,157.54,138.31,281.52
hsa-miR-100-3p,9.71,0.0,0.0,1.15,0.0,3.77
hsa-miR-100-5p,961.78,283.92,537.75,508.15,328.63,766.63
hsa-miR-101-3p,77.72,24.69,250.46,32.65,32.99,87.97
hsa-miR-101-5p,0.0,0.0,0.0,1.72,1.27,2.51
hsa-miR-10392-5p,0.0,6.17,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,1.72,2.54,1.26
hsa-miR-103a-3p,4.86,629.55,213.63,441.12,266.46,37.07
hsa-miR-10401-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-106b-3p,34.0,12.34,29.47,28.64,27.91,40.22
hsa-miR-106b-5p,4.86,0.0,22.1,0.57,0.0,4.4
hsa-miR-107,4.86,314.78,7.37,2.29,2.54,28.28
hsa-miR-10a-3p,0.0,0.0,0.0,0.57,1.27,0.63
hsa-miR-10a-5p,1330.94,740.65,928.17,403.88,387.0,735.21
hsa-miR-10b-5p,233.16,203.68,1613.25,299.62,176.37,278.38
hsa-miR-1180-3p,4.86,6.17,7.37,2.29,8.88,6.91
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.57,0.0,1.89
hsa-miR-1185-2-3p,4.86,0.0,0.0,1.15,0.0,0.63
hsa-miR-1193,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-1197,0.0,0.0,0.0,0.0,0.0,1.26
hsa-miR-122-5p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-1228-3p,0.0,0.0,0.0,1.15,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-1246,0.0,0.0,14.73,1.15,3.81,1.89
hsa-miR-1247-5p,213.73,61.72,44.2,64.74,39.33,55.3
hsa-miR-1248,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-125a-3p,4.86,0.0,0.0,16.04,40.6,33.3
hsa-miR-125a-5p,6168.97,1462.78,1974.2,3862.39,1098.83,2646.77
hsa-miR-125b-1-3p,43.72,18.52,0.0,25.21,22.84,43.99
hsa-miR-125b-2-3p,14.57,12.34,7.37,1.15,0.0,0.0
hsa-miR-125b-5p,869.48,197.51,169.43,460.03,173.83,370.12
hsa-miR-126-3p,92.29,12.34,147.33,23.49,19.03,53.41
hsa-miR-126-5p,442.03,240.71,736.64,186.19,191.6,341.84
hsa-miR-1262,0.0,0.0,0.0,0.57,0.0,0.63
hsa-miR-1269a,4.86,6.17,0.0,2.86,1.27,0.0
hsa-miR-1269b,0.0,0.0,7.37,1.72,5.08,4.4
hsa-miR-127-3p,92.29,55.55,95.76,411.9,31.72,40.85
hsa-miR-127-5p,9.71,0.0,0.0,3.44,1.27,2.51
hsa-miR-1270,0.0,0.0,0.0,0.57,0.0,1.26
hsa-miR-1273h-5p,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-1275,4.86,0.0,22.1,5.73,5.08,1.89
hsa-miR-128-1-5p,4.86,0.0,0.0,0.0,0.0,0.63
hsa-miR-128-3p,58.29,30.86,58.93,13.18,34.26,30.16
hsa-miR-1283,485.75,178.99,235.73,162.13,139.57,316.08
hsa-miR-1285-3p,0.0,0.0,0.0,1.72,2.54,6.91
hsa-miR-1285-5p,9.71,0.0,0.0,0.57,0.0,0.63
hsa-miR-1287-5p,0.0,6.17,0.0,1.72,1.27,1.89
hsa-miR-1294,0.0,0.0,0.0,0.0,0.0,0.63
hsa-miR-1296-5p,0.0,0.0,0.0,1.15,1.27,0.0
hsa-miR-1299,14.57,6.17,0.0,5.16,0.0,1.89
hsa-miR-1301-3p,4.86,0.0,14.73,7.45,1.27,11.94
hsa-miR-1306-3p,0.0,0.0,0.0,0.57,1.27,1.89
hsa-miR-1306-5p,4.86,0.0,0.0,0.57,0.0,1.89
hsa-miR-1307-3p,38.86,0.0,29.47,14.9,22.84,28.91
hsa-miR-1307-5p,34.0,6.17,66.3,4.58,15.23,27.02
hsa-miR-130a-3p,636.33,234.54,213.63,185.61,168.76,300.37
hsa-miR-130b-3p,121.44,12.34,14.73,9.74,11.42,30.79
hsa-miR-130b-5p,19.43,6.17,14.73,2.86,5.08,6.28
hsa-miR-132-3p,4.86,6.17,0.0,3.44,3.81,5.66
hsa-miR-132-5p,0.0,0.0,0.0,0.57,0.0,3.77
hsa-miR-1323,7519.34,2147.88,2666.65,3208.16,1947.69,4057.5
hsa-miR-133a-3p,0.0,0.0,0.0,6.3,2.54,6.91
hsa-miR-134-5p,0.0,0.0,0.0,3.44,2.54,4.4
hsa-miR-1343-3p,4.86,0.0,0.0,0.57,0.0,0.63
hsa-miR-135b-5p,0.0,0.0,0.0,0.0,1.27,0.0
hsa-miR-136-3p,116.58,49.38,162.06,44.11,40.6,98.66
hsa-miR-136-5p,48.57,43.2,154.69,25.78,20.3,69.75
hsa-miR-138-1-3p,0.0,0.0,0.0,0.0,2.54,1.89
hsa-miR-138-5p,38.86,30.86,0.0,13.75,10.15,20.11
hsa-miR-139-3p,0.0,0.0,0.0,0.57,0.0,0.0
hsa-miR-139-5p,4.86,6.17,0.0,0.0,0.0,1.89
hsa-miR-140-3p,0.0,6.17,44.2,4.58,2.54,8.17
