miRNA,SRR6905874,SRR6905875,SRR6905876,SRR6905877,SRR6905878,SRR6905879,SRR6905880,SRR6905881,SRR6905882,SRR6905883,SRR6905884,SRR6905885,SRR6905886
hsa-let-7a-2-3p,17.86,23.0,0.0,0.0,37.08,45.46,4.44,0.0,0.0,0.0,15.17,14.95,0.0
hsa-let-7a-3p,60.13,81.95,10.88,0.0,43.06,15.81,66.67,18.2,5.72,43.81,351.66,157.29,0.0
hsa-let-7a-5p,8353.37,10796.01,23165.26,27285.84,2763.53,2079.42,5040.49,6170.48,27358.97,20358.47,21694.18,16000.72,0.0
hsa-let-7b-3p,16.67,33.24,5.44,0.0,14.95,10.54,17.78,9.1,25.75,18.25,107.2,58.31,0.0
hsa-let-7b-5p,5529.42,8250.46,25397.82,29832.68,757.11,2930.03,5236.07,5515.21,17114.02,18124.41,6585.22,7342.17,38.54
hsa-let-7c-3p,5.06,5.23,0.0,0.0,1.2,1.32,4.44,0.0,2.86,0.0,13.37,15.44,0.0
hsa-let-7c-5p,647.79,1338.63,2578.96,2281.2,74.16,245.1,408.93,382.24,2912.42,1569.69,595.88,826.39,0.0
hsa-let-7d-3p,86.93,109.55,170.48,307.81,41.86,40.85,120.01,109.21,200.26,346.79,291.77,143.08,0.0
hsa-let-7d-5p,256.02,344.12,380.86,257.21,159.08,129.8,128.9,172.92,480.63,354.09,670.94,339.57,0.0
hsa-let-7e-3p,7.14,8.36,0.0,4.22,7.18,2.64,0.0,9.1,14.3,0.0,24.94,9.8,0.0
hsa-let-7e-5p,774.61,884.96,2109.23,2146.27,303.8,158.13,386.7,509.66,2191.46,1420.02,1557.3,1151.75,0.0
hsa-let-7f-1-3p,11.01,15.26,1.81,0.0,12.56,2.64,0.0,0.0,0.0,0.0,47.81,24.75,0.0
hsa-let-7f-2-3p,3.57,4.39,0.0,4.22,18.54,3.95,13.33,0.0,0.0,0.0,13.11,10.29,0.0
hsa-let-7f-5p,16581.7,20126.07,10665.85,18253.81,4702.36,1114.16,2920.29,2848.61,14633.6,13897.2,25427.27,23611.9,19.27
hsa-let-7g-3p,2.08,2.93,0.0,0.0,5.38,1.32,0.0,0.0,0.0,0.0,0.77,1.96,0.0
hsa-let-7g-5p,8548.36,10204.57,1737.44,2137.83,2172.67,1307.22,1173.45,1183.13,2265.85,1898.23,16986.56,11979.78,19.27
hsa-let-7i-3p,2.38,2.93,0.0,0.0,15.55,13.84,0.0,0.0,0.0,0.0,3.08,2.21,0.0
hsa-let-7i-5p,31782.68,28843.78,12909.29,12641.47,5041.45,6983.46,3693.69,3176.25,10985.93,10509.6,38440.64,33732.12,57.81
hsa-miR-1-3p,0.3,1.67,1.81,50.6,0.0,0.0,0.0,9.1,5.72,7.3,1.03,0.0,0.0
hsa-miR-100-3p,6.85,3.97,0.0,0.0,13.16,0.66,0.0,0.0,0.0,0.0,2.31,4.41,0.0
hsa-miR-100-5p,71486.47,75131.78,12490.34,31797.64,36558.56,42922.0,18219.56,15644.62,23719.88,30101.48,87424.77,106549.62,655.18
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.26,0.0,0.0
hsa-miR-101-3p,1461.39,1198.77,175.92,1028.86,720.63,1858.7,1071.22,819.09,589.35,1091.48,738.29,1336.72,19.27
hsa-miR-101-5p,0.3,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,1.46,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,1.03,1.23,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.3,0.0,5.44,37.95,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,3.27,0.63,1.81,0.0,62.79,43.49,0.0,18.2,14.3,0.0,1.03,1.47,0.0
hsa-miR-10395-5p,1.19,0.0,0.0,0.0,4.19,0.66,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-miR-10396a-3p,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10397-3p,0.0,0.0,9.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0
hsa-miR-10399-3p,19.05,10.45,155.97,37.95,3.59,3.29,22.22,9.1,105.85,40.15,17.48,13.48,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-miR-103a-2-5p,0.6,3.35,0.0,0.0,1.2,0.66,0.0,0.0,0.0,0.0,0.26,0.74,0.0
hsa-miR-103a-3p,1225.91,1304.13,97.94,12.65,466.47,486.91,84.45,36.4,25.75,146.02,2163.97,55.37,0.0
hsa-miR-10401-3p,50.01,47.88,0.0,0.0,20.93,34.92,0.0,9.1,0.0,0.0,10.28,10.78,0.0
hsa-miR-10401-5p,0.3,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,39.3,36.38,0.0,0.0,4.19,50.07,0.0,0.0,5.72,0.0,15.42,38.47,0.0
