miRNA,SRR6905874,SRR6905875,SRR6905876,SRR6905877,SRR6905878,SRR6905879,SRR6905880,SRR6905881,SRR6905882,SRR6905883,SRR6905884,SRR6905885,SRR6905886
hsa-let-7a-2-3p,60.0,110.0,0.0,0.0,62.0,69.0,1.0,0.0,0.0,0.0,59.0,61.0,0.0
hsa-let-7a-3p,202.0,392.0,6.0,0.0,72.0,24.0,15.0,2.0,2.0,12.0,1368.0,642.0,0.0
hsa-let-7a-5p,28060.0,51640.0,12773.0,6471.0,4621.0,3156.0,1134.0,678.0,9563.0,5577.0,84392.0,65309.0,0.0
hsa-let-7b-3p,56.0,159.0,3.0,0.0,25.0,16.0,4.0,1.0,9.0,5.0,417.0,238.0,0.0
hsa-let-7b-5p,18574.0,39464.0,14004.0,7075.0,1266.0,4447.0,1178.0,606.0,5982.0,4965.0,25617.0,29968.0,2.0
hsa-let-7c-3p,17.0,25.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,52.0,63.0,0.0
hsa-let-7c-5p,2176.0,6403.0,1422.0,541.0,124.0,372.0,92.0,42.0,1018.0,430.0,2318.0,3373.0,0.0
hsa-let-7d-3p,292.0,524.0,94.0,73.0,70.0,62.0,27.0,12.0,70.0,95.0,1135.0,584.0,0.0
hsa-let-7d-5p,860.0,1646.0,210.0,61.0,266.0,197.0,29.0,19.0,168.0,97.0,2610.0,1386.0,0.0
hsa-let-7e-3p,24.0,40.0,0.0,1.0,12.0,4.0,0.0,1.0,5.0,0.0,97.0,40.0,0.0
hsa-let-7e-5p,2602.0,4233.0,1163.0,509.0,508.0,240.0,87.0,56.0,766.0,389.0,6058.0,4701.0,0.0
hsa-let-7f-1-3p,37.0,73.0,1.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,186.0,101.0,0.0
hsa-let-7f-2-3p,12.0,21.0,0.0,1.0,31.0,6.0,3.0,0.0,0.0,0.0,51.0,42.0,0.0
hsa-let-7f-5p,55700.0,96268.0,5881.0,4329.0,7863.0,1691.0,657.0,313.0,5115.0,3807.0,98914.0,96375.0,1.0
hsa-let-7g-3p,7.0,14.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0
hsa-let-7g-5p,28715.0,48811.0,958.0,507.0,3633.0,1984.0,264.0,130.0,792.0,520.0,66079.0,48897.0,1.0
hsa-let-7i-3p,8.0,14.0,0.0,0.0,26.0,21.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0
hsa-let-7i-5p,106762.0,137967.0,7118.0,2998.0,8430.0,10599.0,831.0,349.0,3840.0,2879.0,149537.0,137682.0,3.0
hsa-miR-1-3p,1.0,8.0,1.0,12.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0
hsa-miR-100-3p,23.0,19.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0
hsa-miR-100-5p,240132.0,359374.0,6887.0,7541.0,61131.0,65144.0,4099.0,1719.0,8291.0,8246.0,340089.0,434896.0,34.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-101-3p,4909.0,5734.0,97.0,244.0,1205.0,2821.0,241.0,90.0,206.0,299.0,2872.0,5456.0,1.0
