miRNA,GSM3151945,GSM3151946,GSM3151947,GSM3151948,GSM3151949,GSM3151950,GSM3151951,GSM3151952,GSM3151953,GSM3151954,GSM3151955,GSM3151956,GSM3151957,GSM3151958,GSM3151959,GSM3151960,GSM3151961,GSM3151962,GSM3151963,GSM3151964,GSM3151965,GSM3151966,GSM3151967,GSM3151968,GSM3151969,GSM3151970,GSM3151971,GSM3151972
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,6.32,0.0,0.0,0.0,0.63,0.93,1.5,0.94,0.95,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,1.53,0.44,1.53,0.61,0.43,1.44,0.0,15.98,0.0,0.0
hsa-let-7a-5p,1239.24,1125.72,748.87,3621.22,1252.2,1683.2,3030.61,2384.0,1918.54,1288.79,375.23,0.0,0.0,8.0,714.76,1690.24,59.73,1639.33,3238.79,1809.06,5565.45,2025.86,894.47,1990.06,472.76,2236.6,4.41,17.69
hsa-let-7b-3p,6.32,6.25,0.0,0.0,0.04,0.0,0.21,0.0,0.22,0.21,7.82,0.0,0.0,0.0,13.36,0.0,0.0,0.0,0.35,0.0,0.17,0.1,0.17,0.1,0.0,15.98,0.0,0.0
hsa-let-7b-5p,214.97,175.11,219.18,596.9,461.86,640.61,1029.25,821.24,535.18,447.31,195.43,4.93,6.02,15.99,33.4,302.97,11.95,346.15,1233.8,521.9,2017.03,590.18,296.85,924.74,17.09,431.34,0.0,8.84
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,75.87,87.56,36.53,305.08,16.84,34.71,61.45,27.85,16.61,18.27,39.09,0.0,0.0,0.0,20.04,15.95,0.0,45.72,27.54,24.36,83.74,20.66,6.86,34.68,11.39,223.66,0.0,0.0
hsa-let-7d-3p,63.23,31.27,146.12,968.31,28.17,56.74,136.28,54.69,49.38,124.95,0.0,0.0,0.0,0.0,26.72,105.24,11.95,52.25,128.75,67.42,148.81,117.32,33.23,119.44,39.87,798.79,0.0,0.0
hsa-let-7d-5p,69.55,62.54,73.06,291.82,99.15,158.73,201.67,158.45,109.51,121.34,46.9,0.0,0.0,0.0,73.48,153.08,11.95,231.86,214.77,113.09,431.17,106.64,40.18,212.82,56.96,367.44,0.0,0.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.08,0.2,0.21,0.0,0.22,0.0,0.0,0.0,0.0,0.0,13.36,0.0,0.0,0.0,0.12,0.37,0.08,0.31,0.09,0.31,0.0,0.0,0.0,0.0
hsa-let-7e-5p,75.87,62.54,54.8,132.65,37.2,79.37,79.64,39.86,40.13,52.06,54.72,0.0,0.0,8.0,66.8,47.84,0.0,140.42,131.69,80.88,160.86,59.32,38.09,105.69,45.57,63.9,0.0,4.42
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0,15.98,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.14,0.0,0.11,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.17,0.2,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1833.57,1857.43,2301.41,3594.69,2231.54,2857.51,4931.84,3753.84,2738.12,3134.33,429.95,0.0,6.02,11.99,968.6,3775.93,0.0,3654.2,4619.93,2965.63,9528.33,2805.71,1117.91,3893.51,899.96,6086.75,0.0,13.27
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.04,0.16,0.14,0.07,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.17,0.1,0.26,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,271.87,293.94,127.86,1114.22,561.89,729.76,1146.49,781.02,794.33,562.05,54.72,0.0,6.02,0.0,73.48,395.45,0.0,506.17,1378.67,636.61,2358.01,761.64,414.26,1095.69,96.83,255.61,0.0,0.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.83,1.13,1.79,1.01,1.39,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.56,1.7,1.63,1.13,0.82,0.0,15.98,0.0,0.0
hsa-let-7i-5p,410.97,400.26,273.98,782.61,2012.55,2547.17,3070.5,2434.66,2484.37,2648.77,1055.34,4.93,36.14,27.98,100.2,1451.05,0.0,1423.8,2529.27,2086.71,6166.98,1984.44,948.88,3687.56,51.26,862.69,0.0,44.22
hsa-miR-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,7.82,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,75.87,175.11,54.8,159.17,3.64,2.9,4.8,1.51,6.07,11.05,922.44,0.0,24.1,23.99,26.72,22.32,0.0,68.58,4.0,3.86,7.04,5.19,1.04,3.28,11.39,207.68,0.0,39.8
hsa-miR-101-3p,177.03,187.62,164.39,756.08,348.64,447.97,751.46,553.92,440.11,522.95,31.27,0.0,0.0,0.0,240.48,210.48,0.0,205.73,765.07,429.37,916.97,514.07,337.03,722.49,102.53,1038.42,0.0,0.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.63,1.01,1.22,0.72,0.89,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,1.06,1.74,1.27,1.42,0.52,1.74,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,25.29,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.04,0.52,0.64,0.94,0.45,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.5,0.68,0.2,0.17,1.54,0.0,0.0,0.0,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.2,0.21,0.29,0.06,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.25,0.0,0.26,0.1,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.44,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.44,0.25,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,94.84,81.3,383.57,238.76,297.46,180.15,598.92,297.76,80.53,321.3,78.17,0.0,6.02,0.0,26.72,133.94,0.0,16.33,251.73,42.43,563.94,720.43,220.06,110.21,62.66,1070.37,0.0,0.0
hsa-miR-10401-3p,6.32,12.51,0.0,0.0,0.2,0.44,0.21,0.5,0.17,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,16.33,1.29,0.37,1.1,0.31,0.69,0.21,0.0,0.0,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.19,0.08,0.0,0.09,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.04,0.0,0.21,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.17,0.1,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,1.51,0.93,2.15,2.01,1.17,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,1.53,1.12,4.92,1.63,0.69,2.67,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,6.32,37.52,18.27,13.26,44.13,62.29,98.04,69.8,57.74,137.49,7.82,0.0,6.02,0.0,13.36,73.35,0.0,35.92,94.38,76.51,205.74,79.06,39.57,120.36,17.09,79.88,0.0,0.0
hsa-miR-106b-5p,12.65,0.0,18.27,159.17,25.23,29.07,59.8,33.1,31.49,46.32,0.0,0.0,0.0,0.0,13.36,12.76,0.0,16.33,64.96,38.32,74.83,37.14,20.48,54.59,0.0,31.95,0.0,0.0
hsa-miR-107,0.0,0.0,0.0,0.0,6.62,182.49,156.12,30.22,9.64,9.35,62.54,0.0,0.0,0.0,6.68,6.38,0.0,0.0,11.77,8.85,108.17,10.38,2.95,396.6,17.09,0.0,0.0,4.42
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.59,0.28,1.0,0.36,0.5,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.5,0.68,0.71,0.61,1.23,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,5513.37,1713.59,913.26,3037.58,309.47,391.56,592.97,417.21,326.53,482.58,23.45,4.93,0.0,4.0,1028.72,637.83,1170.65,1048.26,584.77,450.55,517.53,395.12,423.37,671.18,1087.92,2955.51,0.0,0.0
hsa-miR-10b-5p,4387.93,3045.69,1753.46,4563.0,57.6,60.84,175.31,83.18,97.64,194.22,46.9,4.93,0.0,0.0,1643.29,1361.76,59.73,1609.94,146.75,66.17,160.27,301.6,43.99,161.0,1327.15,6038.82,0.0,0.0
hsa-miR-11400,0.0,0.0,0.0,0.0,0.08,0.28,0.5,0.29,26.92,0.42,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.47,0.19,27.57,25.64,0.17,25.76,0.0,0.0,0.0,0.0
