miRNA,GSM3165497,GSM3165508,GSM3165510,GSM3165511
hsa-let-7a-5p,1698.99,1608.65,729.25,661.55
hsa-let-7b-5p,159.57,321.73,179.32,90.21
hsa-let-7c-5p,0.0,193.04,23.91,120.28
hsa-let-7d-3p,46.93,0.0,35.86,0.0
hsa-let-7d-5p,112.64,64.35,35.86,30.07
hsa-let-7e-5p,93.87,64.35,47.82,60.14
hsa-let-7f-5p,4336.64,1737.34,1936.69,1383.25
hsa-let-7g-5p,178.35,386.08,47.82,60.14
hsa-let-7i-5p,366.08,579.11,131.5,210.49
hsa-miR-100-5p,28.16,257.38,11.95,30.07
hsa-miR-101-3p,37.55,579.11,11.95,120.28
hsa-miR-10395-3p,0.0,64.35,0.0,0.0
hsa-miR-103a-3p,75.09,257.38,0.0,30.07
hsa-miR-106b-3p,28.16,128.69,0.0,0.0
hsa-miR-106b-5p,9.39,64.35,0.0,0.0
hsa-miR-107,28.16,0.0,0.0,0.0
hsa-miR-10a-3p,9.39,0.0,0.0,0.0
hsa-miR-10a-5p,4496.22,13319.61,1733.45,1112.61
hsa-miR-10b-5p,1436.16,4375.52,597.74,1172.76
hsa-miR-122-5p,0.0,128.69,11.95,0.0
hsa-miR-1247-5p,9.39,0.0,0.0,0.0
hsa-miR-1248,28.16,0.0,0.0,0.0
hsa-miR-125a-5p,262.83,321.73,83.68,90.21
hsa-miR-125b-5p,0.0,0.0,11.95,0.0
hsa-miR-126-3p,93.87,514.77,35.86,90.21
hsa-miR-126-5p,197.12,1222.57,286.92,631.48
hsa-miR-127-3p,18.77,0.0,0.0,0.0
hsa-miR-1275,9.39,0.0,23.91,0.0
hsa-miR-128-3p,46.93,0.0,11.95,30.07
hsa-miR-1285-3p,18.77,0.0,11.95,0.0
hsa-miR-1303,9.39,0.0,0.0,0.0
hsa-miR-1307-3p,37.55,0.0,0.0,0.0
hsa-miR-1307-5p,65.71,64.35,11.95,30.07
hsa-miR-130a-3p,18.77,0.0,35.86,30.07
hsa-miR-130b-3p,9.39,0.0,11.95,0.0
hsa-miR-132-3p,9.39,0.0,0.0,0.0
hsa-miR-133a-3p,9.39,64.35,0.0,0.0
hsa-miR-136-3p,0.0,64.35,0.0,0.0
hsa-miR-139-5p,0.0,0.0,0.0,30.07
hsa-miR-140-3p,9.39,0.0,0.0,0.0
hsa-miR-141-3p,206.51,579.11,59.77,30.07
