miRNA,GSM3477334,GSM3477335,GSM3477336,GSM3477337,GSM3477338,GSM3477339,GSM3477340,GSM3477341
hsa-let-7a-2-3p,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0
hsa-let-7a-3p,19.54,22.08,15.17,26.5,12.48,14.36,17.51,22.84
hsa-let-7a-5p,126.03,68.28,84.97,104.64,107.75,129.65,70.51,116.46
hsa-let-7b-3p,1.28,0.37,0.97,0.57,0.3,0.54,0.24,0.82
hsa-let-7b-5p,16.07,10.76,19.17,25.77,12.89,12.85,8.99,14.92
hsa-let-7c-3p,0.0,0.56,0.41,0.49,0.45,0.3,0.0,0.41
hsa-let-7c-5p,6.76,6.12,5.66,11.35,9.91,16.17,4.5,16.15
hsa-let-7d-3p,8.95,9.46,7.17,14.67,6.77,9.05,15.14,15.12
hsa-let-7d-5p,5.48,2.23,4.0,3.89,3.23,3.92,2.37,2.67
hsa-let-7e-3p,4.02,3.15,2.9,3.49,2.63,3.14,2.37,2.98
hsa-let-7e-5p,16.26,8.53,11.72,13.05,12.33,14.24,8.28,8.85
hsa-let-7f-1-3p,0.0,0.0,0.14,0.24,0.15,0.12,0.0,0.21
hsa-let-7f-2-3p,0.55,0.56,0.69,2.19,1.06,1.09,0.0,1.03
hsa-let-7f-5p,166.95,96.48,129.1,163.72,130.95,153.42,176.52,212.46
hsa-let-7g-3p,0.73,0.74,1.1,1.86,2.02,1.45,0.24,1.13
hsa-let-7g-5p,38.72,39.89,39.45,109.66,47.81,59.18,47.56,90.95
hsa-let-7i-3p,0.18,0.56,0.41,0.32,0.51,0.6,0.24,0.51
hsa-let-7i-5p,50.6,32.1,58.48,62.49,30.12,43.5,51.11,67.59
hsa-miR-1-3p,0.37,0.19,0.41,0.49,0.1,0.06,0.0,0.31
hsa-miR-100-5p,10.59,7.61,36.28,19.37,5.51,5.49,6.15,2.78
hsa-miR-101-2-5p,14.43,10.02,17.66,11.02,10.36,7.06,13.96,7.61
hsa-miR-101-3p,1209.36,2565.63,2981.24,4283.32,2150.87,2163.82,4784.49,3223.66
hsa-miR-101-5p,3.11,3.71,5.93,8.19,5.1,5.61,2.84,4.12
hsa-miR-10226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-10392-3p,0.37,0.0,0.0,0.0,0.05,0.06,0.0,0.0
hsa-miR-10392-5p,0.0,0.19,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.19,0.0,0.24,0.1,0.3,0.0,0.1
hsa-miR-10394-3p,2.56,0.93,1.52,0.97,1.42,2.05,0.95,1.34
hsa-miR-10394-5p,0.37,0.74,0.28,0.89,0.2,0.48,0.0,0.41
hsa-miR-10395-3p,0.0,0.0,0.0,0.08,0.05,0.0,0.24,0.51
hsa-miR-10396a-3p,0.18,0.19,0.0,0.57,0.3,0.24,0.95,0.1
hsa-miR-10396a-5p,0.0,0.0,0.14,0.0,0.15,0.06,0.24,0.0
hsa-miR-10396b-3p,1.28,0.37,0.69,0.32,0.05,0.42,0.47,0.41
hsa-miR-10396b-5p,0.0,0.19,0.0,0.32,0.2,0.12,0.24,1.44
hsa-miR-10397-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-10399-3p,1.1,0.19,0.55,0.49,0.2,0.12,0.24,0.1
hsa-miR-10399-5p,0.0,0.37,0.0,0.16,0.05,0.06,0.0,0.0
hsa-miR-103a-1-5p,0.18,0.0,0.14,0.16,0.0,0.06,0.71,0.0
hsa-miR-103a-2-5p,0.18,0.0,4.14,5.75,0.1,1.99,4.26,0.0
hsa-miR-103a-3p,344.49,410.6,293.93,60.79,94.56,442.41,226.21,10.19
hsa-miR-103b,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0
hsa-miR-10400-5p,0.37,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-10401-3p,4.02,2.04,9.24,5.27,9.55,6.58,13.49,7.82
hsa-miR-10401-5p,0.0,0.0,0.14,0.0,0.25,0.0,0.0,0.1
hsa-miR-105-3p,0.37,0.0,0.0,0.0,0.0,0.24,0.0,0.21
hsa-miR-105-5p,0.55,0.56,0.28,0.08,0.05,0.18,0.47,0.1
hsa-miR-10525-3p,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-10527-5p,1.83,0.56,0.83,0.73,0.61,0.72,2.13,1.03
hsa-miR-106a-5p,7.67,13.36,40.55,12.64,30.48,7.72,13.25,3.29
hsa-miR-106b-3p,143.2,244.91,217.1,318.61,125.79,190.77,183.38,203.5
hsa-miR-106b-5p,563.68,712.1,797.93,899.49,639.28,544.73,252.71,222.43
hsa-miR-107,22.1,20.04,16.28,20.34,11.83,21.9,12.07,22.84
hsa-miR-10a-3p,14.43,18.55,23.31,37.36,24.31,32.94,12.54,18.11
hsa-miR-10a-5p,13396.53,30994.83,32287.03,37447.81,27998.9,26845.51,24071.3,27212.27
hsa-miR-10b-3p,2.56,3.34,5.24,3.65,3.44,3.02,2.6,3.5
hsa-miR-10b-5p,29554.1,83643.17,63645.51,74994.98,26762.19,28008.33,70232.9,52365.01
hsa-miR-11399,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-1179,0.18,0.37,0.41,0.65,0.86,0.42,0.95,0.72
hsa-miR-1180-3p,264.12,158.82,190.76,225.4,206.71,194.93,207.52,322.54
hsa-miR-1180-5p,0.37,0.19,0.28,0.41,0.3,0.3,0.47,0.51
hsa-miR-1181,0.0,0.0,0.0,0.24,0.1,0.12,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-1197,0.55,0.37,0.97,0.57,0.15,0.18,0.0,0.21
hsa-miR-12114,0.37,0.19,0.14,0.24,0.0,0.18,0.0,0.1
hsa-miR-12121,0.0,0.0,0.0,0.0,0.05,0.0,0.24,0.31
hsa-miR-12127,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-12132,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.16,0.1,0.18,0.71,0.31
hsa-miR-122-3p,0.0,0.0,0.14,0.16,0.0,0.0,0.0,0.1
hsa-miR-122-5p,38.36,6.86,0.55,30.07,19.26,0.78,0.0,0.51
hsa-miR-1224-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-1224-5p,0.18,0.19,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1225-3p,1.46,0.37,1.38,0.89,2.73,1.39,2.13,1.95
hsa-miR-1225-5p,0.0,0.19,0.0,0.0,0.05,0.06,0.71,0.0
hsa-miR-1226-3p,3.84,1.48,1.93,2.11,2.48,2.11,2.37,1.44
hsa-miR-1226-5p,3.47,0.56,2.21,1.7,1.26,1.45,1.89,0.93
hsa-miR-1227-3p,0.0,0.37,0.0,0.16,0.05,0.0,0.0,0.0
hsa-miR-1228-3p,1.1,0.19,0.14,0.08,0.2,0.12,0.24,0.0
hsa-miR-1228-5p,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,2.56,1.86,1.79,2.19,2.32,1.21,1.66,2.47
hsa-miR-1229-5p,0.37,0.0,0.14,0.16,0.25,0.12,0.0,0.1
hsa-miR-1233-3p,0.0,0.0,0.0,0.08,0.05,0.0,0.0,0.31
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.14,0.08,0.2,0.12,0.47,0.0
hsa-miR-1236-3p,2.74,0.93,1.24,1.3,1.21,0.72,1.18,1.13
hsa-miR-1236-5p,1.1,0.56,0.97,0.73,0.81,0.42,0.24,0.51
hsa-miR-1237-5p,0.0,0.0,0.14,0.32,0.25,0.12,0.71,0.21
hsa-miR-1238-3p,0.37,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-1238-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-124-3p,0.73,0.74,0.97,1.86,2.43,3.08,0.71,1.03
hsa-miR-124-5p,0.37,0.19,0.14,0.0,0.05,0.24,0.0,0.0
hsa-miR-1243,1.64,1.86,1.38,2.11,1.92,2.17,1.66,3.6
hsa-miR-1244,0.91,1.11,1.24,0.81,1.16,0.42,3.08,1.44
hsa-miR-1246,5.48,2.23,3.86,2.43,2.12,3.44,2.37,3.7
hsa-miR-1247-5p,0.18,0.0,0.14,0.32,0.45,0.6,0.24,0.72
hsa-miR-1248,0.0,0.0,0.0,0.16,0.1,0.0,0.0,0.31
hsa-miR-1249-3p,0.73,0.19,0.41,0.08,1.16,0.84,0.95,1.13
hsa-miR-1249-5p,2.92,0.37,1.93,1.13,2.48,2.47,1.42,1.54
hsa-miR-1250-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-1250-5p,1.64,1.11,1.1,1.7,1.11,2.41,0.95,1.85
hsa-miR-1252-5p,0.18,0.37,0.0,0.32,0.35,0.18,0.0,0.41
