miRNA,SRR8560004,SRR8560005,SRR8560006
hsa-let-7a-2-3p,5.69,1.15,0.96
hsa-let-7a-3p,4.74,8.04,7.66
hsa-let-7a-5p,339.31,182.53,515.39
hsa-let-7b-3p,0.95,1.91,0.0
hsa-let-7b-5p,1218.85,1684.11,2475.39
hsa-let-7c-5p,5.69,44.77,0.0
hsa-let-7d-3p,29.38,11.86,13.41
hsa-let-7d-5p,54.97,20.66,68.97
hsa-let-7e-3p,1.9,0.38,0.0
hsa-let-7e-5p,11.37,7.27,15.33
hsa-let-7f-1-3p,0.95,0.77,0.0
hsa-let-7f-2-3p,0.95,0.77,0.0
hsa-let-7f-5p,460.62,336.36,569.03
hsa-let-7g-5p,532.65,169.9,317.09
hsa-let-7i-3p,0.95,1.53,0.0
hsa-let-7i-5p,1064.36,250.65,775.95
hsa-miR-1-3p,1.9,0.38,0.0
hsa-miR-100-5p,599.95,198.6,349.66
hsa-miR-101-3p,20.85,7.65,13.41
hsa-miR-10394-5p,0.95,0.0,0.0
hsa-miR-10395-3p,3.79,2.3,2.87
hsa-miR-10396b-3p,0.0,0.38,0.0
hsa-miR-10399-3p,3.79,2.68,4.79
hsa-miR-10399-5p,0.0,0.38,0.0
hsa-miR-103a-3p,3.79,1.15,7.66
hsa-miR-10400-5p,0.0,0.0,0.96
hsa-miR-10401-3p,0.95,0.77,0.0
hsa-miR-10526-3p,0.0,0.0,0.96
hsa-miR-106b-3p,28.43,14.16,19.16
hsa-miR-106b-5p,9.48,6.51,8.62
hsa-miR-107,52.13,48.98,17.24
hsa-miR-10a-3p,0.0,0.38,3.83
hsa-miR-10a-5p,8.53,8.42,17.24
hsa-miR-10b-5p,1.9,0.0,1.92
hsa-miR-1180-3p,7.58,10.71,7.66
hsa-miR-1185-5p,0.0,0.38,0.0
hsa-miR-1197,0.0,0.77,0.0
hsa-miR-12136,3.79,0.38,2.87
hsa-miR-122-5p,1.9,0.0,0.0
hsa-miR-1226-3p,8.53,1.15,0.96
hsa-miR-1246,24.64,16.84,19.16
hsa-miR-1249-3p,0.0,1.15,1.92
hsa-miR-1256,0.0,0.0,0.96
hsa-miR-125a-3p,2.84,0.0,0.96
hsa-miR-125a-5p,46.44,13.78,47.9
hsa-miR-125b-1-3p,2.84,1.15,2.87
hsa-miR-125b-5p,271.07,94.52,221.29
hsa-miR-126-3p,20.85,5.74,8.62
hsa-miR-126-5p,15.16,1.15,3.83
hsa-miR-127-3p,0.0,0.77,0.0
hsa-miR-127-5p,4.74,0.38,0.0
hsa-miR-1271-5p,0.95,0.38,0.0
hsa-miR-1275,0.0,3.06,2.87
hsa-miR-1278,0.95,0.38,0.0
hsa-miR-128-1-5p,0.0,0.38,0.0
hsa-miR-128-3p,183.87,115.18,135.07
hsa-miR-1283,0.95,0.0,0.0
hsa-miR-1285-3p,5.69,1.91,1.92
hsa-miR-1285-5p,0.0,3.83,3.83
hsa-miR-1287-5p,0.95,1.53,0.0
hsa-miR-1291,1.9,0.0,0.0
hsa-miR-1294,0.95,0.38,0.0
hsa-miR-1296-5p,95.73,80.74,79.51
hsa-miR-1297,0.0,0.38,0.0
hsa-miR-1298-5p,2.84,0.0,0.0
hsa-miR-1299,0.0,0.0,0.96
hsa-miR-1301-3p,13.27,9.57,11.5
hsa-miR-1303,11.37,6.51,9.58
hsa-miR-1304-5p,0.0,0.0,3.83
hsa-miR-1306-5p,0.95,0.38,0.96
hsa-miR-1307-3p,0.95,8.04,5.75
hsa-miR-1307-5p,11.37,8.42,9.58
