miRNA,SRR8696980,SRR8696981,SRR8696982,SRR8696983,SRR8696984,SRR8696985,SRR8696986,SRR8696987,SRR8696988,SRR8696989,SRR8696990,SRR8696991,SRR8696992,SRR8696993,SRR8696994,SRR8696995,SRR8696996,SRR8696997
hsa-let-7a-2-3p,0.04,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.12,0.0,0.0,0.0
hsa-let-7a-3p,5.68,100.34,2.88,13.0,4.59,0.0,29.49,32.24,2.18,0.93,1.98,19.2,18.53,7.96,9.52,10.51,1.02,7.41
hsa-let-7a-5p,2922.08,30787.31,893.62,17888.58,8682.82,167759.48,27453.52,43868.07,2227.34,1189.68,2336.9,13451.96,29494.46,6647.72,5459.06,73738.78,4464.2,6303.13
hsa-let-7b-3p,0.04,6.68,2.13,1.96,2.93,0.0,5.58,1.5,2.14,0.04,0.0,0.2,0.31,0.0,1.55,7.13,0.0,14.98
hsa-let-7b-5p,2014.34,12081.35,2584.48,2130.4,8028.76,33651.24,2646.91,4502.02,2265.82,1310.79,1983.61,5567.88,5613.73,6587.15,9154.93,40530.95,1433.09,5234.95
hsa-let-7c-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,172.66,1407.21,74.23,319.44,193.16,5279.34,835.55,791.01,115.94,56.18,108.81,949.09,186.7,633.81,421.64,2321.93,74.66,361.16
hsa-let-7d-3p,87.78,513.65,87.94,83.01,363.49,520.36,862.55,413.95,31.44,155.55,45.48,116.97,25.1,171.33,252.89,944.4,173.1,714.75
hsa-let-7d-5p,315.71,3685.11,185.02,5702.49,1300.74,24148.03,3891.63,7730.97,226.98,160.82,185.42,1748.67,8444.35,673.12,784.97,9001.67,940.91,579.96
hsa-let-7e-3p,5.63,27.29,5.38,7.47,17.55,82.89,34.27,26.94,4.44,4.42,2.74,53.57,1.24,1.32,19.87,18.63,0.26,33.74
hsa-let-7e-5p,145.51,228.83,37.05,298.69,238.18,3427.28,609.78,852.4,137.26,62.26,105.16,870.73,503.89,272.08,205.88,1160.26,33.24,275.71
hsa-let-7f-1-3p,0.04,23.74,0.0,2.81,2.56,9.57,6.38,3.05,0.0,0.0,0.0,1.08,2.21,0.0,0.36,5.35,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.39,0.05,0.0,1.1,0.0,0.0,0.0,0.0,0.13,2.38,0.0,0.0,0.43,0.26,0.0
