miRNA,SRR8992368,SRR8992369,SRR8992370,SRR8992371,SRR8992378,SRR8992379,SRR8992380,SRR8992381,SRR8992382,SRR8992383,SRR8992384,SRR8992385,SRR8992387,SRR8992388,SRR8992389,SRR8992390,SRR8992391
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
hsa-let-7a-3p,38.0,43.0,102.0,34.0,34.0,48.0,53.0,69.0,77.0,109.0,62.0,88.0,55.0,39.0,116.0,46.0,86.0
hsa-let-7a-5p,3517.0,4041.0,11087.0,3409.0,4235.0,2986.0,7140.0,5727.0,5757.0,7956.0,4711.0,10731.0,6372.0,5124.0,10328.0,2763.0,8655.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0
hsa-let-7b-5p,31011.0,23046.0,81033.0,18091.0,22216.0,30783.0,36713.0,51234.0,56447.0,80009.0,26075.0,55528.0,35520.0,46394.0,42678.0,13896.0,25125.0
hsa-let-7c-3p,10.0,10.0,34.0,10.0,9.0,12.0,19.0,31.0,23.0,39.0,17.0,29.0,24.0,7.0,23.0,6.0,22.0
hsa-let-7c-5p,3037.0,5931.0,22418.0,4662.0,6228.0,2835.0,12395.0,6661.0,4510.0,9651.0,6494.0,16111.0,10049.0,8994.0,14775.0,3613.0,2510.0
hsa-let-7d-3p,375.0,678.0,1942.0,554.0,641.0,283.0,1092.0,662.0,685.0,1031.0,927.0,1412.0,951.0,779.0,1711.0,440.0,902.0
hsa-let-7d-5p,387.0,755.0,2062.0,510.0,742.0,351.0,1310.0,747.0,547.0,1030.0,696.0,1548.0,913.0,787.0,1598.0,432.0,1268.0
hsa-let-7e-3p,14.0,41.0,104.0,33.0,30.0,16.0,54.0,36.0,31.0,46.0,64.0,64.0,48.0,31.0,134.0,24.0,33.0
hsa-let-7e-5p,872.0,726.0,2359.0,631.0,729.0,751.0,1126.0,1387.0,1417.0,2101.0,776.0,1954.0,1119.0,1020.0,1794.0,386.0,746.0
hsa-let-7f-1-3p,22.0,22.0,31.0,7.0,11.0,11.0,15.0,32.0,34.0,60.0,11.0,24.0,25.0,16.0,34.0,12.0,15.0
hsa-let-7f-2-3p,7.0,24.0,24.0,9.0,3.0,10.0,12.0,15.0,8.0,21.0,8.0,13.0,10.0,15.0,31.0,7.0,9.0
