miRNA,SRR9005506,SRR9005507,SRR9005508,SRR9005509,SRR9005510,SRR9005511,SRR9005512,SRR9005513,SRR9005514,SRR9005515,SRR9005516,SRR9005517,SRR9005518,SRR9005519,SRR9005520,SRR9005521,SRR9005522,SRR9005523,SRR9005524,SRR9005525,SRR9005526,SRR9005527,SRR9005528,SRR9005529,SRR9005530,SRR9005531,SRR9005532,SRR9005533,SRR9005534,SRR9005535,SRR9005536,SRR9005537,SRR9005538,SRR9005539,SRR9005540,SRR9005541,SRR9005542,SRR9005543,SRR9005544,SRR9005545,SRR9005546,SRR9005547,SRR9005548,SRR9005549,SRR9005550,SRR9005551,SRR9005552,SRR9005553
hsa-let-7a-3p,0.34,0.0,0.17,0.16,0.16,0.0,0.0,0.0,0.32,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.34,0.14,0.0,0.16,0.0,0.17,0.0,0.0,0.32,0.33,0.19,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.32,0.0,0.0,0.15,0.0,1.88
hsa-let-7a-5p,184.41,187.18,630.63,141.61,64.56,269.67,149.0,155.99,599.56,113.86,294.85,139.68,95.17,240.8,347.38,476.47,307.89,367.45,149.95,152.04,290.79,376.57,196.7,272.58,316.66,120.87,342.33,289.9,458.38,156.75,551.66,121.01,155.87,153.5,329.35,361.18,68.2,191.37,349.91,215.65,103.98,110.58,144.22,116.28,72.19,106.17,147.82,456.69
hsa-let-7b-3p,0.0,0.35,0.66,0.64,0.0,0.0,0.34,0.31,0.0,0.16,0.17,0.16,0.49,0.32,0.0,0.72,1.03,0.14,0.18,0.32,0.69,0.34,0.17,0.16,0.16,0.17,0.97,0.57,0.68,0.61,0.18,0.78,0.0,0.16,0.16,0.0,0.0,0.15,0.36,0.32,0.16,0.0,0.64,1.11,0.67,0.45,0.15,0.31
hsa-let-7b-5p,321.54,263.44,729.98,406.37,199.06,382.56,203.32,273.99,1074.71,218.89,373.35,201.13,221.89,304.67,483.26,746.59,672.11,547.91,330.48,277.36,438.61,558.68,238.66,326.99,428.77,353.0,522.04,408.29,666.64,282.51,982.0,279.22,264.43,317.81,322.02,403.38,151.5,418.36,558.97,376.12,203.87,167.44,286.99,283.52,192.16,204.74,263.43,4893.43
hsa-let-7c-3p,0.0,0.35,0.0,0.32,0.0,0.0,0.69,0.0,0.0,0.16,0.17,0.16,0.0,0.32,0.19,0.18,0.52,0.14,0.0,0.32,0.0,0.0,0.17,0.33,0.48,0.5,0.0,0.0,0.0,0.15,0.18,0.0,0.17,0.0,0.0,0.61,0.13,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.88
hsa-let-7c-5p,28.16,29.5,56.61,31.66,11.09,24.08,35.01,25.48,54.56,17.35,71.89,11.57,28.6,33.2,61.95,86.96,26.62,52.43,33.42,26.89,47.94,44.81,58.65,34.87,68.72,37.92,44.3,33.2,134.42,31.44,49.33,20.72,16.34,14.79,63.67,73.4,8.61,21.43,23.72,25.13,18.15,15.51,45.45,17.82,16.83,14.59,39.14,1083.69
hsa-let-7d-3p,13.41,6.9,18.98,20.68,10.27,13.27,9.48,5.47,13.72,9.15,5.74,6.85,5.59,8.7,11.79,10.87,13.39,15.06,11.49,11.68,14.77,15.73,6.07,7.17,14.03,13.58,8.55,9.68,21.44,16.18,26.3,15.07,16.17,12.41,6.53,10.4,3.97,20.05,21.71,18.45,13.9,6.58,14.77,14.9,12.79,12.81,16.26,181.74
hsa-let-7d-5p,5.36,5.18,11.88,3.66,2.45,9.01,3.45,4.53,12.46,2.84,7.31,4.24,1.81,5.69,5.05,4.89,7.04,7.68,4.42,2.72,6.25,6.09,8.43,5.7,9.52,3.64,6.8,6.26,11.57,5.04,11.97,2.83,2.24,4.29,10.67,9.02,1.72,3.7,8.03,4.29,3.27,3.29,6.1,1.39,1.68,2.68,3.76,20.18
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19
hsa-let-7e-5p,6.04,9.14,14.69,10.02,3.26,14.58,16.73,7.19,15.45,6.94,11.84,3.1,6.08,10.91,15.72,24.82,14.25,15.06,11.67,7.2,16.15,14.03,13.15,15.8,16.29,10.1,10.69,14.42,13.78,10.84,15.78,3.92,8.95,5.41,12.73,14.68,2.25,7.25,10.03,10.97,8.83,6.74,9.8,4.32,3.7,5.81,7.83,100.1
hsa-let-7f-1-3p,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.17,0.29,0.0,0.32,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.18,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.3,0.78
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
hsa-let-7f-5p,91.7,92.47,402.87,82.26,30.49,156.13,69.67,82.99,346.62,73.17,199.64,96.0,63.44,132.65,169.39,262.33,161.25,192.49,86.47,92.67,235.37,229.63,135.85,158.69,287.14,56.63,187.68,191.24,272.06,76.31,318.99,75.81,106.15,100.05,276.34,319.43,44.36,109.02,180.43,119.28,65.4,75.03,89.61,60.99,50.48,54.05,94.98,261.19
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
