miRNA,SRR9005506,SRR9005507,SRR9005508,SRR9005509,SRR9005510,SRR9005511,SRR9005512,SRR9005513,SRR9005514,SRR9005515,SRR9005516,SRR9005517,SRR9005518,SRR9005519,SRR9005520,SRR9005521,SRR9005522,SRR9005523,SRR9005524,SRR9005525,SRR9005526,SRR9005527,SRR9005528,SRR9005529,SRR9005530,SRR9005531,SRR9005532,SRR9005533,SRR9005534,SRR9005535,SRR9005536,SRR9005537,SRR9005538,SRR9005539,SRR9005540,SRR9005541,SRR9005542,SRR9005543,SRR9005544,SRR9005545,SRR9005546,SRR9005547,SRR9005548,SRR9005549,SRR9005550,SRR9005551,SRR9005552,SRR9005553
hsa-let-7a-3p,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,12.0
hsa-let-7a-5p,1100.0,1085.0,3821.0,890.0,396.0,1646.0,864.0,998.0,3802.0,722.0,1694.0,857.0,579.0,1523.0,1856.0,2630.0,1793.0,2537.0,848.0,950.0,1674.0,2227.0,1167.0,1673.0,1963.0,730.0,1762.0,1528.0,2694.0,1027.0,3042.0,771.0,906.0,965.0,2069.0,2362.0,515.0,1241.0,1918.0,1356.0,636.0,706.0,898.0,835.0,429.0,713.0,982.0,2920.0
hsa-let-7b-3p,0.0,2.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,4.0,6.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,4.0,8.0,4.0,3.0,1.0,2.0
hsa-let-7b-5p,1918.0,1527.0,4423.0,2554.0,1221.0,2335.0,1179.0,1753.0,6815.0,1388.0,2145.0,1234.0,1350.0,1927.0,2582.0,4121.0,3914.0,3783.0,1869.0,1733.0,2525.0,3304.0,1416.0,2007.0,2658.0,2132.0,2687.0,2152.0,3918.0,1851.0,5415.0,1779.0,1537.0,1998.0,2023.0,2638.0,1144.0,2713.0,3064.0,2365.0,1247.0,1069.0,1787.0,2036.0,1142.0,1375.0,1750.0,31288.0
hsa-let-7c-3p,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
hsa-let-7c-5p,168.0,171.0,343.0,199.0,68.0,147.0,203.0,163.0,346.0,110.0,413.0,71.0,174.0,210.0,331.0,480.0,155.0,362.0,189.0,168.0,276.0,265.0,348.0,214.0,426.0,229.0,228.0,175.0,790.0,206.0,272.0,132.0,95.0,93.0,400.0,480.0,65.0,139.0,130.0,158.0,111.0,99.0,283.0,128.0,100.0,98.0,260.0,6929.0
hsa-let-7d-3p,80.0,40.0,115.0,130.0,63.0,81.0,55.0,35.0,87.0,58.0,33.0,42.0,34.0,55.0,63.0,60.0,78.0,104.0,65.0,73.0,85.0,93.0,36.0,44.0,87.0,82.0,44.0,51.0,126.0,106.0,145.0,96.0,94.0,78.0,41.0,68.0,30.0,130.0,119.0,116.0,85.0,42.0,92.0,107.0,76.0,86.0,108.0,1162.0
hsa-let-7d-5p,32.0,30.0,72.0,23.0,15.0,55.0,20.0,29.0,79.0,18.0,42.0,26.0,11.0,36.0,27.0,27.0,41.0,53.0,25.0,17.0,36.0,36.0,50.0,35.0,59.0,22.0,35.0,33.0,68.0,33.0,66.0,18.0,13.0,27.0,67.0,59.0,13.0,24.0,44.0,27.0,20.0,21.0,38.0,10.0,10.0,18.0,25.0,129.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
hsa-let-7e-5p,36.0,53.0,89.0,63.0,20.0,89.0,97.0,46.0,98.0,44.0,68.0,19.0,37.0,69.0,84.0,137.0,83.0,104.0,66.0,45.0,93.0,83.0,78.0,97.0,101.0,61.0,55.0,76.0,81.0,71.0,87.0,25.0,52.0,34.0,80.0,96.0,17.0,47.0,55.0,69.0,54.0,43.0,61.0,31.0,22.0,39.0,52.0,640.0
