miRNA,GSM3939089,GSM3939090,GSM3939091,GSM3939092,GSM3939093,GSM3939094,GSM3939095,GSM3939096,GSM3939097,GSM3939098,GSM3939099,GSM3939100,GSM3939101,GSM3939102,GSM3939103,GSM3939104,GSM3939105,GSM3939106
hsa-let-7a-2-3p,0.58,1.6,0.0,0.53,0.0,0.0,0.0,0.26,0.25,0.0,0.31,0.25,0.0,0.0,0.28,0.0,0.0,0.0
hsa-let-7a-3p,12.65,17.9,0.0,0.53,2.42,4.94,0.0,4.93,4.81,2.98,2.77,4.21,0.0,1.84,10.64,1.83,1.37,2.48
hsa-let-7a-5p,2326.23,2348.71,258.4,13.29,3027.17,1217.71,8.16,2164.05,2159.63,1661.26,1450.14,4024.21,1.53,1008.96,10736.31,467.24,783.39,1564.62
hsa-let-7b-3p,3.78,6.71,0.0,0.53,0.4,0.29,0.0,1.3,1.01,0.54,1.54,1.48,0.0,0.92,3.59,0.52,1.37,1.72
hsa-let-7b-5p,2618.54,3954.52,269.09,289.78,1844.34,921.86,195.85,1748.25,1577.3,1331.01,1112.7,2211.78,88.62,1056.45,4699.05,805.81,962.9,1635.49
hsa-let-7c-5p,41.45,67.61,4.67,0.0,23.77,22.67,0.0,37.61,29.64,26.26,15.39,23.26,0.0,13.18,31.91,7.08,29.64,7.64
hsa-let-7d-3p,61.95,78.16,10.02,0.0,37.06,13.66,0.91,24.12,35.46,23.55,24.94,34.64,0.0,28.8,32.6,17.56,24.15,20.25
hsa-let-7d-5p,103.98,131.06,9.35,0.53,88.23,41.85,0.0,69.77,70.67,47.64,48.65,99.71,0.0,41.98,372.4,23.32,31.29,43.17
hsa-let-7e-3p,1.31,3.04,0.0,0.0,0.0,0.29,0.0,0.0,0.25,0.27,0.31,0.49,0.0,1.53,1.93,0.26,0.27,0.38
hsa-let-7e-5p,97.29,108.84,14.69,0.0,159.54,77.02,0.0,145.77,124.12,102.86,81.59,262.28,0.0,73.53,688.58,33.54,63.41,157.59
hsa-let-7f-1-3p,1.16,1.92,0.0,0.0,0.4,0.87,0.0,0.78,0.51,0.0,0.0,0.25,0.0,0.61,3.18,0.0,0.55,0.96
hsa-let-7f-2-3p,0.73,0.8,0.0,0.0,0.4,0.0,0.0,1.3,0.76,0.27,0.0,0.25,0.0,0.61,0.69,0.26,0.0,0.19
hsa-let-7f-5p,2480.97,2749.88,511.46,15.95,3115.4,1269.44,8.16,2004.53,1908.36,1528.89,1334.07,3543.95,3.06,1224.05,10681.06,675.31,797.39,2359.26
hsa-let-7g-3p,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.31,0.0,0.0,0.92,0.41,0.0,0.0,0.0
