miRNA,SRR10029319,SRR10029320,SRR10029321,SRR10029322,SRR10029323
hsa-let-7a-3p,0.83,0.0,0.0,0.0,0.0
hsa-let-7a-5p,223.39,44.6,59.83,1393.72,392.36
hsa-let-7b-3p,1.67,0.67,1.62,0.0,0.0
hsa-let-7b-5p,1049.44,168.35,279.76,3096.77,4370.77
hsa-let-7c-5p,28.06,19.79,45.28,5015.91,3095.59
hsa-let-7d-3p,4.72,2.35,1.62,18.76,27.74
hsa-let-7d-5p,7.78,0.34,6.47,286.02,143.41
hsa-let-7e-3p,0.0,0.0,0.0,1.71,0.0
hsa-let-7e-5p,8.89,2.18,3.23,105.77,56.82
hsa-let-7f-5p,56.4,16.77,12.94,1603.54,471.51
hsa-let-7g-5p,71.69,12.91,27.49,482.77,172.5
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.68
hsa-let-7i-5p,329.81,283.38,50.13,921.19,1035.7
hsa-miR-1-3p,0.0,0.0,0.0,1.14,0.68
hsa-miR-100-5p,2030.8,405.45,700.22,3257.7,888.22
hsa-miR-101-3p,1.11,0.67,0.0,2.84,10.15
hsa-miR-10395-3p,0.56,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.17,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.57,0.68
hsa-miR-103a-3p,2.78,0.0,0.0,60.28,5.41
hsa-miR-10401-3p,0.83,0.34,3.23,0.0,0.0
hsa-miR-10526-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.57,0.0
hsa-miR-106b-3p,6.67,2.52,6.47,64.82,20.97
hsa-miR-106b-5p,0.0,0.0,0.0,2.84,0.68
hsa-miR-107,0.0,0.0,0.0,0.57,1.35
hsa-miR-10a-3p,1.94,0.0,0.0,13.08,9.47
hsa-miR-10a-5p,585.43,151.42,439.86,922.89,1399.65
hsa-miR-10b-5p,3.33,0.17,3.23,21.04,8.12
hsa-miR-1180-3p,3.33,0.67,1.62,2.27,0.68
hsa-miR-1183,0.0,0.5,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.28,0.0,0.0,0.57,0.0
hsa-miR-12114,0.0,0.17,0.0,0.0,0.0
hsa-miR-12116,0.0,0.0,0.0,0.57,0.0
hsa-miR-122-5p,0.83,1.34,1.62,0.0,7.44
hsa-miR-1228-3p,0.0,0.17,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.34,0.0,0.0,0.0
hsa-miR-1246,81.97,97.76,113.2,96.1,26.38
hsa-miR-1248,0.83,0.5,0.0,0.0,0.68
hsa-miR-1249-3p,0.0,0.0,0.0,0.0,3.38
hsa-miR-1255a,0.28,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,3.33,0.0,3.23,18.2,51.41
hsa-miR-125a-5p,15.28,11.4,6.47,112.59,100.12
hsa-miR-125b-1-3p,31.4,18.28,9.7,22.18,48.03
hsa-miR-125b-5p,35.01,12.74,21.02,363.36,656.19
hsa-miR-126-3p,1.39,0.67,0.0,0.57,15.56
hsa-miR-1260b,0.0,0.34,3.23,0.57,0.0
hsa-miR-1262,0.83,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.28,0.0,0.0,1.14,0.68
hsa-miR-127-3p,195.88,63.89,33.96,31.84,27.06
hsa-miR-127-5p,0.0,0.17,0.0,2.27,0.0
hsa-miR-1271-5p,0.28,0.5,1.62,1.14,0.0
hsa-miR-1273h-5p,0.0,0.0,0.0,0.57,0.0
hsa-miR-128-3p,62.24,10.4,16.17,4.55,7.44
hsa-miR-1285-5p,0.28,0.0,3.23,0.0,0.0
hsa-miR-1287-5p,0.0,0.67,0.0,0.0,0.68
hsa-miR-129-2-3p,0.28,0.0,0.0,3.41,3.38
hsa-miR-129-5p,13.06,13.41,3.23,9.67,31.12
hsa-miR-1290,0.56,0.0,1.62,1.71,0.0
hsa-miR-1291,0.28,0.67,0.0,0.0,0.0
hsa-miR-1292-5p,0.56,0.17,0.0,0.0,0.0
hsa-miR-1299,0.0,0.17,1.62,0.0,0.0
hsa-miR-1301-3p,2.22,0.0,0.0,0.0,0.0
hsa-miR-1303,0.83,0.0,1.62,0.0,0.0
hsa-miR-1306-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-1307-3p,34.73,13.08,9.7,0.0,2.03
hsa-miR-1307-5p,0.0,0.34,0.0,0.57,0.0
hsa-miR-130a-3p,0.0,0.0,0.0,5.69,1.35
hsa-miR-130b-3p,0.0,0.0,0.0,0.0,0.68
hsa-miR-130b-5p,3.06,0.0,1.62,0.0,0.0
hsa-miR-132-3p,6.11,1.51,1.62,40.94,8.79
hsa-miR-132-5p,0.0,0.0,1.62,11.94,10.15
hsa-miR-133a-3p,0.0,0.0,0.0,0.0,1.35
hsa-miR-134-5p,26.4,14.42,14.55,6.82,0.0
hsa-miR-1343-3p,0.56,0.67,0.0,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.57,0.0
hsa-miR-136-3p,0.28,0.0,0.0,0.57,0.68
hsa-miR-136-5p,0.56,0.67,0.0,0.0,0.0
hsa-miR-137-5p,1.11,0.17,1.62,0.0,0.0
hsa-miR-138-1-3p,0.0,0.0,1.62,0.0,0.0
hsa-miR-138-5p,1.11,0.0,3.23,9.1,0.0
hsa-miR-139-5p,0.0,0.0,0.0,0.0,1.35
hsa-miR-140-3p,4.45,0.67,4.85,134.77,52.09
hsa-miR-140-5p,0.0,0.0,0.0,3.98,1.35
hsa-miR-142-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-143-3p,148.65,36.39,48.51,351.98,391.68
hsa-miR-143-5p,1.94,0.0,0.0,6.25,0.0
hsa-miR-145-3p,1.11,0.0,0.0,0.57,10.82
hsa-miR-145-5p,1.94,0.0,6.47,33.55,33.15
hsa-miR-146a-5p,1.67,0.0,1.62,5.69,38.56
hsa-miR-146b-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-146b-5p,10.28,7.21,8.09,58.0,80.5
hsa-miR-147b-3p,0.0,0.0,0.0,0.57,0.0
hsa-miR-148a-3p,91.69,19.28,54.98,589.67,1290.06
hsa-miR-148a-5p,0.0,0.0,0.0,1.14,2.03
hsa-miR-148b-3p,4.45,0.5,3.23,13.08,14.88
hsa-miR-148b-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-149-5p,14.73,3.86,9.7,3.41,2.71
hsa-miR-150-5p,0.0,0.0,0.0,0.0,1.35
hsa-miR-151a-3p,323.42,119.22,132.61,44.92,13.53
hsa-miR-151a-5p,1.39,0.34,0.0,1.14,2.03
hsa-miR-151b,0.28,0.0,0.0,0.0,2.03
hsa-miR-152-3p,26.67,4.02,12.94,362.79,69.68
hsa-miR-152-5p,0.28,0.0,0.0,0.0,2.03
hsa-miR-1538,0.28,0.0,0.0,0.0,0.0
hsa-miR-154-5p,0.83,0.0,0.0,1.71,0.0
hsa-miR-155-5p,14.45,4.53,4.85,6.82,1.35
hsa-miR-15b-5p,0.0,0.0,0.0,1.71,0.0
hsa-miR-16-2-3p,0.28,0.17,0.0,0.57,0.0
hsa-miR-16-5p,0.0,0.0,0.0,14.22,8.12
hsa-miR-17-5p,0.28,0.0,0.0,9.67,1.35
hsa-miR-181a-2-3p,0.83,0.5,0.0,2.27,0.0
hsa-miR-181a-5p,5.28,1.17,3.23,20.47,27.74
hsa-miR-181b-3p,0.83,4.86,0.0,0.0,0.68
hsa-miR-181b-5p,3.06,2.01,1.62,21.61,2.71
hsa-miR-181c-3p,0.0,0.0,0.0,0.57,1.35
hsa-miR-181c-5p,0.0,0.0,0.0,0.57,0.0
hsa-miR-181d-5p,0.83,0.0,0.0,11.94,4.06
hsa-miR-182-5p,0.28,0.17,0.0,21.61,10.15
hsa-miR-183-5p,0.0,0.17,1.62,18.2,6.09
hsa-miR-184,0.0,2.01,0.0,2.27,1.35
hsa-miR-1843,1.94,0.0,0.0,0.0,0.68
hsa-miR-185-3p,0.0,0.0,0.0,0.57,0.0
hsa-miR-185-5p,5.56,0.0,4.85,43.22,12.85
hsa-miR-186-5p,2.5,0.34,6.47,37.53,12.18
hsa-miR-187-3p,0.28,0.0,0.0,0.0,0.0
hsa-miR-18a-5p,0.0,0.0,0.0,0.57,0.0
hsa-miR-191-5p,29.73,9.73,50.13,620.38,267.21
hsa-miR-1910-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-192-5p,1.94,0.0,4.85,10.8,4.06
hsa-miR-193a-3p,0.0,0.0,0.0,1.71,0.0
hsa-miR-193a-5p,9.45,1.68,3.23,3.41,0.0
hsa-miR-193b-3p,1.11,0.0,0.0,9.67,0.0
hsa-miR-193b-5p,0.28,0.17,0.0,1.71,6.76
hsa-miR-194-5p,0.0,0.0,0.0,3.41,2.03
hsa-miR-195-3p,0.56,0.0,0.0,0.0,0.0
hsa-miR-195-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-196a-3p,0.0,0.0,0.0,0.0,0.68
hsa-miR-196a-5p,0.0,0.0,3.23,205.28,102.83
hsa-miR-196b-5p,0.0,0.0,0.0,23.88,10.15
hsa-miR-197-3p,5.0,3.02,12.94,1.14,3.38
hsa-miR-199a-3p,36.68,4.53,40.43,182.53,72.38
hsa-miR-199a-5p,13.61,2.35,4.85,86.43,100.8
hsa-miR-199b-3p,14.17,0.67,1.62,17.06,181.97
hsa-miR-199b-5p,1.39,0.0,0.0,0.57,1.35
hsa-miR-19b-3p,0.0,0.0,0.0,1.71,0.68
hsa-miR-200c-3p,0.0,0.0,0.0,1.14,0.68
hsa-miR-203a-3p,0.0,0.0,0.0,7.96,6.09
hsa-miR-204-3p,0.0,0.0,0.0,0.0,0.68
hsa-miR-204-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-205-5p,0.0,0.0,0.0,1.14,0.68
hsa-miR-206,0.0,0.0,1.62,65.96,60.21
hsa-miR-20a-5p,0.0,0.17,0.0,6.25,0.68
hsa-miR-21-3p,1.11,0.0,0.0,1.71,0.0
hsa-miR-21-5p,421.5,98.93,88.94,1278.29,1428.06
hsa-miR-210-3p,0.0,0.0,0.0,17.06,9.47
hsa-miR-2110,0.28,0.0,0.0,0.0,0.0
hsa-miR-2116-3p,0.0,0.17,0.0,0.0,0.0
hsa-miR-212-3p,0.28,0.0,0.0,0.57,2.03
hsa-miR-212-5p,0.0,0.0,0.0,3.41,3.38
hsa-miR-214-3p,0.56,0.5,1.62,31.27,16.91
hsa-miR-214-5p,0.0,0.0,0.0,0.0,4.06
hsa-miR-218-5p,3.89,0.34,3.23,9.1,6.09
hsa-miR-219a-5p,0.0,0.0,0.0,1.14,0.0
hsa-miR-22-3p,22.23,5.2,16.17,75.63,346.36
hsa-miR-22-5p,1.11,0.84,1.62,11.94,30.44
hsa-miR-221-3p,141.98,21.46,38.81,153.53,95.38
hsa-miR-221-5p,3.06,0.67,3.23,4.55,6.09
hsa-miR-222-3p,412.88,70.09,111.58,61.41,144.09
hsa-miR-222-5p,0.28,0.0,0.0,0.57,0.68
hsa-miR-223-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-224-5p,38.34,25.32,12.94,9.67,3.38
hsa-miR-23a-3p,69.46,17.61,71.15,1039.46,330.12
hsa-miR-23b-3p,12.23,2.85,8.09,162.06,41.27
hsa-miR-23b-5p,1.67,0.67,0.0,0.57,0.0
hsa-miR-24-2-5p,2.78,0.34,0.0,5.12,4.06
hsa-miR-24-3p,66.68,7.71,12.94,30.14,166.42
hsa-miR-25-3p,11.67,4.86,16.17,120.55,54.8
hsa-miR-25-5p,0.0,0.0,0.0,0.57,0.68
hsa-miR-2682-5p,4.17,3.35,0.0,1.14,0.0
hsa-miR-26a-5p,100.3,12.41,27.49,524.28,621.01
hsa-miR-26b-5p,1.67,0.67,0.0,11.37,11.5
hsa-miR-27a-3p,13.89,2.52,8.09,42.65,39.24
hsa-miR-27a-5p,1.94,3.52,0.0,2.27,3.38
hsa-miR-27b-3p,32.79,10.06,9.7,142.16,253.01
hsa-miR-27b-5p,0.0,0.0,0.0,1.71,2.71
hsa-miR-28-3p,23.34,4.86,12.94,7.96,1.35
hsa-miR-28-5p,2.22,0.0,0.0,3.98,4.74
hsa-miR-296-3p,0.28,0.67,0.0,0.0,0.0
hsa-miR-299-5p,0.56,0.0,0.0,1.14,0.0
hsa-miR-29a-3p,30.84,2.01,12.94,203.57,204.3
hsa-miR-29a-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-29b-3p,0.0,0.0,0.0,2.27,0.0
hsa-miR-29c-3p,0.0,0.0,0.0,0.0,0.68
hsa-miR-29c-5p,0.0,0.0,0.0,0.0,0.68
hsa-miR-301b-3p,0.56,0.0,0.0,0.0,0.0
hsa-miR-30a-3p,64.18,29.34,45.28,17.63,20.29
hsa-miR-30a-5p,42.51,5.7,14.55,172.86,70.35
hsa-miR-30b-5p,0.56,0.0,0.0,7.39,3.38
hsa-miR-30c-2-3p,1.67,1.17,0.0,3.41,4.06
hsa-miR-30c-5p,18.34,2.35,12.94,81.88,48.71
hsa-miR-30d-5p,50.01,11.74,22.64,199.02,142.06
hsa-miR-30e-3p,7.22,3.02,3.23,3.98,4.06
hsa-miR-30e-5p,1.11,0.0,1.62,13.08,4.74
hsa-miR-31-3p,0.0,0.67,0.0,0.57,0.68
hsa-miR-31-5p,0.83,0.5,0.0,21.61,3.38
hsa-miR-3117-3p,0.56,0.0,0.0,0.0,0.0
hsa-miR-3126-5p,0.0,0.34,0.0,0.0,0.0
hsa-miR-3129-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-3143,0.0,0.0,0.0,0.57,0.0
hsa-miR-3148,0.83,0.0,0.0,0.0,0.0
hsa-miR-3175,0.0,0.17,0.0,0.0,0.0
hsa-miR-3176,0.0,0.34,0.0,0.57,0.0
hsa-miR-3177-3p,0.56,0.0,0.0,0.0,0.0
hsa-miR-3178,0.0,0.0,0.0,1.71,0.0
hsa-miR-3180-3p,0.0,0.0,1.62,0.0,0.0
hsa-miR-3182,0.56,1.68,0.0,1.71,0.0
hsa-miR-3195,0.28,0.0,0.0,0.57,0.0
hsa-miR-320a-3p,88.91,29.51,51.75,164.9,338.92
hsa-miR-320a-5p,0.0,0.0,0.0,10.24,0.0
hsa-miR-320b,25.56,10.9,17.79,178.55,244.21
hsa-miR-320c,2.78,0.5,0.0,96.67,135.97
hsa-miR-320d,1.94,0.34,0.0,3.98,24.35
hsa-miR-320e,0.0,0.0,0.0,1.71,0.68
hsa-miR-323a-3p,18.62,4.7,6.47,1.14,0.68
hsa-miR-323a-5p,0.28,0.0,0.0,0.0,0.0
hsa-miR-323b-3p,5.28,0.0,1.62,0.57,0.0
hsa-miR-324-5p,0.0,0.0,0.0,1.14,0.68
hsa-miR-328-3p,20.84,9.22,19.41,39.24,303.07
hsa-miR-329-3p,1.67,0.34,0.0,0.0,0.0
hsa-miR-330-3p,4.17,1.01,4.85,1.14,0.68
hsa-miR-330-5p,0.28,0.0,0.0,1.14,0.0
hsa-miR-331-3p,0.56,0.0,0.0,0.0,0.0
hsa-miR-331-5p,0.0,0.0,0.0,0.57,1.35
