miRNA,GSM4044943,GSM4044944,GSM4044945,GSM4044946,GSM4044947,GSM4044948,GSM4044949,GSM4044950,GSM4044951,GSM4044952,GSM4044953,GSM4044954,GSM4044955,GSM4044956,GSM4044957,GSM4044958,GSM4044959,GSM4044960,GSM4044961,GSM4044962,GSM4044963,GSM4044964,GSM4044965,GSM4044966,GSM4044967,GSM4044968,GSM4044969,GSM4044970,GSM4044971,GSM4044972,GSM4044973,GSM4044974,GSM4044975,GSM4044976,GSM4044977,GSM4044978,GSM4044979,GSM4044980,GSM4044981,GSM4044982,GSM4044983,GSM4044984,GSM4044985,GSM4044986,GSM4044987,GSM4044988,GSM4044989,GSM4044990
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.14,0.0,0.0,31.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.31,12.24,0.0,0.0,20.56,0.0,0.0,14.74,0.0,5.67,34.28,0.0,0.0,0.0,20.73,15.62,0.0,0.0,8.74,0.0,4.66,0.0,30.02,0.0,8.42,0.0,0.0,0.0,0.0
hsa-let-7a-5p,2223.63,1301.17,3356.77,3666.64,2705.7,1580.05,3331.77,4154.5,2934.7,3941.69,1803.57,1688.22,1663.14,1109.5,376.13,3849.06,1021.59,6312.52,2110.72,3138.01,4094.95,349.64,4715.12,2508.82,2472.83,440.4,2726.36,3879.61,4165.27,3153.82,2791.1,5780.95,1839.69,6074.74,9559.44,1983.97,927.53,4807.02,2347.89,4484.39,4110.01,4733.12,1999.65,1692.1,6006.93,4279.85,4278.95,2348.22
hsa-let-7b-3p,0.0,0.0,13.27,16.01,12.58,14.36,23.04,24.44,0.0,24.28,11.94,0.0,0.0,0.0,0.0,12.79,0.0,25.45,22.94,15.31,12.24,10.28,16.81,0.0,17.79,0.0,0.0,20.86,28.34,0.0,0.0,0.0,31.72,41.47,15.62,0.0,9.28,8.74,0.0,18.63,0.0,20.01,0.0,8.42,0.0,0.0,0.0,0.0
hsa-let-7b-5p,10760.8,6453.8,4909.12,4755.42,2730.87,2599.9,10999.9,7184.84,4126.93,3350.84,7536.76,2771.23,5561.54,3390.14,720.46,8005.01,2439.62,6808.87,9727.67,4867.74,6402.57,1727.63,5026.1,5156.44,2864.21,538.91,8164.35,5214.53,2958.19,4079.39,4281.49,12551.43,3600.09,3317.27,60972.66,1777.51,1465.5,2307.37,3974.64,2896.46,3364.02,9556.31,9762.98,2618.13,10331.93,4170.51,7895.68,3973.91
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,198.54,78.07,79.61,160.12,163.6,28.73,930.87,244.38,61.14,785.1,155.27,127.41,26.61,30.82,10.6,204.6,320.2,292.72,1078.3,153.07,293.81,164.54,226.93,925.38,195.69,28.97,73.69,104.29,685.71,102.84,243.88,260.4,79.3,259.16,187.44,140.99,268.98,174.8,50.31,493.61,140.75,160.11,235.25,75.77,532.04,249.92,254.7,60.21
hsa-let-7d-3p,317.66,260.23,278.63,192.14,213.94,114.91,274.19,354.35,244.56,259.0,214.99,159.27,146.36,0.0,0.0,383.63,137.23,178.18,298.25,153.07,287.69,113.12,310.98,215.92,213.48,57.95,250.53,187.72,215.35,411.37,54.2,312.48,158.59,300.63,1444.85,55.39,74.2,209.76,368.95,610.03,98.53,960.63,882.2,168.37,291.77,203.06,203.76,80.28
hsa-let-7d-5p,79.42,104.09,132.68,160.12,176.18,71.82,334.1,195.51,275.13,364.22,47.78,127.41,13.31,61.64,5.3,127.88,30.5,419.99,114.71,168.38,257.08,20.57,310.98,190.22,284.64,23.18,117.9,125.15,289.02,322.24,108.39,208.32,95.16,217.7,1023.11,60.43,27.83,445.74,201.25,330.62,168.9,230.15,0.0,126.28,188.79,328.02,356.58,60.21
hsa-let-7e-5p,238.25,52.05,79.61,224.16,75.51,0.0,119.81,146.63,91.71,178.06,59.72,15.93,66.53,30.82,26.49,63.94,30.5,190.9,252.37,61.23,189.75,30.85,84.05,87.4,195.69,28.97,103.16,166.86,238.02,185.12,27.1,208.32,111.02,134.76,62.48,40.28,37.1,166.06,83.85,139.7,56.3,100.07,0.0,42.09,274.6,374.88,203.76,120.42
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,754.45,962.86,1645.22,1985.43,994.19,890.57,1534.55,1564.05,1161.65,2047.74,1027.2,700.77,878.14,308.19,164.22,1598.45,365.94,2647.19,1697.75,1117.44,2001.57,308.51,2235.69,1460.05,942.88,208.61,1355.81,1105.48,1609.44,2262.52,1463.3,2551.95,872.27,2280.62,4631.33,730.14,575.07,2351.07,1090.09,2561.18,1731.27,1921.27,1352.7,782.91,2471.42,1921.24,2037.59,1264.43
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,516.2,754.68,623.59,816.59,566.31,344.74,1013.82,843.12,550.26,671.79,358.32,414.09,266.1,184.92,100.65,933.49,335.45,1259.96,435.91,535.76,985.48,123.4,798.46,673.47,569.28,34.77,663.17,688.32,504.37,754.17,406.47,1041.61,380.63,487.22,4100.25,246.74,213.33,716.68,519.89,866.14,788.22,1290.85,117.63,151.53,892.46,499.84,713.16,501.76
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08,0.0,0.0,8.42,0.0,0.0,0.0,0.0
hsa-let-7i-5p,3613.41,1899.71,4059.97,2641.9,931.26,1910.43,3820.24,3299.16,2445.59,2581.93,2269.39,1098.94,1476.87,1047.86,519.16,3222.47,1174.07,3410.8,3074.31,2831.86,2852.39,791.83,3042.55,2858.41,1512.16,353.48,2741.1,1877.23,1490.43,5334.06,2249.14,3020.68,1411.49,1855.6,31841.36,850.99,1205.79,2368.55,1911.85,3580.99,2040.93,4983.29,2646.59,1540.57,4599.59,3514.47,3871.43,2267.94
hsa-miR-1-3p,0.0,52.05,0.0,0.0,12.58,0.0,4.61,0.0,0.0,24.28,0.0,0.0,26.61,0.0,5.3,0.0,60.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,7.81,0.0,9.28,34.96,0.0,13.97,14.08,0.0,0.0,0.0,0.0,46.86,0.0,20.07
hsa-miR-100-5p,0.0,52.05,0.0,0.0,50.34,14.36,41.47,12.22,244.56,16.19,0.0,15.93,306.02,30.82,270.17,38.36,808.12,38.18,0.0,76.54,85.69,0.0,58.83,51.41,0.0,5.79,0.0,20.86,11.33,13.71,379.37,52.08,0.0,445.76,78.1,15.11,0.0,131.1,0.0,69.85,14.08,30.02,0.0,143.11,274.6,31.24,101.88,40.14
hsa-miR-101-3p,119.12,234.21,331.7,272.2,188.77,229.83,672.8,305.48,183.42,89.03,346.38,191.12,146.36,184.92,26.49,332.48,137.23,279.99,183.54,336.76,244.84,61.7,201.72,215.92,195.69,40.56,338.95,208.58,158.68,198.83,189.69,364.56,206.17,186.6,1538.57,50.35,129.85,201.02,285.1,111.76,98.53,830.55,58.81,67.35,394.74,62.48,50.94,120.42
