miRNA,SRR10188959,SRR10188960,SRR10188961,SRR10188962,SRR10188964,SRR10188965,SRR10188966,SRR10188967,SRR10188968,SRR10188969,SRR10188970,SRR10188971,SRR10188972,SRR10188973,SRR10188975,SRR10188976,SRR10188977,SRR10188978,SRR10188979,SRR10188980,SRR10188981,SRR10188982,SRR10188983,SRR10188984,SRR10188986,SRR10188987,SRR10188988,SRR10188989,SRR10188990,SRR10188991,SRR10188992,SRR10188993,SRR10188994,SRR10188995,SRR10188997,SRR10189043,SRR10189044,SRR10189045,SRR10189046,SRR10189047,SRR10189048,SRR10189055,SRR10189056,SRR10189057,SRR10189058,SRR10189059,SRR10189060,SRR10189061,SRR10189062,SRR10189064,SRR10189065,SRR10189066,SRR10189067,SRR10189068,SRR10189069,SRR10189070,SRR10189071,SRR10189072,SRR10189073
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,8.62,837.44,171.56,193.23,116.82,99.98,144.55,125.36,227.78,548.97,950.38,862.06,6437.3,75.52,242.02,144.64,239.37,93.35,211.87,131.31,48.93,432.7,82.79,703.78,169.69,291.97,424.49,69.39,181.93,83.39,54.44,71.61,551.56,24.27,63.75,6.96,239.73,9.78,247.69,56.45,311.1,316.0,241.92,30.86,20801.54,1343.44,693.94,143.22,350.26,475.91,55.43,41.2,377.69,68.43,440.4,422.94,278.72,406.09,192.72
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0
hsa-let-7b-5p,10735.06,132752.53,11043.98,37636.44,7571.13,6938.82,11456.2,19221.61,25658.98,35822.51,101299.3,54796.33,22429.3,4554.73,22155.2,14904.11,38299.91,14277.09,22276.55,11249.38,33590.69,20960.77,10392.47,158005.43,27188.81,15011.51,24681.08,22010.2,15635.21,18536.23,7601.23,12605.0,93785.8,27445.97,93400.31,2366.08,72134.85,2542.43,44688.94,9737.37,12163.06,55079.78,42831.14,24093.45,31544.7,233696.08,76172.2,24236.64,42889.74,73214.27,34760.88,28997.09,51870.74,57073.95,36136.56,52768.59,31442.26,49483.29,46128.6
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.68,4.89,0.0,0.0,0.0,0.0,4.56,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,36.62,18.01,2.07,0.0,4.87,0.0,1.76,0.0,4.22,2.18,2.72,21.15,377.17,14.86,11.46,3.08,0.0,112.03,9.31,13.4,464.8,2.81,3.52,1.63,2.23,0.0,0.0,106.12,0.0,136.89,0.0,0.0,11.61,165.85,1352.22,0.0,0.0,0.0,0.0,0.0,7.11,0.0,0.0,92.57,242.59,5.62,0.0,0.0,11.85,0.0,252.74,175.79,0.0,328.01,10.09,0.0,0.0,0.0,0.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,4.87,0.0,12.34,0.0,48.51,13.07,5.43,37.02,1131.2,0.0,22.91,27.7,23.94,4.15,0.0,0.0,2.45,8.43,0.0,0.0,11.16,31.93,21.96,0.0,6.33,0.0,12.37,0.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,151.1,0.0,0.0,0.0,0.0,0.0,6.65,5.49,0.0,2.36,20.17,32.81,0.0,0.0,31.25
hsa-let-7d-5p,4.31,18.01,6.2,4.29,0.0,4.84,1.76,13.93,0.0,19.61,29.87,10.58,529.05,2.48,4.3,6.15,7.98,6.22,13.97,0.0,22.02,0.0,5.28,14.7,11.16,20.53,3.66,10.2,12.66,1.57,4.95,5.37,15.48,8.09,26.84,2.32,15.72,0.0,18.35,3.53,8.89,27.48,35.69,0.0,927.38,16.86,46.26,5.81,12.93,11.39,13.3,13.73,7.99,14.16,20.17,36.46,11.74,32.39,20.83
hsa-let-7e-5p,0.0,18.01,2.07,4.29,0.0,0.0,1.76,5.57,0.0,19.61,5.43,5.29,240.86,0.0,15.75,0.0,2.66,6.22,2.33,0.0,2.45,0.0,1.76,1.63,2.23,0.0,45.74,12.24,6.33,3.15,0.0,0.0,32.9,8.09,6.71,6.96,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,152.48,0.0,7.3,0.0,0.0,2.28,8.87,0.0,0.0,0.0,3.36,3.65,11.74,0.0,5.21
hsa-let-7f-5p,10.77,54.03,18.6,107.35,128.98,49.99,220.35,119.79,82.25,413.91,295.97,169.24,6011.01,43.33,67.31,89.25,164.9,124.47,104.77,155.42,97.85,140.49,89.83,158.39,78.15,218.98,195.78,91.84,147.13,56.64,44.54,32.22,137.41,8.09,181.19,0.0,74.67,3.26,39.75,35.28,147.55,50.38,158.63,37.72,5507.43,191.12,138.79,29.03,94.84,97.91,164.06,74.16,21.98,82.59,228.61,116.67,35.21,166.92,52.09
