miRNA,SRR10188959,SRR10188960,SRR10188961,SRR10188962,SRR10188964,SRR10188965,SRR10188966,SRR10188967,SRR10188968,SRR10188969,SRR10188970,SRR10188971,SRR10188972,SRR10188973,SRR10188975,SRR10188976,SRR10188977,SRR10188978,SRR10188979,SRR10188980,SRR10188981,SRR10188982,SRR10188983,SRR10188984,SRR10188986,SRR10188987,SRR10188988,SRR10188989,SRR10188990,SRR10188991,SRR10188992,SRR10188993,SRR10188994,SRR10188995,SRR10188997,SRR10189043,SRR10189044,SRR10189045,SRR10189046,SRR10189047,SRR10189048,SRR10189055,SRR10189056,SRR10189057,SRR10189058,SRR10189059,SRR10189060,SRR10189061,SRR10189062,SRR10189064,SRR10189065,SRR10189066,SRR10189067,SRR10189068,SRR10189069,SRR10189070,SRR10189071,SRR10189072,SRR10189073
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,4.0,186.0,83.0,45.0,48.0,62.0,82.0,45.0,108.0,252.0,350.0,163.0,21488.0,61.0,169.0,94.0,90.0,45.0,91.0,49.0,20.0,154.0,47.0,431.0,76.0,128.0,232.0,34.0,115.0,53.0,22.0,40.0,285.0,6.0,19.0,3.0,61.0,6.0,81.0,16.0,175.0,69.0,61.0,9.0,15006.0,239.0,285.0,74.0,325.0,209.0,25.0,15.0,189.0,29.0,131.0,116.0,95.0,163.0,37.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-let-7b-5p,4984.0,29485.0,5343.0,8765.0,3111.0,4303.0,6499.0,6900.0,12166.0,16444.0,37306.0,10361.0,74870.0,3679.0,15471.0,9686.0,14400.0,6882.0,9568.0,4198.0,13731.0,7460.0,5900.0,96763.0,12177.0,6581.0,13489.0,10785.0,9883.0,11781.0,3072.0,7041.0,48461.0,6785.0,27836.0,1020.0,18355.0,1559.0,14614.0,2760.0,6842.0,12027.0,10800.0,7027.0,22756.0,41575.0,31284.0,12523.0,39797.0,32153.0,15679.0,10557.0,25957.0,24186.0,10749.0,14473.0,10717.0,19862.0,8856.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,17.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,1259.0,12.0,8.0,2.0,0.0,54.0,4.0,5.0,190.0,1.0,2.0,1.0,1.0,0.0,0.0,52.0,0.0,87.0,0.0,0.0,6.0,41.0,403.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,27.0,175.0,1.0,0.0,0.0,11.0,0.0,114.0,64.0,0.0,139.0,3.0,0.0,0.0,0.0,0.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,23.0,6.0,2.0,7.0,3776.0,0.0,16.0,18.0,9.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,14.0,12.0,0.0,4.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,6.0,9.0,0.0,0.0,6.0
hsa-let-7d-5p,2.0,4.0,3.0,1.0,0.0,3.0,1.0,5.0,0.0,9.0,11.0,2.0,1766.0,2.0,3.0,4.0,3.0,3.0,6.0,0.0,9.0,0.0,3.0,9.0,5.0,9.0,2.0,5.0,8.0,1.0,2.0,3.0,8.0,2.0,8.0,1.0,4.0,0.0,6.0,1.0,5.0,6.0,9.0,0.0,669.0,3.0,19.0,3.0,12.0,5.0,6.0,5.0,4.0,6.0,6.0,10.0,4.0,13.0,4.0
hsa-let-7e-5p,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,9.0,2.0,1.0,804.0,0.0,11.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,25.0,6.0,4.0,2.0,0.0,0.0,17.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,110.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0
hsa-let-7f-5p,5.0,12.0,9.0,25.0,53.0,31.0,125.0,43.0,39.0,190.0,109.0,32.0,20065.0,35.0,47.0,58.0,62.0,60.0,45.0,58.0,40.0,50.0,51.0,97.0,35.0,96.0,107.0,45.0,93.0,36.0,18.0,18.0,71.0,2.0,54.0,0.0,19.0,2.0,13.0,10.0,83.0,11.0,40.0,11.0,3973.0,34.0,57.0,15.0,88.0,43.0,74.0,27.0,11.0,35.0,68.0,32.0,12.0,67.0,10.0
