miRNA,GSM4113683,GSM4113684,GSM4113685,GSM4113686,GSM4113687,GSM4113688,GSM4113689,GSM4113690,GSM4113691,GSM4113692,GSM4113693,GSM4113694,GSM4113695,GSM4113696,GSM4113697,GSM4113698,GSM4113699,GSM4113700
hsa-let-7a-5p,38.14,7.32,9.12,0.0,37.82,0.0,75.11,0.0,19.64,31.79,0.0,9.69,0.0,175.92,8.39,6.66,0.0,0.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,12.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,0.0,7.32,0.0,0.0,25.21,0.0,6.83,0.0,0.0,15.89,0.0,0.0,7.7,6.28,16.77,0.0,0.0,0.0
hsa-let-7c-5p,0.0,0.0,0.0,0.0,0.0,0.0,34.14,0.0,0.0,0.0,0.0,4.84,0.0,12.57,0.0,0.0,0.0,22.05
hsa-let-7d-3p,0.0,0.0,0.0,0.0,107.15,24.01,27.31,0.0,0.0,7.95,0.0,0.0,0.0,31.41,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,7.35
hsa-let-7e-5p,0.0,21.97,18.23,0.0,6.3,12.01,0.0,0.0,19.64,0.0,7.13,0.0,0.0,43.98,0.0,0.0,7.05,0.0
hsa-let-7f-5p,43.59,14.64,0.0,0.0,126.06,18.01,122.91,0.0,29.46,15.89,14.26,4.84,23.11,351.83,25.16,33.31,14.11,14.7
hsa-let-7g-5p,0.0,0.0,0.0,0.0,18.91,0.0,20.48,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0.0,13.32,0.0,0.0
hsa-let-7i-5p,0.0,0.0,9.12,6.63,12.61,6.0,6.83,0.0,19.64,47.68,0.0,19.37,15.41,56.54,8.39,0.0,0.0,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.0,25.21,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0.0,0.0,0.0,0.0
hsa-miR-101-3p,0.0,0.0,0.0,0.0,63.03,0.0,0.0,0.0,19.64,0.0,0.0,0.0,30.82,113.09,0.0,6.66,0.0,7.35
hsa-miR-103a-3p,5.45,0.0,0.0,0.0,31.51,0.0,20.48,0.0,0.0,0.0,0.0,0.0,7.7,12.57,0.0,0.0,0.0,7.35
hsa-miR-10401-3p,0.0,21.97,36.47,0.0,0.0,0.0,0.0,0.0,39.27,0.0,0.0,0.0,0.0,18.85,0.0,0.0,21.16,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-107,0.0,0.0,0.0,0.0,25.21,0.0,6.83,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,196.16,102.51,109.4,0.0,5735.64,282.17,3304.88,19.85,726.59,95.37,156.88,53.28,7.7,4221.98,83.86,86.59,63.48,470.38
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.85,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,365.08,197.69,592.58,6.63,12883.14,474.29,8637.76,13.23,1354.99,158.95,106.96,116.25,46.22,11610.45,150.95,479.59,84.64,933.42
hsa-miR-125a-5p,49.04,0.0,27.35,0.0,491.63,42.03,334.59,0.0,78.55,7.95,21.39,24.22,0.0,232.46,16.77,19.98,7.05,0.0
hsa-miR-125b-5p,27.24,0.0,9.12,0.0,81.94,6.0,47.8,0.0,0.0,0.0,0.0,0.0,0.0,25.13,0.0,0.0,0.0,0.0
hsa-miR-126-3p,0.0,0.0,0.0,6.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-126-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,33.31,0.0,0.0
hsa-miR-127-3p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66,0.0,0.0
hsa-miR-1273h-5p,0.0,0.0,0.0,6.63,12.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-128-3p,0.0,21.97,0.0,0.0,56.73,0.0,13.66,0.0,29.46,0.0,0.0,0.0,0.0,31.41,0.0,0.0,0.0,0.0
hsa-miR-1283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35
hsa-miR-1285-5p,0.0,0.0,0.0,0.0,6.3,0.0,40.97,0.0,9.82,0.0,0.0,4.84,0.0,12.57,0.0,0.0,21.16,0.0
hsa-miR-129-5p,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1303,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.57,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,0.0,0.0,0.0,0.0,6.3,12.01,0.0,0.0,0.0,31.79,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0
hsa-miR-1307-5p,0.0,0.0,27.35,0.0,100.85,6.0,34.14,0.0,9.82,0.0,42.78,0.0,0.0,113.09,0.0,0.0,0.0,22.05
hsa-miR-130a-3p,0.0,0.0,0.0,0.0,44.12,0.0,20.48,0.0,9.82,0.0,0.0,4.84,0.0,6.28,0.0,6.66,0.0,14.7
