miRNA,SRR10244519,SRR10244520,SRR10244521,SRR10244522,SRR10244523,SRR10244524,SRR10244525,SRR10244526,SRR10244527,SRR10244528
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
hsa-let-7a-5p,1567.0,2851.0,4182.0,4631.0,2065.0,4505.0,4879.0,3832.0,10930.0,1556.0
hsa-let-7b-5p,325.0,519.0,883.0,1133.0,435.0,907.0,1057.0,46.0,2357.0,28.0
hsa-let-7c-5p,17.0,18.0,225.0,278.0,15.0,28.0,34.0,35.0,702.0,24.0
hsa-let-7d-3p,9.0,40.0,38.0,24.0,15.0,46.0,25.0,64.0,381.0,24.0
hsa-let-7d-5p,44.0,87.0,116.0,172.0,70.0,107.0,171.0,113.0,249.0,84.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7e-5p,14.0,13.0,18.0,25.0,13.0,12.0,32.0,17.0,24.0,39.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,3563.0,7190.0,9156.0,10780.0,4278.0,9649.0,12071.0,10565.0,23476.0,16352.0
hsa-let-7g-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,1021.0,1805.0,2107.0,4153.0,1644.0,4033.0,7859.0,3278.0,10885.0,12812.0
hsa-let-7i-5p,2829.0,5385.0,7699.0,8915.0,3136.0,7620.0,11059.0,5389.0,16837.0,13561.0
hsa-miR-1-3p,11.0,16.0,22.0,43.0,33.0,72.0,16.0,2.0,6.0,8.0
hsa-miR-100-5p,28.0,46.0,64.0,60.0,17.0,63.0,27.0,11.0,12.0,71.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-101-3p,59.0,111.0,123.0,142.0,60.0,180.0,172.0,194.0,810.0,335.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,2.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-10394-3p,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,7.0,1.0
hsa-miR-10395-3p,1.0,2.0,6.0,11.0,7.0,14.0,20.0,27.0,16.0,19.0
hsa-miR-10395-5p,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
