miRNA,GSM4154495,GSM4154496,GSM4154497,GSM4154498,GSM4154499,GSM4154500,GSM4154501,GSM4154502,GSM4154503,GSM4154504,GSM4154505,GSM4154506,GSM4154507,GSM4154508,GSM4154509,GSM4154456,GSM4154457,GSM4154458,GSM4154459,GSM4154460,GSM4154461,GSM4154462,GSM4154463,GSM4154464,GSM4154465,GSM4154466,GSM4154467,GSM4154468,GSM4154469,GSM4154470,GSM4154471,GSM4154472,GSM4154473,GSM4154474,GSM4154475,GSM4154476,GSM4154477,GSM4154478,GSM4154479,GSM4154480,GSM4154481,GSM4154482,GSM4154483,GSM4154484,GSM4154485,GSM4154486,GSM4154487,GSM4154488,GSM4154489,GSM4154490,GSM4154491,GSM4154492,GSM4154493,GSM4154494
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,63.19,101.96,5.1,27.24,49.2,69.09,53.19,83.82,13.17,37.21,107.33,32.2,142.27,59.04,80.64,49.07,10.08,6.85,21.34,14.37,6.17,53.92,56.4,4.01,34.92,60.19,14.87,19.46,23.01,105.83,5.64,17.31,32.36,97.0,0.0,0.0,0.0,11.99,75.11,48.64,134.72,25.01,90.16,56.37,64.62,145.52,126.39,7.13,127.02,15.63,106.19,19.56,0.0,0.0
hsa-let-7a-5p,18795.69,39120.43,13623.25,30557.58,14538.54,29083.38,26285.3,34200.27,34135.77,41055.4,49071.41,29433.47,32025.32,34298.68,34953.25,34940.66,18736.33,25180.13,26207.39,18596.01,10509.71,36699.13,36530.36,5979.74,30416.39,38745.89,20348.04,17284.54,22578.08,33463.94,9040.55,11559.21,34154.21,41425.41,884.56,1796.57,24429.32,13996.25,42328.58,36014.04,28496.38,14300.95,28771.53,21211.03,27323.22,42926.17,29274.13,7763.21,42804.27,12077.26,28492.94,7547.1,6917.76,44592.96
hsa-let-7b-3p,4.86,12.38,0.3,2.45,9.88,11.0,8.79,14.76,6.27,6.8,13.94,8.47,23.01,9.26,7.56,4.92,4.71,0.51,5.73,3.55,0.51,19.73,11.62,0.0,6.17,7.81,2.01,1.62,2.76,12.85,1.34,1.87,5.08,12.29,0.0,0.0,0.0,0.0,17.18,13.07,17.38,4.91,12.37,6.87,10.7,21.84,18.17,1.68,19.0,2.47,17.45,2.24,0.0,57.61
hsa-let-7b-5p,3596.45,7687.6,5605.51,7518.53,2700.17,7980.27,7027.29,8280.65,10586.97,6021.57,7366.56,3364.43,4395.79,8589.19,8913.28,9057.96,5907.5,4521.08,5406.82,4713.7,2795.29,8064.76,8142.4,2310.01,8849.18,5477.52,5302.35,4601.21,4622.46,5631.33,2693.72,2398.51,6186.09,7864.26,236.71,158.52,5366.44,4953.26,6642.39,9154.56,7874.11,4020.75,6092.48,7983.03,6266.1,8874.86,4670.82,1890.05,8144.33,2259.44,5186.91,5203.46,3074.56,14057.73
hsa-let-7c-3p,0.69,0.0,0.0,0.11,0.0,0.06,0.0,0.0,0.0,0.0,0.12,0.0,0.81,0.16,0.02,0.32,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.46,0.0,0.15,0.15,0.63,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.24,0.33,0.12,0.22,0.22,0.16,1.68,0.0,0.0,0.48,0.0,0.0,0.0
hsa-let-7c-5p,614.86,297.69,2146.66,525.7,306.33,3084.17,3716.91,296.26,233.26,1820.59,398.05,482.09,2238.36,455.88,406.58,2963.31,2612.56,450.94,421.67,424.81,275.57,386.67,404.26,102.93,4024.19,377.12,141.48,192.93,277.46,246.04,982.54,81.34,483.57,336.86,336.38,0.0,640.77,2914.39,193.18,1766.98,552.4,245.76,291.36,2812.86,391.21,562.99,366.93,370.8,541.55,364.85,2063.29,345.98,0.0,1037.05
hsa-let-7d-3p,813.79,1113.54,154.53,502.4,465.75,1014.09,747.91,925.28,473.22,867.88,1049.98,1350.52,1225.93,765.74,892.69,661.91,344.22,281.68,372.11,300.83,115.68,773.33,740.06,205.65,589.85,790.29,242.77,286.97,592.19,1213.14,170.06,188.12,1137.2,1392.42,0.0,0.0,360.43,215.88,739.57,616.42,1118.32,276.55,688.8,472.52,858.17,1859.0,1343.53,183.3,1680.28,197.44,1222.15,241.18,0.0,1613.18
hsa-let-7d-5p,3329.81,5105.77,1580.74,3885.96,2098.98,4407.11,4619.73,5410.48,4965.43,5299.33,6276.49,4776.8,4713.83,5849.67,7013.49,9333.85,3043.5,4988.52,5281.07,3518.38,1357.8,3687.8,3757.57,2461.15,4820.43,4288.27,2920.47,1553.19,3150.96,6086.94,1933.48,1439.54,4384.46,5121.78,161.96,132.1,4044.85,1721.05,2825.24,4900.49,5905.94,2299.55,4275.34,4357.38,4293.68,6439.85,4984.98,1374.96,6789.46,1090.64,4004.23,2664.47,1537.28,5761.36
hsa-let-7e-3p,4.51,5.45,0.0,1.06,2.47,3.97,4.23,3.73,2.93,1.6,3.74,0.85,3.23,2.28,2.25,1.7,1.34,0.25,1.29,1.24,0.0,2.63,1.72,0.62,3.32,4.08,2.81,0.0,0.92,2.09,1.04,1.19,2.54,5.93,0.0,0.0,40.05,0.0,0.74,1.5,6.28,1.11,2.65,1.93,2.84,4.3,6.4,1.26,7.03,0.39,2.95,1.68,0.0,0.0
hsa-let-7e-5p,386.07,777.47,172.84,817.72,209.86,680.8,740.19,790.04,827.92,573.39,815.78,281.29,403.8,817.63,827.19,696.41,339.51,367.96,481.69,389.51,177.37,239.37,217.41,148.58,581.03,1084.14,781.36,295.07,284.82,420.03,109.96,107.98,552.1,881.32,12.46,0.0,360.43,257.86,142.61,103.06,1148.26,299.03,611.79,565.87,492.28,628.09,360.53,223.57,1131.59,44.37,357.85,519.54,0.0,691.36
hsa-let-7f-1-3p,2.08,4.62,0.0,0.53,1.59,1.59,2.56,1.53,0.0,0.4,2.37,0.85,2.22,1.26,1.84,0.57,0.0,0.25,0.29,1.06,0.0,1.32,1.29,0.0,0.19,1.95,0.4,0.0,1.38,2.39,0.15,0.97,0.63,1.1,0.0,0.0,0.0,0.0,2.7,1.07,2.9,0.24,0.88,0.6,1.53,3.53,3.0,0.0,2.2,0.39,3.61,0.0,0.0,0.0
hsa-let-7f-2-3p,9.37,18.67,0.0,5.11,9.17,19.0,12.32,26.47,2.51,6.4,29.14,1.69,20.99,8.95,10.95,6.62,0.67,0.0,3.58,5.14,1.03,18.41,19.8,0.21,5.41,21.66,3.62,3.24,5.52,46.04,1.63,1.87,11.42,35.99,0.0,0.0,0.0,0.0,8.35,3.86,22.21,2.45,14.81,7.83,18.99,37.07,38.63,0.42,42.41,0.5,32.24,3.07,0.0,0.0
hsa-let-7f-5p,18759.24,42384.9,10846.45,22108.0,14044.22,27788.24,23971.74,28998.15,20399.94,48726.3,57499.29,32303.95,34818.83,27524.84,30686.0,27942.77,17446.19,19837.86,19973.26,14565.91,9121.06,30408.56,31185.05,4533.56,28539.23,42344.19,16254.72,14311.1,20679.58,33467.53,7441.71,9606.72,38321.0,46710.89,1719.28,1215.32,19543.45,11867.43,40682.53,30571.7,28871.08,10379.68,26497.85,18784.82,23074.94,38670.0,32089.71,5953.28,41157.48,10346.45,28879.89,4815.28,4611.84,38773.98
hsa-let-7g-3p,0.35,0.42,0.0,0.0,0.0,0.12,0.0,0.34,0.21,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.18,0.51,0.0,0.86,0.0,0.28,0.0,0.0,0.0,0.92,1.2,0.0,0.0,1.9,1.1,0.0,0.0,0.0,6.0,0.0,0.86,0.0,0.08,0.33,0.0,0.0,0.33,0.39,0.0,0.0,0.0,0.33,2.24,0.0,0.0
hsa-let-7g-5p,15047.87,25311.91,7891.71,12512.83,10478.14,17312.8,15427.43,17547.5,12607.13,21283.75,25053.91,19232.58,21493.22,20063.77,21391.92,20947.98,9955.42,12789.52,12308.26,8154.74,5407.55,24726.93,24672.59,6198.81,18882.71,20082.18,8948.71,8884.65,12312.14,20093.67,6757.74,7803.32,15743.17,18560.76,660.3,951.12,14977.97,6734.27,28955.19,30677.11,19307.91,8096.28,16445.6,12877.62,14389.56,21335.66,21582.35,3552.76,21633.91,10383.93,21924.76,7779.62,4996.16,22815.0
hsa-let-7i-3p,2.08,2.1,0.0,0.85,1.76,5.8,3.44,11.03,2.93,6.0,7.6,3.39,4.04,3.77,2.28,1.83,2.69,0.76,1.72,2.66,1.03,3.95,6.89,0.69,4.74,5.33,0.4,1.62,4.6,8.67,0.89,0.22,3.81,8.12,0.0,0.0,0.0,0.0,3.93,9.21,2.41,1.27,1.22,0.96,2.4,9.93,12.95,0.0,5.88,0.67,7.66,0.0,0.0,0.0
hsa-let-7i-5p,15663.08,25609.18,7519.63,16528.19,9454.58,18494.62,15727.11,17509.49,9469.77,22820.25,30048.96,13545.83,17840.86,25665.84,28686.1,27948.01,8936.21,13720.08,13945.11,7908.55,4694.46,23000.09,23540.33,8751.48,20457.73,23918.76,5518.19,10175.2,11263.04,21348.67,6624.48,7455.73,19519.05,27141.97,398.67,369.88,14817.78,6290.52,22620.36,22853.94,18426.68,8022.11,14849.55,15520.64,17051.39,21352.32,21879.77,2969.72,22294.92,9193.06,17633.54,12017.79,8839.35,20798.53
hsa-miR-1-3p,120.12,226.57,86.72,337.77,362.76,462.79,353.61,334.78,125.41,1970.64,2327.94,361.78,430.84,543.57,723.54,523.65,191.61,502.2,475.38,291.78,167.6,206.49,216.98,21.03,123.17,473.0,122.59,157.26,370.4,901.04,130.89,133.8,1603.64,2011.05,24.92,26.42,120.14,95.95,91.8,31.92,180.59,71.31,273.24,100.09,30.34,218.89,208.39,34.81,414.43,71.6,423.71,60.65,0.0,979.43
hsa-miR-100-5p,121.17,263.28,95.12,115.36,58.55,237.32,169.0,186.31,153.0,176.46,218.26,76.25,146.1,208.27,182.3,80.86,28.91,27.91,62.88,76.27,41.64,53.92,59.84,38.39,195.19,71.55,102.09,244.81,168.87,152.17,41.55,32.83,114.23,158.01,112.13,0.0,0.0,83.95,251.35,27.21,144.86,89.6,190.6,112.98,125.75,107.35,102.38,13.84,101.61,217.33,177.43,94.46,0.0,518.52
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.17,0.0,0.4,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.32,0.0,0.73,0.0,0.24,0.0,0.0,0.0
hsa-miR-101-3p,6315.22,12377.99,3403.04,3099.63,5944.93,10387.91,6985.12,10541.67,4595.47,10813.13,11379.11,8428.44,10029.22,5490.51,5189.07,3833.17,4150.11,1813.15,2265.91,2349.67,1811.77,15874.37,16001.95,967.31,7997.24,9856.17,5301.94,5265.94,3892.69,4783.21,1521.08,1637.59,9415.57,10129.22,74.75,871.86,2442.93,1781.01,14693.48,25319.18,12183.69,2337.7,5987.95,3872.21,5708.1,9664.25,14337.6,1208.86,10149.6,3193.81,13524.59,3565.48,2690.24,17226.48
hsa-miR-101-5p,0.0,0.42,0.0,0.0,0.0,0.49,0.23,0.34,0.0,0.0,0.12,0.85,0.61,0.94,0.57,0.0,0.67,0.0,0.14,0.0,0.0,0.0,0.86,0.28,0.28,0.18,0.8,0.0,0.0,0.3,0.3,0.15,0.0,0.22,0.0,0.0,0.0,0.0,0.25,2.57,0.48,0.32,0.44,0.24,0.0,0.99,0.55,0.0,0.94,0.0,0.33,0.0,0.0,0.0
hsa-miR-10226,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
