miRNA,SRR10500680,SRR10500682,SRR10500683,SRR10500684,SRR10500686,SRR10500688,SRR10500690,SRR10500691,SRR10500692,SRR10500694,SRR10500695,SRR10500696,SRR10500697,SRR10500698,SRR10500699,SRR10500700,SRR10500702,SRR10500703,SRR10500704,SRR10500707,SRR10500708,SRR10500710,SRR10500711,SRR10500713,SRR10500714,SRR10500715,SRR10500717,SRR10500718,SRR10500719,SRR10500721,SRR10500722,SRR10500723,SRR10500724,SRR10500726,SRR10500727,SRR10500728,SRR10500730,SRR10500731,SRR10500732,SRR10500733,SRR10500735,SRR10500736,SRR10500737,SRR10500739,SRR10500741,SRR10500742,SRR10500743,SRR10500746,SRR10500747,SRR10500748,SRR10500750,SRR10500751,SRR10500752,SRR10500754,SRR10500755,SRR10500756,SRR10500758,SRR10500760,SRR10500762,SRR10500763,SRR10500764,SRR10500765,SRR10500766,SRR10500768,SRR10500770,SRR10500771,SRR10500772,SRR10500774,SRR10500775,SRR10500778,SRR10500779,SRR10500781,SRR10500782,SRR10500784,SRR10500785,SRR10500787,SRR10500788,SRR10500789,SRR10500791,SRR10500792,SRR10500794,SRR10500795,SRR10500798,SRR10500799,SRR10500800,SRR10500801,SRR10500802,SRR10500803,SRR10500805,SRR10500806,SRR10500808,SRR10500809,SRR10500810,SRR10500812,SRR10500813,SRR10500814,SRR10500816,SRR10500817,SRR10500818,SRR10500819,SRR10500821,SRR10500822
hsa-let-7a-3p,23.08,0.0,58.17,77.57,34.61,45.42,1053.03,17.61,12.38,168.74,10.7,38.88,50.01,28.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,16.77,12.65,115.18,139.08,0.0,0.0,0.0,0.0,50.37,46.82,0.39,25.22,0.0,0.0,13.26,0.0,0.0,19.14,19.7,13.54,40.8,120.13,21.03,15.68,22.41,52.53,166.05,333.05,65.79,0.0,0.0,84.37,4.77,58.83,52.59,0.0,0.0,5.65,10.22,4.73,24.49,20.68,0.0,0.0,60.32,9.19,0.0,0.0,1.76,15.85,33.32,0.0,15.43,3.66,3.6,0.0,7.29,0.0,131.02,0.0,14.62,11.99,6.67,13.7,13.39,6.75,0.52,0.0,0.46,0.0,0.0,0.0,2.04,0.28,1.95,0.0,0.0,54.61,0.0,12.01
hsa-let-7a-5p,20432.01,76566.26,9404.26,12115.67,16943.82,20700.53,167704.21,9942.17,8786.01,142667.44,16145.67,9833.56,11094.62,31955.93,921.73,1050.46,795.45,3042.09,3444.85,1620.55,1819.04,54041.6,24050.39,24436.72,8771.33,15959.86,76878.18,5109.01,7715.94,231309.71,10343.24,10471.55,3980.07,3238.18,3172.55,4122.03,30014.63,9159.25,9830.81,6683.42,10908.68,58675.83,63638.57,19418.87,42574.84,17745.57,18297.7,17628.76,11876.56,12080.94,36586.41,20470.41,24621.83,24309.48,22773.04,10318.75,25414.0,13149.84,2240.48,2979.65,16468.79,7398.89,9308.25,18739.47,1486.93,10410.24,14344.02,11438.23,45946.09,10431.77,15951.74,22510.11,13552.4,18800.54,13936.17,11995.52,11948.53,10309.37,15710.34,1205.09,8099.64,1080.6,18764.49,9261.54,45801.17,2553.2,36170.66,1642.46,9298.86,7662.77,660.68,3049.72,4402.9,201518.69,7618.67,8429.67,17803.91,6960.86,7499.26,11722.31,92783.17,7010.22
hsa-let-7b-3p,0.0,0.0,5.74,6.98,1.76,0.0,0.0,12.32,12.38,0.31,0.67,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,9.6,7.32,0.0,18.47,21.16,0.0,7.0,5.26,8.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,5.78,0.34,0.0,0.0,0.0,1.06,1.25,0.56,0.0,0.0,8.58,0.97,0.0,0.0,0.1,0.49,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,8.47,0.0,0.0,0.0,0.54,0.0,0.41,0.0,0.0,3.46,2.5,0.0,0.0,0.31,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,0.0,0.0
hsa-let-7b-5p,34833.45,4968.46,18215.34,21259.41,27520.07,29384.56,18316.95,16847.16,13657.24,9896.28,28079.11,25193.07,26470.86,18162.11,2196.27,2140.94,1227.7,7692.56,8327.19,9845.73,11045.63,18215.04,36279.6,10787.45,15043.87,22957.96,18057.6,7526.2,11292.45,14897.25,43404.65,40266.59,23394.1,7502.98,21626.61,25509.88,15168.83,13528.63,11816.16,15729.08,12209.06,26827.91,28304.12,41709.67,14617.9,64471.98,62899.92,13204.96,27954.02,30953.02,12748.48,18390.61,21353.8,14152.04,8592.5,29814.4,12327.74,4526.27,4016.06,11404.8,12475.3,32604.48,14179.61,29528.15,10234.22,5535.01,20010.56,10856.3,14120.97,8827.4,13023.52,13194.3,29437.69,20791.21,17769.69,6774.6,10636.93,14658.03,10626.16,2841.41,16868.33,4726.65,10882.47,18685.61,17230.8,13798.52,15718.92,23680.98,20523.92,16056.71,392.91,4180.77,5444.71,17160.16,18246.75,17503.81,14769.92,15862.4,12990.15,37780.94,7406.87,26566.27
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0
hsa-let-7c-5p,9462.91,87.53,3955.57,5008.55,7448.2,9142.13,171.99,4683.87,3899.01,804.11,6305.98,6019.4,6455.13,326.48,659.2,691.21,4.25,1840.56,2033.06,1548.64,1950.11,603.92,8795.69,301.91,3469.82,5583.48,1059.64,2181.89,3531.36,218.01,10115.16,9778.8,5444.42,39.73,4179.2,4749.17,359.02,151.55,144.26,4896.52,4577.58,618.83,657.97,14123.69,234.58,8078.69,8192.17,316.43,5212.1,6475.67,195.03,4828.36,6138.59,395.87,221.91,6818.02,175.63,287.03,10.28,2496.7,261.9,6229.69,3610.83,7834.98,2342.74,275.94,5473.19,4202.56,815.55,535.16,8884.03,328.09,9489.51,343.5,4077.63,187.35,254.93,3777.17,206.87,883.74,701.91,884.94,320.66,4311.69,525.72,2508.24,377.12,5592.72,6535.54,5692.88,17.48,1692.27,2328.25,221.35,4251.23,4630.3,33.17,2317.99,2893.49,9311.24,71.92,5227.13
hsa-let-7d-3p,229.86,1.96,149.99,195.32,403.03,570.0,2749.82,212.6,194.11,1915.84,224.62,173.45,177.11,776.35,1.08,0.5,10.62,5.65,10.67,0.86,0.0,645.36,350.36,287.45,113.58,227.84,1695.22,158.2,238.43,592.12,214.08,244.14,376.32,335.48,295.5,364.22,950.17,1114.22,991.41,282.11,847.21,903.27,981.9,313.28,1102.73,376.21,400.6,633.48,257.75,313.57,1980.55,92.16,90.51,1857.43,337.04,377.08,771.54,3.15,3.02,173.37,280.16,58.72,300.37,306.36,0.8,410.57,259.04,115.24,207.44,495.73,742.64,965.26,304.46,489.56,46.29,712.08,487.35,0.76,330.54,0.0,8.21,1.49,166.77,428.58,317.32,123.33,345.96,29.13,272.79,217.37,5.98,0.48,0.43,3023.79,196.36,208.85,17928.78,29.22,2.11,692.05,7848.57,2.09
hsa-let-7d-5p,1110.1,18420.4,685.0,942.0,941.0,1103.99,37933.17,376.35,326.32,33364.04,770.11,631.61,824.6,5294.21,27.69,32.27,206.03,21.06,32.98,0.86,0.0,8819.47,1211.67,2990.19,1147.01,1927.04,17447.95,329.25,357.89,55000.86,919.31,945.01,311.2,613.58,331.22,352.71,4988.91,1310.6,1738.14,487.24,1497.4,7625.69,7867.74,1086.51,7269.08,1725.14,1980.57,2582.52,205.71,184.34,7122.42,1504.43,2212.23,4958.83,2604.47,1076.08,5576.41,9.46,213.41,353.85,2383.63,291.71,654.07,1137.79,2.65,2122.53,708.38,417.94,3125.74,1608.87,1669.91,9562.28,693.61,2286.84,326.48,1662.73,1245.84,155.49,2123.67,113.73,1234.19,81.94,1890.86,859.7,5756.75,255.66,4694.83,236.39,866.79,850.85,79.59,114.63,153.53,36038.94,456.7,554.89,10672.59,443.49,179.13,921.49,13946.46,31.32
hsa-let-7e-3p,0.0,0.0,10.43,14.51,0.0,0.0,0.0,2.64,3.94,0.0,0.0,5.68,10.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.07,0.0,0.0,0.0,0.0,7.0,7.17,0.0,0.0,3.25,0.0,0.0,0.0,0.0,15.45,45.97,0.0,0.0,6.97,0.0,19.8,21.39,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,10.62,0.0,0.0,0.0,0.0,0.0,0.08,0.17,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.29,0.0,0.0
hsa-let-7e-5p,3265.13,3576.43,1114.88,1421.37,2174.15,2579.67,3641.56,1060.38,873.2,5624.67,1992.14,2305.42,2548.3,1270.69,91.35,94.31,10.62,460.78,574.22,839.81,576.33,1047.13,2965.27,609.25,1201.4,1816.32,684.08,627.18,1105.17,5907.11,1874.29,1860.88,815.82,247.83,483.84,473.81,1371.41,465.33,412.45,1123.25,1155.89,2051.61,2310.11,1956.99,1306.18,4427.11,4500.25,920.43,1462.26,1469.02,829.2,1092.2,1373.44,665.2,544.04,1663.96,1057.19,0.0,353.06,631.42,956.08,1542.46,1442.25,3332.18,220.45,297.9,1781.69,823.08,1559.05,156.61,1668.14,443.01,1570.85,1123.81,1396.64,214.43,370.69,1462.19,481.18,210.53,799.66,140.04,536.86,2660.5,1002.25,509.18,741.94,331.74,654.39,545.69,19.78,363.01,479.85,10836.79,1741.4,1857.27,24059.17,307.69,355.1,1869.74,10645.27,544.95
