miRNA,SRR10531357,SRR10531358,SRR10531359,SRR10531360,SRR10531361,SRR10531362,SRR10531363,SRR10531364,SRR10531365,SRR10531366,SRR10531367,SRR10531368,SRR10531369,SRR10531370,SRR10531371,SRR10531372,SRR10531373,SRR10531374,SRR10531375,SRR10531376,SRR10531377,SRR10531378,SRR10531379,SRR10531380,SRR10531381,SRR10531382,SRR10531383,SRR10531384,SRR10531385,SRR10531386,SRR10531387,SRR10531388,SRR10531389,SRR10531390,SRR10531391,SRR10531392,SRR10531393,SRR10531394
hsa-let-7a-3p,0.0,0.0,0.36,0.02,0.0,0.36,1.82,0.28,0.28,0.1,0.0,4.33,0.0,3.06,0.12,0.54,0.07,0.03,0.41,0.05,0.76,0.0,0.08,0.62,0.07,0.34,0.15,0.75,0.09,0.01,0.27,0.05,0.12,0.0,0.0,0.51,0.02,0.27
hsa-let-7a-5p,3801.85,7435.42,2626.66,4799.08,6030.46,2777.82,24813.36,9123.74,4701.81,3821.04,9763.37,6763.57,12336.67,5130.51,2848.01,3972.93,5305.76,1338.42,3093.08,4059.49,5421.49,3841.56,5203.97,2499.33,2875.76,4231.83,7845.83,1983.33,10688.93,4986.22,10642.2,7516.05,4152.8,5949.25,4892.34,10267.26,6078.61,5086.67
hsa-let-7b-3p,0.7,0.13,0.0,0.34,0.0,0.37,3.65,2.78,1.69,1.37,0.0,3.89,2.01,2.67,0.12,0.13,0.06,0.12,0.75,0.79,0.34,0.15,0.06,0.11,0.06,0.7,0.2,0.04,0.09,0.01,0.05,0.09,1.94,0.35,0.21,0.21,0.98,0.4
hsa-let-7b-5p,20726.53,6856.62,12937.8,9137.77,25637.24,6005.39,65158.23,7147.94,4305.68,13064.03,31940.04,22535.65,16947.26,32886.06,8410.01,7500.7,5794.76,18507.51,7258.32,13883.58,10302.04,8105.83,5484.66,32052.05,6396.43,10692.63,8441.36,8273.65,7712.21,3684.39,10243.16,15439.87,9367.92,6865.73,4828.48,36726.62,11632.59,15079.97
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,638.95,240.8,207.7,166.38,325.8,303.93,909.81,211.52,254.96,165.65,489.51,476.05,1275.76,712.51,212.53,183.4,253.49,402.8,203.86,166.95,356.65,149.82,169.94,430.45,155.04,555.16,189.56,114.74,377.76,114.97,164.13,238.68,161.71,259.04,103.72,269.02,684.37,287.69
hsa-let-7d-3p,40.88,41.42,30.65,106.12,33.56,45.17,472.65,287.47,130.38,244.75,562.59,411.94,202.33,123.75,103.44,49.95,32.79,54.01,112.61,147.64,79.17,54.92,37.97,12.97,50.57,92.39,51.82,37.29,65.6,41.21,35.73,61.11,144.94,99.03,50.42,216.78,146.94,90.61
hsa-let-7d-5p,45.26,116.72,37.73,76.09,127.13,33.43,547.97,232.67,81.88,69.45,216.08,108.93,267.94,100.13,53.92,87.74,125.37,16.12,65.42,60.74,120.07,112.1,102.99,44.98,70.54,69.11,167.43,35.74,169.67,123.78,289.28,107.02,70.91,91.65,113.17,219.72,124.95,69.33
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.87,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.31,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.08
hsa-let-7e-5p,177.71,113.43,150.91,142.91,165.13,82.97,72.72,54.89,43.36,116.5,187.4,164.88,80.63,131.45,74.11,61.47,162.99,60.31,43.99,151.46,148.35,235.58,79.12,82.02,79.02,177.77,60.59,59.12,205.85,56.25,470.88,159.42,346.63,111.56,115.11,77.77,88.45,82.8
