miRNA,SRR10531357,SRR10531358,SRR10531359,SRR10531360,SRR10531361,SRR10531362,SRR10531363,SRR10531364,SRR10531365,SRR10531367,SRR10531368,SRR10531369,SRR10531370,SRR10531371,SRR10531372,SRR10531373,SRR10531374,SRR10531375,SRR10531377,SRR10531378,SRR10531379,SRR10531380,SRR10531381,SRR10531382,SRR10531383,SRR10531384,SRR10531385,SRR10531386,SRR10531387,SRR10531388,SRR10531389,SRR10531390,SRR10531391,SRR10531392,SRR10531393,SRR10531394
hsa-let-7a-3p,0.0,0.0,30.0,2.0,0.0,28.0,130.0,23.0,22.0,0.0,322.0,0.0,259.0,8.0,45.0,8.0,2.0,37.0,60.0,0.0,8.0,40.0,9.0,24.0,12.0,56.0,7.0,1.0,27.0,3.0,11.0,0.0,0.0,31.0,1.0,13.0
hsa-let-7a-5p,183942.0,613635.0,216294.0,398777.0,308524.0,216858.0,1774962.0,754162.0,372804.0,808177.0,502795.0,980397.0,433990.0,195849.0,333815.0,618690.0,97710.0,279432.0,429631.0,309254.0,515639.0,160468.0,353631.0,301381.0,623912.0,148011.0,815852.0,376536.0,1074449.0,494087.0,378845.0,463802.0,479925.0,621531.0,309887.0,242280.0
hsa-let-7b-3p,34.0,11.0,0.0,28.0,0.0,29.0,261.0,230.0,134.0,0.0,289.0,160.0,226.0,8.0,11.0,7.0,9.0,68.0,27.0,12.0,6.0,7.0,7.0,50.0,16.0,3.0,7.0,1.0,5.0,6.0,177.0,27.0,21.0,13.0,50.0,19.0
hsa-let-7b-5p,1002796.0,565868.0,1065370.0,759298.0,1311625.0,468827.0,4660932.0,590844.0,341395.0,2643882.0,1675271.0,1346802.0,2781831.0,578330.0,630227.0,675711.0,1351117.0,655724.0,816394.0,652538.0,543452.0,2057885.0,786567.0,761503.0,671269.0,617442.0,588648.0,278228.0,1034161.0,1014980.0,854602.0,535251.0,473660.0,2223255.0,593028.0,718265.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,30914.0,19873.0,17103.0,13825.0,16668.0,23727.0,65081.0,17484.0,20216.0,40520.0,35389.0,101385.0,60271.0,14615.0,15410.0,29559.0,29406.0,18417.0,28263.0,12061.0,16839.0,27637.0,19065.0,39537.0,15074.0,8563.0,28833.0,8682.0,16571.0,15690.0,14752.0,20195.0,10175.0,16285.0,34889.0,13703.0
hsa-let-7d-3p,1978.0,3418.0,2524.0,8818.0,1717.0,3526.0,33810.0,23762.0,10338.0,46569.0,30623.0,16079.0,10468.0,7113.0,4197.0,3824.0,3943.0,10173.0,6274.0,4421.0,3762.0,833.0,6218.0,6580.0,4121.0,2783.0,5007.0,3112.0,3607.0,4017.0,13222.0,7720.0,4946.0,13123.0,7491.0,4316.0
hsa-let-7d-5p,2190.0,9633.0,3107.0,6323.0,6504.0,2610.0,39198.0,19232.0,6492.0,17886.0,8098.0,21293.0,8470.0,3708.0,7372.0,14619.0,1177.0,5910.0,9515.0,9024.0,10205.0,2888.0,8674.0,4922.0,13314.0,2667.0,12950.0,9347.0,29206.0,7035.0,6469.0,7145.0,11102.0,13301.0,6370.0,3302.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,60.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0
hsa-let-7e-5p,8598.0,9361.0,12427.0,11875.0,8448.0,6477.0,5202.0,4537.0,3438.0,15512.0,12257.0,6408.0,11119.0,5096.0,5165.0,19006.0,4403.0,3974.0,11756.0,18965.0,7840.0,5266.0,9717.0,12660.0,4818.0,4412.0,15712.0,4248.0,47541.0,10480.0,31622.0,8697.0,11292.0,4708.0,4509.0,3944.0
