miRNA,GSM4224386,GSM4224387,GSM4224388,GSM4224389,GSM4224390,GSM4224391,GSM4224392,GSM4224393,GSM4224394
hsa-let-7a-5p,1324.32,464.45,4578.18,0.0,0.0,0.0,2196.41,81.09,327.27
hsa-let-7b-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,15278.05,40219.84,50577.85,13043.48,2971.59,242.01,78499.68,1419.0,4454.29
hsa-let-7c-3p,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,104.16,1306.26,239.8,0.0,0.0,0.0,51.55,2.03,9.51
hsa-let-7d-3p,0.0,0.0,9.02,0.0,0.0,56.94,3.22,0.0,5.71
hsa-let-7d-5p,29.76,58.06,9.02,0.0,0.0,0.0,25.77,0.0,5.71
hsa-let-7e-5p,7.44,9.68,27.07,0.0,0.0,0.0,1.61,0.0,11.42
hsa-let-7f-1-3p,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,200.88,264.48,122.48,0.0,29.72,0.0,49.13,16.22,38.05
hsa-let-7g-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,178.56,38.7,14.18,0.0,0.0,0.0,27.38,2.03,9.51
hsa-let-7i-3p,7.44,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,119.04,87.08,39.97,0.0,0.0,0.0,37.05,0.0,5.71
hsa-miR-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-100-5p,18.6,0.0,0.0,0.0,0.0,0.0,2.42,22.3,11.42
hsa-miR-101-3p,11691.97,3763.96,1642.52,367.42,475.45,99.65,891.61,466.24,669.76
hsa-miR-10399-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,4765.32,9434.08,6377.99,61.24,178.3,42.71,3373.14,1303.46,2787.5
hsa-miR-106b-3p,3.72,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0
hsa-miR-106b-5p,22.32,0.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0
hsa-miR-107,26.04,77.41,2.58,0.0,0.0,0.0,0.81,2.03,5.71
hsa-miR-10a-5p,11.16,58.06,47.7,0.0,0.0,0.0,19.33,8.11,11.42
hsa-miR-1179,7.44,16.13,0.0,0.0,0.0,0.0,7.25,0.0,0.0
hsa-miR-12136,0.0,22.58,7.74,0.0,0.0,0.0,3.22,2.03,0.0
hsa-miR-1244,0.0,0.0,6.45,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-125a-5p,40.92,338.66,180.5,734.84,178.3,0.0,175.58,263.53,433.82
hsa-miR-125b-5p,29.76,161.27,70.91,0.0,0.0,0.0,43.49,79.06,171.25
hsa-miR-1270,7.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0
hsa-miR-1285-5p,0.0,12.9,50.28,0.0,0.0,42.71,0.81,68.92,15.22
hsa-miR-1287-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-1296-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,3.81
hsa-miR-1301-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,59.52,258.03,803.21,61.24,0.0,0.0,54.77,111.49,226.42
hsa-miR-1307-5p,29.76,0.0,6.45,0.0,0.0,0.0,0.0,0.0,3.81
hsa-miR-130b-3p,11.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
hsa-miR-1323,7.44,0.0,3.87,0.0,0.0,0.0,0.0,4.05,0.0
hsa-miR-1324,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-135a-2-3p,22.32,0.0,0.0,0.0,0.0,0.0,1.61,4.05,0.0
hsa-miR-135a-5p,3.72,32.25,0.0,0.0,0.0,0.0,4.83,2.03,0.0
hsa-miR-140-3p,736.56,48.38,110.88,0.0,0.0,0.0,92.62,4.05,1.9
hsa-miR-140-5p,29.76,12.9,10.31,0.0,0.0,0.0,7.25,0.0,5.71
hsa-miR-141-3p,124627.53,47434.9,11198.55,1653.4,148.58,170.83,8415.14,5714.53,6452.15
hsa-miR-141-5p,572.88,922.44,272.03,0.0,59.43,0.0,510.64,20.27,53.28
hsa-miR-142-3p,487.32,358.01,34.81,183.71,237.73,42.71,41.88,32.43,43.76
hsa-miR-142-5p,11.16,58.06,0.0,61.24,0.0,0.0,0.0,8.11,0.0
hsa-miR-143-3p,7.44,19.35,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-145-5p,0.0,0.0,0.0,61.24,0.0,0.0,4.83,0.0,0.0
hsa-miR-1468-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0
hsa-miR-146a-5p,66.96,67.73,0.0,0.0,0.0,0.0,5.64,0.0,1.9
hsa-miR-146b-3p,40.92,703.12,371.31,306.18,59.43,0.0,819.12,178.39,234.04
hsa-miR-146b-5p,133.92,209.65,72.2,0.0,0.0,0.0,67.66,42.57,5.71
hsa-miR-147b-5p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-148a-3p,7328.41,622.49,593.06,244.95,0.0,0.0,405.13,36.49,22.83
hsa-miR-148a-5p,0.0,6.45,10.31,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-148b-3p,297.6,38.7,25.79,0.0,0.0,0.0,8.05,0.0,7.61
hsa-miR-151a-3p,7.44,29.03,25.79,0.0,0.0,0.0,10.47,8.11,0.0
hsa-miR-151a-5p,14.88,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0
hsa-miR-151b,14.88,32.25,0.0,0.0,0.0,0.0,17.72,0.0,1.9
hsa-miR-152-3p,12897.25,3312.41,1088.14,979.79,0.0,0.0,1693.82,135.82,294.92
hsa-miR-155-5p,3.72,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0.0
hsa-miR-15a-3p,14.88,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0
hsa-miR-15a-5p,78.12,48.38,2.58,0.0,0.0,0.0,12.89,8.11,5.71
hsa-miR-15b-3p,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15b-5p,14.88,6.45,12.89,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-16-5p,10237.45,7118.3,1580.64,1592.16,178.3,14.24,13424.92,336.51,428.11
hsa-miR-17-5p,3.72,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-181a-2-3p,3.72,12.9,0.0,0.0,0.0,0.0,3.22,0.0,9.51
hsa-miR-181a-3p,3.72,0.0,0.0,0.0,0.0,0.0,4.03,0.0,1.9
hsa-miR-181a-5p,11.16,64.51,42.55,0.0,0.0,0.0,29.0,20.27,1.9
hsa-miR-181b-2-3p,14.88,19.35,5.16,0.0,0.0,0.0,5.64,0.0,3.81
hsa-miR-181b-3p,0.0,3.23,0.0,0.0,0.0,0.0,3.22,0.0,0.0
hsa-miR-181b-5p,833.28,2451.25,1267.35,0.0,0.0,14.24,1561.73,214.88,154.12
hsa-miR-181c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0
hsa-miR-181d-5p,0.0,19.35,0.0,0.0,0.0,0.0,2.42,0.0,0.0
hsa-miR-182-3p,7.44,12.9,0.0,0.0,0.0,0.0,1.61,0.0,1.9
