miRNA,SRR10995914,SRR10995915,SRR10995916,SRR10995917,SRR10995918,SRR10995919,SRR10995920,SRR10995921,SRR10995922,SRR10995923,SRR10995924,SRR10995925,SRR10995926,SRR10995927,SRR10995928,SRR10995929,SRR10995930,SRR10995931,SRR10995932,SRR10995933,SRR10995934,SRR10995935,SRR10995936,SRR10995937,SRR10995938,SRR10995939,SRR10995940,SRR10995941,SRR10995942
hsa-let-7a-3p,15.0,12.0,20.0,33.0,119.0,59.0,2.0,1.0,0.0,8.0,6.0,6.0,1.0,2.0,1.0,4.0,1.0,72.0,79.0,30.0,15.0,14.0,1.0,2.0,1.0,0.0,5.0,10.0,5.0
hsa-let-7a-5p,399.0,347.0,259.0,1390.0,1569.0,1550.0,573.0,242.0,399.0,370.0,274.0,502.0,200.0,401.0,590.0,515.0,58.0,2032.0,3535.0,901.0,1891.0,328.0,552.0,500.0,733.0,769.0,407.0,344.0,671.0
hsa-let-7b-3p,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,4711.0,2458.0,5619.0,11046.0,15433.0,9277.0,17930.0,1990.0,11955.0,11800.0,11244.0,18544.0,2861.0,10746.0,15953.0,9715.0,885.0,13835.0,14249.0,5039.0,118357.0,2992.0,16091.0,22094.0,24755.0,24784.0,8864.0,6141.0,11880.0
hsa-let-7c-3p,0.0,2.0,0.0,9.0,8.0,10.0,0.0,1.0,2.0,1.0,2.0,5.0,0.0,2.0,0.0,1.0,2.0,13.0,14.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0
hsa-let-7c-5p,161.0,498.0,307.0,532.0,782.0,516.0,626.0,162.0,231.0,180.0,151.0,361.0,170.0,476.0,295.0,256.0,26.0,675.0,1023.0,316.0,2385.0,181.0,569.0,587.0,667.0,637.0,197.0,172.0,447.0
hsa-let-7d-3p,130.0,112.0,137.0,304.0,473.0,373.0,192.0,14.0,221.0,68.0,78.0,44.0,31.0,55.0,151.0,70.0,1.0,455.0,561.0,311.0,78.0,129.0,233.0,211.0,246.0,605.0,162.0,73.0,62.0
hsa-let-7d-5p,64.0,107.0,61.0,108.0,175.0,123.0,5.0,3.0,2.0,10.0,15.0,28.0,6.0,10.0,4.0,28.0,4.0,197.0,313.0,83.0,45.0,40.0,15.0,25.0,26.0,24.0,22.0,16.0,40.0
hsa-let-7e-3p,2.0,12.0,1.0,3.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,9.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0
hsa-let-7e-5p,49.0,49.0,41.0,242.0,245.0,234.0,147.0,26.0,70.0,54.0,65.0,137.0,29.0,73.0,76.0,109.0,11.0,240.0,424.0,108.0,446.0,37.0,111.0,98.0,118.0,144.0,102.0,69.0,126.0
hsa-let-7f-1-3p,3.0,3.0,3.0,3.0,9.0,10.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,2.0,0.0,0.0,4.0,13.0,6.0,3.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0
hsa-let-7f-2-3p,0.0,2.0,1.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,281.0,268.0,219.0,853.0,1277.0,1070.0,595.0,177.0,242.0,226.0,213.0,426.0,158.0,290.0,620.0,418.0,41.0,1399.0,2569.0,550.0,1747.0,229.0,335.0,319.0,413.0,414.0,288.0,221.0,326.0
