miRNA,SRR11022212,SRR11022213,SRR11022225,SRR11022226,SRR11022231,SRR11022233,SRR11022234,SRR11022235,SRR11022237,SRR11022239
hsa-let-7a-5p,0.54,0.57,0.32,0.0,0.0,0.12,0.1,0.23,0.0,0.0
hsa-let-7b-5p,0.0,0.0,0.08,0.0,0.19,0.12,0.0,0.12,0.0,0.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.09,0.0,0.1,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,0.45,0.28,0.32,0.0,0.19,0.87,0.0,0.0,0.0,0.0
hsa-let-7i-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,0.0,0.0,0.32,0.0,0.09,0.25,0.2,0.69,0.14,0.0
hsa-miR-101-2-5p,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.41,0.0
hsa-miR-10393-3p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.13
hsa-miR-103a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
hsa-miR-10b-5p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,0.27,0.0,0.65,0.0,0.56,0.5,0.1,0.23,0.55,0.4
hsa-miR-126-3p,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-126-5p,0.27,0.85,1.13,0.12,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-128-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
hsa-miR-1305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
hsa-miR-134-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-138-1-3p,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-143-3p,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-143-5p,0.0,0.19,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-145-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
hsa-miR-146a-3p,0.0,0.0,0.32,0.19,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146b-3p,0.18,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.14,3.87
hsa-miR-146b-5p,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.4
hsa-miR-155-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
hsa-miR-155-5p,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.55,0.0
