miRNA,SRR11057475,SRR11057476,SRR11057477,SRR11057478,SRR11057479,SRR11057480,SRR11057481,SRR11057482,SRR11057483,SRR11057484,SRR11057485,SRR11057486,SRR11057487,SRR11057488,SRR11057489,SRR11057490,SRR11057491,SRR11057492,SRR11057493,SRR11057494,SRR11057495,SRR11057496,SRR11057497,SRR11057498,SRR11057499,SRR11057500,SRR11057501,SRR11057502,SRR11057503,SRR11057504,SRR11057505,SRR11057506,SRR11057507,SRR11057508,SRR11057509,SRR11057510,SRR11057511,SRR11057512,SRR11057513,SRR11057514,SRR11057515,SRR11057516,SRR11057517,SRR11057518,SRR11057519,SRR11057520
hsa-let-7a-3p,0.17,0.0,0.6,0.0,0.0,0.0,0.0,0.99,0.0,0.12,0.32,0.72,0.0,0.0,0.0,0.18,0.2,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.5,0.74,0.14,0.16,0.11,0.17,2.14,3.34,0.09,0.46,0.72,0.44,0.12,0.0,0.3,0.1,0.12,0.0,0.12,0.0,0.26,0.13
hsa-let-7a-5p,54.27,29.08,66.85,48.32,34.28,70.62,45.21,250.51,96.99,28.02,272.54,307.07,29.94,28.84,33.53,25.43,35.49,23.23,68.91,26.22,92.03,67.04,40.66,50.81,15.28,103.24,30.47,31.29,39.34,27.03,260.42,390.98,30.28,44.31,189.9,183.22,35.47,19.96,27.62,43.02,37.48,22.82,37.19,20.99,73.41,41.64
hsa-let-7b-3p,1.18,0.0,0.2,0.0,0.19,0.26,0.0,0.0,0.0,0.0,0.32,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.94,0.27,0.31,0.1,0.11,0.24,0.0,0.0,0.2,0.0,0.12,0.36,0.1,0.0,0.26
hsa-let-7b-5p,10.79,4.08,9.92,5.96,7.12,7.76,4.31,42.46,24.63,2.96,64.62,58.82,0.92,0.84,1.54,0.36,2.39,1.5,4.16,2.9,4.18,2.27,0.83,0.7,2.16,10.94,2.02,2.77,5.03,7.17,62.48,136.61,7.82,7.85,22.94,11.29,2.79,0.94,2.09,7.34,4.83,4.03,5.76,4.18,13.29,5.99
hsa-let-7c-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,32.53,11.23,29.55,21.62,13.49,24.83,3.94,77.46,36.95,4.96,59.82,67.48,2.14,2.93,2.3,2.72,1.99,3.84,8.32,4.97,6.96,9.09,9.13,7.66,2.66,13.53,4.33,5.38,3.42,2.45,27.77,99.64,5.21,5.08,19.77,12.07,2.67,1.22,1.89,8.97,7.19,2.19,8.04,3.46,19.73,10.41
hsa-let-7d-3p,0.84,0.13,1.39,0.22,0.19,2.07,0.12,2.23,0.0,0.0,1.6,2.16,0.0,0.42,0.0,0.36,0.6,0.0,0.59,0.41,0.38,3.41,0.0,0.0,0.17,0.56,0.14,0.0,0.43,0.26,1.07,3.87,0.45,0.77,1.43,1.11,0.49,0.19,0.3,0.0,0.0,0.12,0.12,0.71,1.05,0.13
hsa-let-7d-5p,2.36,0.77,1.39,0.88,0.75,1.55,0.74,4.47,3.08,0.47,4.48,4.69,0.31,0.84,0.26,1.09,1.2,0.17,2.97,0.55,2.28,0.0,1.66,0.0,0.5,1.3,0.72,0.81,0.75,0.52,3.92,4.75,0.54,0.62,2.77,1.66,0.36,0.09,0.4,0.61,0.47,0.46,0.6,0.41,1.45,1.3
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,2.86,2.04,6.15,4.19,2.44,4.14,2.34,10.92,9.24,1.06,13.12,18.76,1.53,1.67,3.07,1.63,1.4,2.51,6.53,2.62,6.71,5.68,2.07,2.78,0.66,7.97,0.87,1.96,1.39,1.22,8.01,13.55,1.53,1.23,5.43,8.3,1.34,1.6,1.49,2.14,1.18,0.92,1.68,1.22,2.24,1.82
