miRNA,SRR11057475,SRR11057476,SRR11057477,SRR11057478,SRR11057479,SRR11057480,SRR11057481,SRR11057482,SRR11057483,SRR11057484,SRR11057485,SRR11057486,SRR11057487,SRR11057488,SRR11057489,SRR11057490,SRR11057491,SRR11057492,SRR11057493,SRR11057494,SRR11057495,SRR11057496,SRR11057497,SRR11057498,SRR11057499,SRR11057500,SRR11057501,SRR11057502,SRR11057503,SRR11057504,SRR11057505,SRR11057506,SRR11057507,SRR11057508,SRR11057509,SRR11057510,SRR11057511,SRR11057512,SRR11057513,SRR11057514,SRR11057515,SRR11057516,SRR11057517,SRR11057518,SRR11057519,SRR11057520
hsa-let-7a-3p,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,2.0,12.0,19.0,1.0,3.0,7.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0
hsa-let-7a-5p,322.0,228.0,337.0,219.0,183.0,273.0,367.0,1009.0,63.0,237.0,852.0,851.0,98.0,69.0,131.0,140.0,178.0,139.0,116.0,190.0,727.0,59.0,98.0,73.0,92.0,557.0,211.0,192.0,368.0,309.0,1463.0,2221.0,337.0,288.0,1854.0,1655.0,292.0,212.0,278.0,422.0,318.0,198.0,310.0,206.0,558.0,320.0
hsa-let-7b-3p,7.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0
hsa-let-7b-5p,64.0,32.0,50.0,27.0,38.0,30.0,35.0,171.0,16.0,25.0,202.0,163.0,3.0,2.0,6.0,2.0,12.0,9.0,7.0,21.0,33.0,2.0,2.0,1.0,13.0,59.0,14.0,17.0,47.0,82.0,351.0,776.0,87.0,51.0,224.0,102.0,23.0,10.0,21.0,72.0,41.0,35.0,48.0,41.0,101.0,46.0
hsa-let-7c-3p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,193.0,88.0,149.0,98.0,72.0,96.0,32.0,312.0,24.0,42.0,187.0,187.0,7.0,7.0,9.0,15.0,10.0,23.0,14.0,36.0,55.0,8.0,22.0,11.0,16.0,73.0,30.0,33.0,32.0,28.0,156.0,566.0,58.0,33.0,193.0,109.0,22.0,13.0,19.0,88.0,61.0,19.0,67.0,34.0,150.0,80.0
hsa-let-7d-3p,5.0,1.0,7.0,1.0,1.0,8.0,1.0,9.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,3.0,6.0,22.0,5.0,5.0,14.0,10.0,4.0,2.0,3.0,0.0,0.0,1.0,1.0,7.0,8.0,1.0
hsa-let-7d-5p,14.0,6.0,7.0,4.0,4.0,6.0,6.0,18.0,2.0,4.0,14.0,13.0,1.0,2.0,1.0,6.0,6.0,1.0,5.0,4.0,18.0,0.0,4.0,0.0,3.0,7.0,5.0,5.0,7.0,6.0,22.0,27.0,6.0,4.0,27.0,15.0,3.0,1.0,4.0,6.0,4.0,4.0,5.0,4.0,11.0,10.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,17.0,16.0,31.0,19.0,13.0,16.0,19.0,44.0,6.0,9.0,41.0,52.0,5.0,4.0,12.0,9.0,7.0,15.0,11.0,19.0,53.0,5.0,5.0,4.0,4.0,43.0,6.0,12.0,13.0,14.0,45.0,77.0,17.0,8.0,53.0,75.0,11.0,17.0,15.0,21.0,10.0,8.0,14.0,12.0,17.0,14.0
