miRNA,SRR11413935,SRR11413936,SRR11413937,SRR11413938,SRR11413939,SRR11413940,SRR11413941,SRR11413942,SRR11413943,SRR11413944
hsa-let-7a-2-3p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,1.34,5.89,10.2,9.29,11.42,0.98,4.22,0.0,0.0,8.06
hsa-let-7a-5p,884.82,2870.59,1893.0,11420.53,3104.49,539.52,1042.04,77.92,647.29,2510.56
hsa-let-7b-3p,0.61,1.96,8.86,36.64,16.03,4.16,2.66,0.0,2.69,5.58
hsa-let-7b-5p,620.12,1432.47,1202.6,3781.6,2156.85,4622.0,9060.25,5254.49,11689.04,11670.89
hsa-let-7c-3p,0.0,0.12,1.94,0.53,1.15,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,15.63,87.55,59.72,275.3,74.27,63.52,154.82,23.9,74.34,97.55
hsa-let-7d-3p,35.77,148.94,332.45,1669.18,162.9,217.13,197.22,36.59,136.7,599.69
hsa-let-7d-5p,135.52,313.11,137.16,1072.34,440.4,110.28,218.97,8.2,128.75,260.18
hsa-let-7e-3p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,8.42,11.3,4.37,58.65,16.03,9.67,5.55,0.0,20.17,17.97
hsa-let-7f-1-3p,0.12,0.25,0.73,6.73,1.68,0.12,0.44,0.0,0.61,0.0
hsa-let-7f-2-3p,0.0,0.12,1.46,0.11,0.94,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,853.32,2744.97,2701.12,11220.97,2833.69,477.58,449.6,29.44,154.18,1794.61
hsa-let-7g-3p,0.0,0.12,4.25,0.0,6.08,0.49,0.89,0.0,0.0,0.0
hsa-let-7g-5p,477.51,1573.56,1291.82,4388.38,1656.43,829.84,797.09,133.67,571.73,1295.94
hsa-let-7i-3p,0.24,0.12,1.09,0.0,4.19,1.22,1.11,0.0,0.0,0.0
hsa-let-7i-5p,1929.94,5292.13,6605.94,8395.91,7120.48,8607.18,7806.67,4929.77,8042.98,7923.39
hsa-miR-1-3p,9.65,146.37,81.44,95.18,89.36,1.84,3.77,0.12,0.12,18.59
hsa-miR-100-5p,15.99,55.75,1796.74,246.99,1645.85,118.97,145.28,43.87,122.15,68.92
hsa-miR-101-3p,67.27,248.65,880.95,413.64,1124.15,597.29,815.74,129.4,574.66,905.24
hsa-miR-101-5p,0.0,0.25,0.0,0.0,0.1,0.49,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.12,0.0,0.0,0.61,0.0,0.0,0.0,0.12
hsa-miR-10399-3p,1.22,3.44,9.83,3.42,5.45,7.59,15.43,3.35,5.26,6.07
hsa-miR-10399-5p,0.12,0.0,0.36,0.0,0.84,0.37,0.0,0.0,0.0,0.25
hsa-miR-103a-3p,316.83,155.33,614.53,249.87,492.15,30.35,71.03,76.07,33.01,96.93
hsa-miR-10401-3p,0.12,0.49,0.0,0.0,0.42,0.73,1.11,0.0,1.59,1.49
