miRNA,SRR11605206,SRR11605207,SRR11605208,SRR11605209,SRR11605210,SRR11605211,SRR11605212,SRR11605213,SRR11605214,SRR11605215,SRR11605216,SRR11605217,SRR11605218,SRR11605219,SRR11605220,SRR11605221
hsa-let-7a-5p,63.0,83.0,64.0,74.0,91.0,107.0,222.0,288.0,901.0,429.0,935.0,1073.0,205.0,107.0,138.0,163.0
hsa-let-7b-5p,71.0,46.0,62.0,56.0,12.0,18.0,9.0,5.0,218.0,141.0,276.0,152.0,13.0,1.0,1.0,3.0
hsa-let-7c-5p,47.0,39.0,51.0,57.0,24.0,29.0,20.0,2.0,43.0,30.0,62.0,48.0,0.0,0.0,2.0,17.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,3.0,0.0,3.0,2.0,1.0,7.0,6.0,24.0,9.0,18.0,25.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,53.0,51.0,32.0,36.0,31.0,42.0,90.0,110.0,377.0,248.0,225.0,152.0,10.0,6.0,6.0,15.0
hsa-let-7f-5p,26.0,11.0,18.0,25.0,43.0,49.0,166.0,138.0,242.0,158.0,402.0,545.0,10.0,3.0,1.0,1.0
hsa-let-7g-5p,5.0,6.0,19.0,22.0,0.0,3.0,26.0,9.0,48.0,34.0,66.0,53.0,5.0,3.0,1.0,1.0
hsa-let-7i-5p,14.0,5.0,8.0,10.0,25.0,7.0,85.0,56.0,385.0,137.0,92.0,190.0,0.0,0.0,0.0,4.0
hsa-miR-1-3p,74.0,82.0,70.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,81.0,84.0,88.0,50.0,193.0,267.0,357.0,316.0,3671.0,1696.0,272.0,208.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,4.0,6.0,1.0,7.0,0.0,8.0,0.0,0.0,16.0,5.0,0.0,0.0,40.0,15.0,0.0,0.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10394-3p,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
hsa-miR-103a-3p,6.0,2.0,3.0,11.0,0.0,19.0,0.0,0.0,3.0,48.0,54.0,38.0,66.0,15.0,32.0,23.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,2.0,7.0,0.0,0.0,4.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
