miRNA,SRR11993929,SRR11993930,SRR11993931
hsa-let-7a-3p,161.0,29.0,33.0
hsa-let-7a-5p,302.0,1525.0,416.0
hsa-let-7b-3p,14.0,0.0,12.0
hsa-let-7b-5p,310.0,223.0,1171.0
hsa-let-7c-3p,0.0,0.0,1.0
hsa-let-7c-5p,9.0,161.0,4866.0
hsa-let-7d-3p,136.0,76.0,353.0
hsa-let-7d-5p,50.0,60.0,320.0
hsa-let-7e-3p,6.0,8.0,6.0
hsa-let-7e-5p,21.0,170.0,79.0
hsa-let-7f-1-3p,5.0,0.0,5.0
hsa-let-7f-2-3p,4.0,5.0,3.0
hsa-let-7f-5p,445.0,1060.0,1073.0
hsa-let-7g-3p,26.0,2.0,5.0
hsa-let-7g-5p,1977.0,1831.0,999.0
hsa-let-7i-3p,18.0,6.0,15.0
hsa-let-7i-5p,729.0,2181.0,3709.0
hsa-miR-100-5p,4.0,6.0,195.0
hsa-miR-101-3p,1123.0,19467.0,1875.0
hsa-miR-101-5p,2.0,27.0,19.0
hsa-miR-10394-3p,2.0,0.0,0.0
hsa-miR-10395-3p,0.0,5.0,0.0
hsa-miR-10396a-5p,0.0,1.0,0.0
hsa-miR-10396b-3p,0.0,1.0,0.0
hsa-miR-10396b-5p,3.0,0.0,0.0
hsa-miR-10399-3p,2.0,0.0,0.0
hsa-miR-10399-5p,2.0,1.0,0.0
hsa-miR-103a-2-5p,5.0,0.0,0.0
hsa-miR-103a-3p,1570.0,20852.0,1429.0
hsa-miR-10401-3p,7.0,208.0,0.0
hsa-miR-10401-5p,0.0,3.0,0.0
hsa-miR-105-3p,0.0,1.0,0.0
hsa-miR-105-5p,0.0,4.0,0.0
hsa-miR-10527-5p,0.0,0.0,1.0
hsa-miR-106a-5p,0.0,32.0,1.0
hsa-miR-106b-3p,127.0,2287.0,62.0
hsa-miR-106b-5p,557.0,914.0,120.0
hsa-miR-107,308.0,160.0,10.0
hsa-miR-10a-3p,0.0,0.0,57.0
hsa-miR-10a-5p,8.0,104.0,53585.0
hsa-miR-10b-3p,0.0,0.0,1.0
hsa-miR-10b-5p,20349.0,918.0,10494.0
hsa-miR-11399,1.0,2.0,0.0
hsa-miR-11401,0.0,3.0,0.0
hsa-miR-1179,2.0,62.0,0.0
hsa-miR-1180-3p,13.0,479.0,0.0
hsa-miR-1180-5p,0.0,1.0,0.0
hsa-miR-1185-1-3p,9.0,6.0,0.0
hsa-miR-1185-2-3p,1.0,1.0,0.0
hsa-miR-1185-5p,2.0,0.0,0.0
hsa-miR-1197,19.0,2.0,0.0
hsa-miR-12136,1.0,1.0,0.0
hsa-miR-1224-5p,0.0,2.0,0.0
hsa-miR-1225-3p,0.0,1.0,0.0
hsa-miR-1226-3p,1.0,0.0,0.0
hsa-miR-1226-5p,1.0,0.0,0.0
hsa-miR-1227-3p,0.0,1.0,0.0
hsa-miR-1229-3p,1.0,0.0,0.0
hsa-miR-124-3p,89.0,3047.0,1.0
hsa-miR-124-5p,2.0,123.0,0.0
hsa-miR-1243,0.0,26.0,0.0
hsa-miR-1246,284.0,22725.0,0.0
hsa-miR-1247-5p,8.0,0.0,0.0
hsa-miR-1248,1.0,1.0,0.0
hsa-miR-1249-3p,0.0,0.0,8.0
hsa-miR-1250-5p,3.0,40.0,0.0
hsa-miR-1252-5p,1.0,3.0,0.0
hsa-miR-1253,0.0,1.0,0.0
hsa-miR-1255a,0.0,3.0,0.0
hsa-miR-1256,0.0,1.0,0.0
hsa-miR-125a-3p,5.0,32.0,26.0
hsa-miR-125a-5p,214.0,664.0,678.0
hsa-miR-125b-1-3p,0.0,0.0,578.0
hsa-miR-125b-2-3p,0.0,0.0,25.0
hsa-miR-125b-5p,0.0,3.0,1463.0
hsa-miR-126-3p,1.0,64.0,2.0
hsa-miR-126-5p,85.0,3279.0,161.0
hsa-miR-1260b,2.0,0.0,0.0
hsa-miR-1261,0.0,0.0,1.0
hsa-miR-1262,0.0,9.0,0.0
hsa-miR-1263,0.0,1.0,0.0
hsa-miR-1266-5p,12.0,16.0,0.0
hsa-miR-1267,5.0,0.0,0.0
hsa-miR-1268b,0.0,3.0,0.0
hsa-miR-127-3p,23.0,97.0,0.0
hsa-miR-127-5p,31.0,21.0,0.0
hsa-miR-1271-3p,0.0,2.0,0.0
hsa-miR-1271-5p,6.0,7.0,0.0
hsa-miR-1273h-5p,0.0,9.0,0.0
hsa-miR-1276,7.0,36.0,0.0
hsa-miR-1277-3p,0.0,1.0,0.0
hsa-miR-1277-5p,0.0,1.0,0.0
hsa-miR-1278,0.0,3.0,0.0
hsa-miR-128-1-5p,0.0,42.0,1.0
hsa-miR-128-3p,306.0,1215.0,272.0
hsa-miR-1283,0.0,1.0,0.0
hsa-miR-1285-3p,23.0,204.0,0.0
hsa-miR-1285-5p,0.0,56.0,0.0
hsa-miR-1286,23.0,475.0,0.0
hsa-miR-1287-5p,10.0,1.0,0.0
hsa-miR-1289,0.0,1.0,0.0
hsa-miR-129-1-3p,0.0,2.0,1.0
hsa-miR-129-2-3p,0.0,0.0,29.0
hsa-miR-129-5p,3.0,338.0,56.0
hsa-miR-1291,1.0,7.0,0.0
hsa-miR-1292-5p,3.0,0.0,0.0
hsa-miR-1294,0.0,1.0,0.0
hsa-miR-1295a,0.0,1.0,0.0
hsa-miR-1296-3p,0.0,11.0,0.0
hsa-miR-1296-5p,31.0,781.0,0.0
hsa-miR-1301-3p,11.0,28.0,0.0
hsa-miR-1303,1.0,31.0,0.0
hsa-miR-1304-3p,23.0,1.0,0.0
hsa-miR-1304-5p,0.0,1.0,0.0
hsa-miR-1306-3p,0.0,5.0,2.0
hsa-miR-1306-5p,11.0,26.0,6.0
hsa-miR-1307-3p,49.0,411.0,0.0
