miRNA,SRR12004720,SRR12004721,SRR12004722,SRR12004723,SRR12004724,SRR12004725,SRR12004726,SRR12004727,SRR12004728,SRR12004729,SRR12004730,SRR12004731,SRR12004732,SRR12004733,SRR12004734,SRR12004735,SRR12004736,SRR12004737,SRR12004738,SRR12004739,SRR12004740,SRR12004741,SRR12004742,SRR12004743,SRR12004744,SRR12004745,SRR12004746,SRR12004747,SRR12004748,SRR12004749,SRR12004750,SRR12004751,SRR12004752,SRR12004753,SRR12004754,SRR12004755
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.85,0.0,0.0,0.0
hsa-let-7a-5p,3689.91,3799.45,2890.71,2482.49,2060.81,2696.55,3027.2,4260.97,2976.25,3753.47,3067.66,7478.01,13574.44,2464.16,17986.37,6034.89,16815.24,6077.88,2093.55,28476.64,2015.88,2443.5,2613.49,2312.81,3353.11,3735.9,2259.61,4115.89,3357.41,2429.4,2706.7,3486.94,2923.48,2027.89,3839.37,2458.85
hsa-let-7b-5p,1502.34,1508.96,1400.06,621.5,894.29,1593.05,1459.91,2453.15,751.06,687.78,816.64,1706.2,2163.68,697.52,1543.89,1088.52,1723.31,2947.22,1198.53,3359.1,1346.48,1947.0,1598.89,2019.46,497.38,1558.06,872.23,2377.01,1172.48,2891.89,1905.67,1593.36,1669.65,2507.32,715.18,1629.57
hsa-let-7c-5p,295.96,0.0,169.42,200.94,270.83,189.21,185.06,134.84,58.89,315.72,159.69,1326.67,899.76,166.44,2773.6,268.44,1014.32,384.45,96.0,933.16,218.38,45.53,194.76,231.51,156.1,384.61,91.71,168.61,273.12,220.68,355.92,424.7,89.94,210.66,257.21,182.27
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.02,2.35,52.59,0.38,18.92,36.99,20.72,0.0,12.29,0.76,0.0,0.0,0.0,0.0,43.59,39.21,0.0,134.74,0.0,0.0,48.71,132.21,31.73,0.0,0.0,0.0,0.0,42.25
hsa-let-7d-5p,312.05,205.33,74.12,89.95,2.82,52.93,206.76,438.91,191.14,16.43,203.68,32.66,39.02,122.51,140.98,216.72,549.23,7.64,36.7,1253.24,167.9,166.95,213.75,288.06,114.78,391.96,36.1,123.65,66.1,78.64,257.29,242.6,350.22,167.07,125.47,344.02
hsa-let-7e-5p,106.16,100.28,131.77,44.39,31.03,138.93,118.8,14.98,222.04,184.27,65.98,218.48,1120.27,127.14,703.18,87.43,437.68,167.39,70.58,11.11,63.65,73.72,202.5,30.16,35.2,303.77,83.91,133.16,3.48,106.65,144.08,24.2,66.66,53.27,114.18,165.37
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,4574.58,3880.63,1889.49,2443.93,2153.91,2618.48,2838.71,3514.09,2309.17,3008.17,2261.54,9423.34,12762.18,2247.45,13262.62,4324.53,14531.36,7806.78,2848.81,25087.69,2714.9,1975.18,2919.35,2706.44,2066.04,4329.97,2083.01,3487.27,3279.13,2628.94,3094.35,3829.81,3299.09,2527.9,3416.54,2864.43
hsa-let-7g-5p,1019.79,950.26,848.27,622.67,668.6,1055.86,509.48,1515.39,766.51,821.58,1008.85,2305.72,4564.42,510.29,4168.45,1843.34,3523.18,2612.45,755.26,7480.55,1179.68,1334.49,1392.88,604.03,769.79,2025.96,976.63,1015.14,659.3,675.3,1360.21,1168.65,988.25,1547.25,764.11,1111.73
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.66,0.0,0.0,0.0,0.0
hsa-let-7i-5p,3487.23,2024.67,1457.71,2183.42,1358.36,2255.94,1928.27,2296.67,2202.98,2764.05,2201.3,7747.17,13070.77,1799.0,15873.95,3738.41,10400.34,5043.76,2340.59,25540.39,1756.9,2367.62,2789.98,2422.91,1871.68,3531.35,2204.97,2556.87,2931.21,2084.38,2870.51,2146.56,3117.1,2334.19,2549.54,2429.88
hsa-miR-1-3p,61.12,189.42,0.0,0.0,0.0,38.37,0.0,0.0,0.97,0.0,21.04,0.0,186.81,15.03,32.8,110.82,98.31,0.0,56.47,340.21,208.5,0.0,80.16,0.0,71.93,3.67,34.15,0.86,0.0,29.0,92.62,120.44,103.69,0.0,0.0,84.5
hsa-miR-100-3p,0.0,0.0,0.0,38.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,25501.21,17166.76,16966.58,23824.85,12621.61,26969.45,16984.29,16535.05,17815.01,25658.09,21718.45,66208.18,87670.5,13948.19,98745.21,27278.29,50902.3,42130.16,16898.02,169913.52,19788.95,15089.21,26544.86,17604.33,17614.9,21349.78,14001.56,25523.72,16569.6,14766.61,27394.61,19392.83,20735.2,18105.72,24252.04,15377.15
hsa-miR-101-3p,225.19,191.01,303.54,301.4,356.87,553.07,226.18,597.06,382.29,164.32,217.07,457.62,290.26,168.17,914.37,256.12,545.45,460.12,193.4,1439.32,176.68,765.36,312.89,204.36,388.72,758.2,157.08,525.73,494.04,590.76,556.61,471.96,458.15,773.62,207.03,455.07
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
