miRNA,GSM4647569,GSM4647570,GSM4647571,GSM4647572,GSM4647573,GSM4647574,GSM4647575,GSM4647576,GSM4647577,GSM4647578,GSM4647579
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.0
hsa-let-7a-5p,499.6,341.6,150.34,245.48,185.59,156.78,238.76,73.78,446.26,192.48,207.11
hsa-let-7b-5p,24503.3,21860.23,12223.08,13037.22,20169.28,9307.56,28382.15,4601.48,43278.75,11307.79,23586.47
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0
hsa-let-7c-5p,4.04,1.86,6.24,3.35,3.33,67.94,12.79,0.0,14.6,4.71,1.29
hsa-let-7d-3p,0.0,0.0,0.0,2.23,0.0,0.0,5.12,5.62,0.0,5.23,1.29
hsa-let-7d-5p,45.79,13.0,2.77,15.62,22.62,33.1,21.32,7.03,18.77,11.51,14.24
hsa-let-7e-5p,17.51,5.57,4.16,4.46,0.0,6.39,0.0,0.0,5.21,1.05,0.0
hsa-let-7f-5p,290.87,91.59,34.64,112.7,46.56,73.16,42.64,17.57,37.54,49.17,41.42
hsa-let-7g-5p,14.81,20.42,4.85,4.46,0.0,18.58,15.35,5.62,2.09,2.62,7.77
hsa-let-7i-3p,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,262.59,126.86,49.19,65.83,59.2,52.26,56.28,14.05,36.49,56.49,50.48
hsa-miR-1-3p,1.35,0.0,9.01,2.23,0.0,61.55,0.0,0.0,9.38,2.09,19.42
hsa-miR-100-5p,5.39,5.57,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.52,5.18
hsa-miR-101-3p,2872.36,1988.93,566.02,1083.46,1240.58,1019.66,636.99,177.06,468.15,262.57,499.66
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,38164.87,23468.58,5745.39,22657.81,14499.85,14209.0,7544.92,2251.91,6874.26,16189.4,8065.82
hsa-miR-106b-3p,5.39,4.33,0.0,6.69,1.33,5.23,15.35,3.51,1.04,0.0,5.18
hsa-miR-106b-5p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-107,576.36,485.78,54.73,218.7,346.56,334.47,134.73,16.16,70.9,274.6,120.39
hsa-miR-10a-3p,0.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,237.01,209.78,94.91,205.31,199.56,156.78,109.15,47.08,106.35,58.58,107.44
hsa-miR-10b-5p,9.43,4.33,1.39,11.16,11.31,15.1,8.53,0.0,5.21,0.0,3.88
hsa-miR-11400,0.0,0.0,0.0,6.69,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-1179,4.04,1.86,0.0,0.0,3.99,4.06,2.56,0.0,0.0,2.62,1.29
hsa-miR-1180-3p,0.0,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,5.39,9.28,0.69,4.46,2.66,0.58,12.79,7.73,0.0,3.66,0.0
hsa-miR-122-5p,44.44,53.22,232.78,6.69,36.59,7.55,23.88,0.0,12.51,20.4,0.0
hsa-miR-1246,0.0,0.0,0.69,0.0,0.0,0.0,0.85,0.0,0.0,0.52,0.0
hsa-miR-1247-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88
hsa-miR-1248,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,6.81,0.0,0.0,4.66,0.0,0.0,0.0,0.0,0.0,2.59
hsa-miR-1258,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-5p,130.62,177.6,119.85,107.12,71.18,82.46,143.26,75.18,132.42,125.53,124.27
hsa-miR-125b-5p,24.24,16.71,19.4,15.62,11.31,34.26,28.99,21.78,26.07,10.98,23.3
hsa-miR-126-3p,48.48,2.48,2.08,22.32,2.66,2.9,13.64,0.0,6.26,4.71,3.88
hsa-miR-126-5p,2.69,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1260a,0.0,0.0,0.0,0.0,2.0,5.23,0.0,0.7,0.0,0.0,0.0
hsa-miR-1262,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0
hsa-miR-127-3p,16.16,8.04,29.1,44.63,19.29,12.77,6.82,0.0,21.9,27.2,10.36
hsa-miR-1271-5p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-1273h-3p,2.69,5.57,14.55,4.46,3.33,1.74,11.09,4.22,0.0,1.57,10.36
hsa-miR-1273h-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0
hsa-miR-128-3p,4.04,0.0,1.39,0.0,7.98,8.13,0.0,0.0,0.0,2.62,1.29
hsa-miR-1285-5p,33.67,88.49,28.4,42.4,33.92,48.2,22.17,26.0,46.92,49.17,42.72
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-129-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,0.0
hsa-miR-129-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0
hsa-miR-1291,2.69,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0
hsa-miR-1295a,0.0,0.0,11.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,2.69,3.71,0.0,1.12,2.66,2.9,0.0,0.0,0.0,3.14,0.0
hsa-miR-1301-3p,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,4.04,1.86,0.0,4.46,0.0,0.0,0.0,0.0,0.0,9.94,1.29
hsa-miR-1306-3p,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,2.69,0.62,0.0,0.0,0.67,0.0,1.71,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,1327.78,2272.35,1424.4,2386.74,2199.12,1795.43,1041.18,687.87,754.89,2718.28,1329.42
hsa-miR-130b-5p,2.69,0.0,0.0,2.23,0.0,0.58,0.0,2.11,0.0,0.0,0.0
hsa-miR-132-3p,0.0,0.0,0.0,0.0,0.0,0.58,3.41,0.0,0.0,0.0,0.0
hsa-miR-1324,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-133a-3p,0.0,0.62,1.39,1.12,0.67,1.16,1.71,0.0,0.0,1.57,0.0
hsa-miR-133b,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,4.04,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1343-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18
hsa-miR-135a-3p,0.0,0.0,0.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-5p,10.77,0.62,0.0,5.58,0.0,2.9,0.0,0.0,8.34,16.74,0.0
hsa-miR-139-3p,455.16,366.97,399.05,387.19,308.65,291.5,387.14,267.7,335.74,494.8,409.05
hsa-miR-139-5p,0.0,0.0,4.16,0.0,0.0,4.65,0.0,0.0,3.13,0.0,0.0
hsa-miR-140-3p,40.4,56.93,10.39,16.74,25.94,1.74,0.0,4.92,9.38,7.32,16.83
hsa-miR-140-5p,126.58,140.47,47.8,68.06,23.95,30.78,20.47,0.0,599.53,8.37,27.18
hsa-miR-141-3p,6.73,6.81,0.0,1.12,5.32,12.19,0.0,0.0,2.09,57.54,3.88
hsa-miR-141-5p,6.73,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-142-3p,42814.78,16953.52,4757.46,12926.76,9379.87,10263.93,5037.06,2985.44,12401.4,5670.37,3101.54
hsa-miR-142-5p,822.79,331.69,81.06,167.37,180.93,150.39,86.98,39.35,118.86,85.26,84.14
hsa-miR-143-3p,14.81,11.76,8.31,4.46,3.33,11.61,0.0,0.0,0.0,0.0,0.0
hsa-miR-144-3p,2.69,0.0,0.69,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-144-5p,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.0,0.0
hsa-miR-145-5p,4.04,3.71,11.08,5.58,9.31,0.0,24.73,0.0,27.11,2.62,9.06
hsa-miR-146a-5p,71.37,40.22,27.71,39.05,13.97,61.55,29.85,5.62,11.47,53.87,25.89
hsa-miR-146b-3p,9.43,29.7,15.24,17.85,22.62,21.48,0.0,0.7,19.81,9.41,11.65
hsa-miR-146b-5p,1.35,29.7,11.08,6.69,9.31,1.74,0.0,2.81,3.13,9.41,0.0
hsa-miR-148a-3p,4.04,4.95,6.93,0.0,1.33,2.9,0.85,0.7,1.04,1.05,0.0
hsa-miR-148b-3p,4.04,4.33,0.0,3.35,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-150-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0
hsa-miR-150-5p,52.52,181.32,76.21,39.05,91.8,81.87,69.07,42.86,117.82,26.15,56.96
hsa-miR-151a-3p,33.67,20.42,15.24,34.59,31.93,22.07,32.4,4.92,11.47,24.58,14.24
hsa-miR-151a-5p,4.04,1.24,4.85,7.81,2.66,0.58,4.26,0.0,0.0,6.8,0.0
hsa-miR-151b,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0
hsa-miR-152-3p,263.94,105.82,89.37,107.12,91.13,148.65,25.58,7.03,114.69,141.75,41.42
hsa-miR-153-3p,4.04,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0
hsa-miR-155-5p,0.0,7.43,3.46,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-3p,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,2.62,0.0
hsa-miR-15a-5p,316.46,172.04,16.63,101.54,67.18,70.26,14.5,11.24,38.58,34.0,46.6
hsa-miR-15b-3p,2.69,14.23,0.0,3.35,2.0,0.0,0.0,0.0,2.09,3.14,1.29
hsa-miR-15b-5p,14.81,38.37,8.31,13.39,7.98,13.94,7.67,0.0,2.09,0.0,1.29
hsa-miR-16-5p,22799.81,14428.06,2323.65,6347.89,8024.87,5224.87,3309.43,975.94,2797.46,3750.26,6991.41
hsa-miR-17-3p,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-17-5p,4.04,1.24,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.52,0.0
hsa-miR-181a-2-3p,9.43,0.0,0.0,8.93,3.33,0.0,0.0,0.0,3.13,0.52,11.65
hsa-miR-181a-5p,8.08,19.8,1.39,11.16,5.99,7.55,6.82,0.7,27.11,0.0,0.0
hsa-miR-181b-2-3p,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181b-5p,333.96,140.47,94.22,147.29,135.03,116.13,97.21,14.76,255.45,133.9,161.81
hsa-miR-181c-3p,6.73,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181d-5p,29.63,0.0,1.39,0.0,17.96,5.23,5.12,0.0,0.0,2.09,2.59
hsa-miR-182-5p,172.37,61.26,232.78,53.56,179.6,101.62,51.16,25.29,49.01,130.76,9.06
hsa-miR-1827,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-3p,9.43,0.0,4.16,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-5p,5.39,0.0,0.0,6.69,0.0,0.0,0.0,0.0,4.17,0.0,0.0
hsa-miR-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0
hsa-miR-1843,9.43,10.52,0.0,11.16,13.97,5.81,5.12,1.41,4.17,10.98,22.01
