miRNA,SRR12327175,SRR12327176,SRR12327177,SRR12327178,SRR12327179,SRR12327180,SRR12327181,SRR12327182,SRR12327183,SRR12327184,SRR12327185,SRR12327186,SRR12327187,SRR12327188,SRR12327189,SRR12327190
hsa-let-7a-2-3p,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.1,0.0,0.0
hsa-let-7a-3p,174.09,101.23,188.28,160.66,40.24,57.19,101.29,35.79,4.18,7.4,3.95,1.94,4.21,3.42,25.71,4.58
hsa-let-7a-5p,9090.22,6253.43,20478.9,16998.73,6321.4,10550.56,10685.85,4628.89,1094.59,995.77,564.17,100.91,149.85,109.23,5064.23,1212.5
hsa-let-7b-3p,28.03,20.37,22.88,21.92,7.24,6.15,6.72,5.77,1.3,1.23,0.41,1.46,2.1,1.61,8.97,1.45
hsa-let-7b-5p,3860.28,2645.65,3882.02,3877.86,1647.18,5748.03,9792.54,8844.57,1202.58,1246.21,632.91,187.13,296.41,218.25,3974.14,832.11
hsa-let-7c-3p,0.0,0.26,0.37,0.22,0.0,0.25,0.12,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,160.81,98.78,226.49,151.81,58.64,105.53,201.77,593.19,8.07,6.16,5.43,4.61,9.74,6.34,62.22,61.28
hsa-let-7d-3p,1140.7,738.91,1298.83,1116.12,444.0,1781.41,522.57,416.03,31.14,29.41,17.86,8.86,15.66,10.26,439.01,116.75
hsa-let-7d-5p,1775.38,1476.67,3673.78,3809.43,1601.54,1835.77,1312.51,1160.08,159.17,145.47,80.1,6.68,11.71,10.06,1022.78,209.39
hsa-let-7e-3p,1.48,1.55,1.46,0.89,0.0,0.0,0.0,0.13,1.01,0.7,0.49,0.49,0.39,0.2,0.32,0.33
hsa-let-7e-5p,145.76,72.6,181.1,129.66,68.46,89.05,151.13,59.14,61.71,49.31,26.26,4.01,6.84,4.43,101.44,24.11
hsa-let-7f-1-3p,8.56,4.38,9.74,7.09,2.94,1.97,2.55,1.8,0.58,1.76,0.49,0.24,0.66,0.3,2.05,0.11
hsa-let-7f-2-3p,4.72,2.45,5.11,2.77,1.35,0.74,1.74,1.03,0.14,1.06,0.25,0.73,0.53,0.5,0.32,0.11
hsa-let-7f-5p,7647.08,6657.19,28907.21,24967.61,7175.05,12008.85,10453.37,3835.96,2181.54,2054.95,1192.14,296.05,379.82,274.37,5659.01,1851.62
hsa-let-7g-3p,1.77,0.52,1.1,0.44,0.12,1.11,0.12,0.38,0.14,0.18,0.0,0.0,0.13,0.3,0.54,0.0
hsa-let-7g-5p,4805.06,2338.86,8869.48,8609.76,2817.49,6421.83,3118.04,1336.85,1417.84,1662.2,818.39,851.36,1548.88,837.6,2231.59,617.92
hsa-let-7i-3p,11.21,4.64,14.73,8.64,3.68,2.58,0.93,0.51,1.3,0.88,0.49,0.36,0.39,0.91,2.05,0.0
hsa-let-7i-5p,19696.47,14061.94,28367.44,30959.69,15707.63,57158.44,34587.43,15779.24,5901.17,7489.42,3708.06,437.88,663.86,428.66,19892.97,6825.31
hsa-miR-1-3p,154.32,420.39,865.08,847.28,152.62,721.03,356.72,118.15,7.79,8.45,4.94,1.34,0.92,1.11,151.99,58.04
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
hsa-miR-100-5p,185.3,439.61,149.7,134.42,41.59,54.86,103.73,57.6,189.59,164.32,111.8,275.89,307.86,266.53,111.05,43.31
hsa-miR-101-2-5p,0.0,0.0,0.0,0.11,0.25,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,3185.18,1405.87,5532.58,4796.01,705.32,5723.56,4039.98,1715.03,58.1,81.19,39.85,55.98,71.18,47.97,735.54,416.89
hsa-miR-101-5p,0.89,0.39,0.97,1.22,0.25,0.12,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.16,0.0,0.13,0.1,0.0,0.0
hsa-miR-10393-3p,0.0,0.13,1.34,0.11,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.08,0.12,0.0,0.0,0.0,0.0
hsa-miR-10394-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
