miRNA,SRR12387837,SRR12387838,SRR12387839,SRR12387840,SRR12387841,SRR12387842,SRR12387843,SRR12387844,SRR12387845,SRR12387846,SRR12387847,SRR12387848,SRR12387849,SRR12387850,SRR12387851,SRR12387852,SRR12387853,SRR12387854,SRR12387855,SRR12387856,SRR12387857,SRR12387858,SRR12387859,SRR12387860,SRR12387861,SRR12387862,SRR12387863,SRR12387864,SRR12387865,SRR12387866,SRR12387867,SRR12387868,SRR12387869,SRR12387870,SRR12387871,SRR12387872,SRR12387873,SRR12387874,SRR12387875,SRR12387876,SRR12387877,SRR12387878,SRR12387879,SRR12387880,SRR12387881,SRR12387882,SRR12387883,SRR12387884,SRR12387885,SRR12387886,SRR12387887,SRR12387888,SRR12387889,SRR12387890,SRR12387891,SRR12387892,SRR12387893,SRR12387894,SRR12387895,SRR12387896,SRR12387897,SRR12387898,SRR12387899,SRR12387900,SRR12387901,SRR12387902,SRR12387903,SRR12387904,SRR12387905,SRR12387906,SRR12387907,SRR12387908
hsa-let-7a-3p,5.34,11.92,2.69,1.98,2.23,4.95,1.52,5.3,2.31,0.43,1.81,1.37,1.78,0.25,6.96,4.74,3.26,1.9,2.61,7.7,0.85,0.93,2.16,0.56,2.89,1.24,3.43,2.99,3.73,3.39,5.19,2.77,0.71,2.36,3.17,12.96,1.26,1.44,1.21,0.0,0.0,1.84,1.55,1.44,1.5,1.23,3.55,0.0,0.0,1.37,6.7,8.94,1.14,1.81,0.0,0.0,0.0,1.15,0.0,0.0,0.0,5.17,8.33,0.0,2.34,5.06,6.81,5.72,1.24,5.14,0.83,5.2
hsa-let-7a-5p,10957.47,9252.51,5369.05,8443.7,9075.29,8451.74,8385.62,13921.16,14976.28,11744.12,14537.41,12200.7,15215.17,4018.41,8219.72,11560.64,10501.27,9190.66,6889.29,18513.71,8389.72,6065.89,6432.23,3753.27,7572.77,9888.87,9723.58,20442.4,14271.27,13519.31,20288.52,5573.97,21441.58,13365.38,12040.45,12120.11,14449.71,15946.09,7240.4,10050.16,7403.74,15306.02,16566.44,24459.57,17703.63,9606.3,14927.97,18772.27,19647.23,16979.01,15083.43,15284.35,13633.2,14478.64,10874.77,10869.11,12049.63,7423.55,7667.72,13851.93,13516.22,26060.95,28900.84,16627.82,19544.35,19813.28,33376.44,18026.56,8111.62,28476.79,16561.05,16054.94
hsa-let-7b-3p,2.96,11.65,18.81,7.9,4.45,18.16,7.3,16.2,7.21,5.22,3.02,4.8,6.22,4.71,13.54,3.16,2.26,8.23,5.22,6.66,10.23,0.93,12.09,0.56,15.33,5.13,4.57,10.02,8.64,6.77,11.79,3.39,10.31,5.45,20.06,23.94,3.78,5.77,9.05,3.06,7.06,4.6,3.5,4.32,9.03,1.23,5.33,7.31,13.39,24.6,13.41,8.65,6.81,10.87,5.83,4.91,13.26,4.58,4.46,4.26,8.89,24.15,18.75,9.19,7.03,23.85,8.17,8.59,3.71,10.27,6.67,2.89
hsa-let-7b-5p,16687.86,27876.28,9604.1,12388.3,11433.85,9767.72,11643.23,20363.43,20486.22,14943.7,18840.63,16849.68,19382.38,6043.23,15827.65,19411.7,6592.44,18632.54,10484.69,19377.33,27917.68,11633.03,13737.01,7231.15,6733.25,5966.26,11074.59,13855.76,9025.95,14844.52,20605.46,7505.64,24950.0,12900.11,13780.35,27846.42,25539.8,18392.79,8038.79,12419.58,8963.62,16764.48,17042.12,22725.54,25659.66,9944.52,20651.04,26595.06,19343.66,20481.4,52930.8,57203.19,18930.9,35903.03,16337.22,22810.05,19008.4,11793.78,10069.18,22620.27,12686.68,29181.43,24144.27,19097.73,14490.97,16248.51,30121.3,21032.9,8618.37,34552.18,17591.06,16685.4
hsa-let-7c-3p,0.0,0.4,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.15,3.41,0.91,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,0.0,0.0,0.0,0.0,2.89
hsa-let-7c-5p,1655.21,711.17,2304.96,4432.43,4393.76,1630.8,424.19,818.84,954.69,765.12,1083.95,469.93,1050.03,831.64,458.26,3821.77,1461.64,6431.69,3095.56,3892.5,2884.13,568.2,1854.81,808.86,339.34,270.78,2099.0,799.26,664.9,657.81,937.62,347.74,741.14,2413.89,782.85,393.93,3539.3,4429.15,2722.61,5344.98,7942.07,3619.93,994.5,1496.2,4366.86,1417.85,4329.63,1274.78,1589.28,3291.95,1247.32,3625.63,5786.02,11853.82,8930.39,8090.21,3260.54,2134.11,1993.04,1454.28,3752.03,1285.11,1418.54,1081.06,1437.96,950.99,1346.44,1385.34,1238.43,665.06,1552.1,1007.8
hsa-let-7d-3p,484.35,694.7,550.88,392.04,282.58,675.88,339.35,794.53,418.76,396.47,300.56,290.05,379.65,454.48,689.52,284.95,248.45,392.96,480.56,601.7,683.94,312.58,532.17,153.06,785.14,387.91,542.12,999.63,691.85,764.76,509.37,363.77,569.45,434.76,1128.08,783.87,533.98,387.84,252.06,284.7,241.61,354.26,347.04,462.7,327.93,129.9,245.27,158.28,198.66,583.5,588.19,779.52,492.29,646.92,456.95,365.45,227.69,275.07,203.46,319.86,583.25,995.31,1002.97,566.56,372.68,708.91,608.55,477.04,233.6,711.28,437.02,316.09
hsa-let-7d-5p,400.76,469.38,231.1,261.2,374.55,410.59,256.95,328.1,276.19,210.84,253.49,308.56,256.06,166.77,239.77,472.98,750.38,327.79,359.52,709.75,218.31,134.29,159.39,64.8,296.81,521.36,547.27,871.13,911.7,526.87,441.93,341.26,525.73,674.12,401.19,409.89,412.31,511.83,224.92,289.29,305.19,401.19,249.11,410.81,216.61,80.88,175.96,217.94,250.0,597.17,287.67,474.4,374.19,592.56,241.3,239.14,371.37,140.98,86.14,153.53,479.23,624.44,738.43,332.28,589.48,643.87,668.45,470.37,159.44,739.52,352.79,239.24
hsa-let-7e-3p,0.0,0.67,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,1.05,1.0,0.63,0.6,0.0,0.0,0.0,4.75,0.0,0.87,0.0,0.0,0.78,0.58,0.0,1.41,0.0,2.84,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21,0.0,0.0,0.0,2.72,0.0,1.24,0.0,0.0,0.0
hsa-let-7e-5p,219.35,110.45,102.11,279.47,291.48,234.74,133.19,335.26,358.44,221.71,415.84,188.34,251.62,144.97,140.38,320.76,196.06,375.25,230.65,561.31,225.99,160.23,253.99,102.22,120.92,183.31,313.38,404.9,248.32,223.5,305.62,114.68,185.91,324.35,247.05,210.43,424.29,318.63,188.74,312.25,291.06,416.83,387.85,541.98,497.91,308.81,547.42,287.34,361.61,435.92,191.59,370.29,524.66,597.09,559.53,485.63,307.26,181.09,258.41,375.3,165.37,284.62,601.99,235.81,213.29,234.86,287.26,368.28,140.9,528.96,443.7,220.17
