miRNA,SRR12387837,SRR12387838,SRR12387839,SRR12387840,SRR12387841,SRR12387842,SRR12387843,SRR12387844,SRR12387845,SRR12387846,SRR12387847,SRR12387848,SRR12387849,SRR12387850,SRR12387851,SRR12387852,SRR12387853,SRR12387854,SRR12387855,SRR12387856,SRR12387857,SRR12387858,SRR12387859,SRR12387860,SRR12387861,SRR12387862,SRR12387863,SRR12387864,SRR12387865,SRR12387866,SRR12387867,SRR12387868,SRR12387869,SRR12387870,SRR12387871,SRR12387872,SRR12387873,SRR12387874,SRR12387875,SRR12387876,SRR12387877,SRR12387878,SRR12387879,SRR12387880,SRR12387881,SRR12387882,SRR12387883,SRR12387884,SRR12387885,SRR12387886,SRR12387887,SRR12387888,SRR12387889,SRR12387890,SRR12387891,SRR12387892,SRR12387893,SRR12387894,SRR12387895,SRR12387896,SRR12387897,SRR12387898,SRR12387899,SRR12387900,SRR12387901,SRR12387902,SRR12387903,SRR12387904,SRR12387905,SRR12387906,SRR12387907,SRR12387908
hsa-let-7a-3p,9.0,89.0,4.0,4.0,3.0,18.0,5.0,17.0,8.0,1.0,3.0,6.0,2.0,1.0,18.0,9.0,13.0,3.0,13.0,37.0,1.0,2.0,5.0,1.0,10.0,8.0,12.0,23.0,32.0,12.0,11.0,9.0,2.0,13.0,6.0,13.0,2.0,1.0,2.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,12.0,31.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,0.0,2.0,7.0,5.0,6.0,1.0,2.0,1.0,9.0
hsa-let-7a-5p,18483.0,69111.0,7992.0,17101.0,12236.0,30712.0,27577.0,44679.0,51893.0,27015.0,24087.0,53380.0,17113.0,16216.0,21255.0,21949.0,41886.0,14524.0,34320.0,88923.0,9838.0,13099.0,14891.0,6719.0,26177.0,63655.0,34007.0,157015.0,122301.0,47907.0,43017.0,18081.0,60320.0,73596.0,22809.0,12153.0,22920.0,11060.0,12007.0,6566.0,5240.0,16634.0,42628.0,16969.0,11769.0,7839.0,8399.0,15418.0,8802.0,12425.0,27003.0,52999.0,24010.0,15980.0,9329.0,8863.0,5451.0,6477.0,5163.0,3248.0,15202.0,15108.0,27749.0,10859.0,16677.0,27418.0,24516.0,18894.0,6563.0,11090.0,19857.0,27783.0
hsa-let-7b-3p,5.0,87.0,28.0,16.0,6.0,66.0,24.0,52.0,25.0,12.0,5.0,21.0,7.0,19.0,35.0,6.0,9.0,13.0,26.0,32.0,12.0,2.0,28.0,1.0,53.0,33.0,16.0,77.0,74.0,24.0,25.0,11.0,29.0,30.0,38.0,24.0,6.0,4.0,15.0,2.0,5.0,5.0,9.0,3.0,6.0,1.0,3.0,6.0,6.0,18.0,24.0,30.0,12.0,12.0,5.0,4.0,6.0,4.0,3.0,1.0,10.0,14.0,18.0,6.0,6.0,33.0,6.0,9.0,3.0,4.0,8.0,5.0
hsa-let-7b-5p,28149.0,208220.0,14296.0,25090.0,15416.0,35494.0,38290.0,65355.0,70985.0,34375.0,31217.0,73720.0,21800.0,24387.0,40928.0,36855.0,26295.0,29445.0,52231.0,93071.0,32737.0,25121.0,31802.0,12945.0,23275.0,38405.0,38732.0,106424.0,77350.0,52603.0,43689.0,24347.0,70190.0,71034.0,26105.0,27922.0,40511.0,12757.0,13331.0,8114.0,6344.0,18219.0,43852.0,15766.0,17058.0,8115.0,11619.0,21843.0,8666.0,14988.0,94759.0,198354.0,33340.0,39626.0,14015.0,18600.0,8599.0,10290.0,6780.0,5304.0,14269.0,16917.0,23182.0,12472.0,12365.0,22485.0,22125.0,22045.0,6973.0,13456.0,21092.0,28874.0
hsa-let-7c-3p,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0
hsa-let-7c-5p,2792.0,5312.0,3431.0,8977.0,5924.0,5926.0,1395.0,2628.0,3308.0,1760.0,1796.0,2056.0,1181.0,3356.0,1185.0,7256.0,5830.0,10164.0,15421.0,18696.0,3382.0,1227.0,4294.0,1448.0,1173.0,1743.0,7341.0,6139.0,5698.0,2331.0,1988.0,1128.0,2085.0,13292.0,1483.0,395.0,5614.0,3072.0,4515.0,3492.0,5621.0,3934.0,2559.0,1038.0,2903.0,1157.0,2436.0,1047.0,712.0,2409.0,2233.0,12572.0,10190.0,13083.0,7661.0,6597.0,1475.0,1862.0,1342.0,341.0,4220.0,745.0,1362.0,706.0,1227.0,1316.0,989.0,1452.0,1002.0,259.0,1861.0,1744.0
hsa-let-7d-3p,817.0,5189.0,820.0,794.0,381.0,2456.0,1116.0,2550.0,1451.0,912.0,498.0,1269.0,427.0,1834.0,1783.0,541.0,991.0,621.0,2394.0,2890.0,802.0,675.0,1232.0,274.0,2714.0,2497.0,1896.0,7678.0,5929.0,2710.0,1080.0,1180.0,1602.0,2394.0,2137.0,786.0,847.0,269.0,418.0,186.0,171.0,385.0,893.0,321.0,218.0,106.0,138.0,130.0,89.0,427.0,1053.0,2703.0,867.0,714.0,392.0,298.0,103.0,240.0,137.0,75.0,656.0,577.0,963.0,370.0,318.0,981.0,447.0,500.0,189.0,277.0,524.0,547.0
hsa-let-7d-5p,676.0,3506.0,344.0,529.0,505.0,1492.0,845.0,1053.0,957.0,485.0,420.0,1350.0,288.0,673.0,620.0,898.0,2993.0,518.0,1791.0,3409.0,256.0,290.0,369.0,116.0,1026.0,3356.0,1914.0,6691.0,7813.0,1867.0,937.0,1107.0,1479.0,3712.0,760.0,411.0,654.0,355.0,373.0,189.0,216.0,436.0,641.0,285.0,144.0,66.0,99.0,179.0,112.0,437.0,515.0,1645.0,659.0,654.0,207.0,195.0,168.0,123.0,58.0,36.0,539.0,362.0,709.0,217.0,503.0,891.0,491.0,493.0,129.0,288.0,423.0,414.0
hsa-let-7e-3p,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,3.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7e-5p,370.0,825.0,152.0,566.0,393.0,853.0,438.0,1076.0,1242.0,510.0,689.0,824.0,283.0,585.0,363.0,609.0,782.0,593.0,1149.0,2696.0,265.0,346.0,588.0,183.0,418.0,1180.0,1096.0,3110.0,2128.0,792.0,648.0,372.0,523.0,1786.0,468.0,211.0,673.0,221.0,313.0,204.0,206.0,453.0,998.0,376.0,331.0,252.0,308.0,236.0,162.0,319.0,343.0,1284.0,924.0,659.0,480.0,396.0,139.0,158.0,174.0,88.0,186.0,165.0,578.0,154.0,182.0,325.0,211.0,386.0,114.0,206.0,532.0,381.0
