miRNA,SRR12463645,SRR12463646,SRR12463647,SRR12463648,SRR12463649,SRR12463650,SRR12463651,SRR12463652,SRR12463653,SRR12463654,SRR12463655,SRR12463656,SRR12463657,SRR12463658,SRR12463659
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,350.91,324.71,366.66,956.5,1841.08,1356.4,218.98,242.14,289.85,26.71,40.07,54.14,2.59,5.45,7.13
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,55.41,51.5,69.18,165.69,239.43,145.33,156.41,149.61,162.38,6.68,16.44,12.45,4.32,4.09,6.65
hsa-let-7c-5p,18.47,14.84,34.59,15.06,13.86,19.38,15.64,6.92,18.21,0.0,1.03,3.25,0.86,0.0,0.48
hsa-let-7d-3p,0.0,1.75,6.92,0.0,6.93,6.46,0.0,0.0,0.0,0.0,0.68,0.54,0.0,0.0,0.0
hsa-let-7d-5p,18.47,22.69,31.13,22.59,57.97,22.61,0.0,1.73,3.04,2.23,2.05,0.54,0.0,0.0,0.48
hsa-let-7e-5p,0.0,7.86,13.84,26.36,60.49,41.98,0.0,7.78,3.04,0.0,1.03,1.08,0.0,0.0,0.0
hsa-let-7f-1-3p,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1200.48,1020.39,1272.93,1875.34,2542.36,2593.31,140.77,164.31,209.42,113.5,139.38,144.55,3.46,9.08,4.75
hsa-let-7g-5p,166.22,87.29,103.77,229.71,360.4,229.3,0.0,17.3,22.76,6.68,8.22,10.83,0.0,1.36,2.38
hsa-let-7i-5p,868.04,361.37,453.14,1841.45,2095.64,2354.32,422.32,570.75,732.98,60.09,81.85,113.15,10.38,18.16,15.2
hsa-miR-1-3p,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,480.19,41.9,10.38,9241.13,9613.08,9291.35,1063.61,774.84,1279.29,60.09,53.08,66.05,64.86,110.33,96.92
hsa-miR-101-3p,0.0,5.24,3.46,41.42,34.65,48.44,15.64,6.92,6.07,2.23,1.37,0.54,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,11.3,12.6,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.0,0.0,20.75,0.0,8.82,0.0,0.0,2.59,0.0,0.0,0.68,0.0,0.0,0.0,1.43
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.45,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0
