miRNA,SRR13058034,SRR13058035,SRR13058036,SRR13058037,SRR13058038,SRR13058039,SRR13058040,SRR13058041,SRR13058042,SRR13058043,SRR13058044,SRR13058045,SRR13058046,SRR13058047,SRR13058048,SRR13058049,SRR13058050,SRR13058051,SRR13058052,SRR13058053,SRR13058054,SRR13058055,SRR13058056,SRR13058057,SRR13058058,SRR13058059,SRR13058060,SRR13058061,SRR13058062,SRR13058063
hsa-let-7a-2-3p,0.0,2.72,0.0,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,3.67,4.83,10.47,1.66,1.45,5.25
hsa-let-7a-3p,0.0,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,7.09,0.0,0.0,0.0,1.61,0.0,1.66,0.0,2.62
hsa-let-7a-5p,19.32,19.04,37.13,12.54,73.33,141.78,152.77,136.64,16.77,14.58,25.36,41.22,92.75,31.66,64.88,29.23,123.29,125.77,87.02,108.73,39.58,16.54,14.16,24.28,31.16,35.43,46.55,14.91,112.96,39.37
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.47,0.0,0.0,0.0,2.36,1.57,0.0,0.0,0.0,0.0,1.66,0.0,0.0
hsa-let-7b-5p,399.36,1609.93,338.27,1372.58,424.83,858.12,736.36,1176.32,244.85,604.96,101.42,1030.57,705.4,1741.45,515.52,1362.65,536.7,761.99,502.21,758.49,406.54,1377.84,267.54,1488.48,1979.46,2246.84,2983.84,1118.56,1264.34,1711.17
hsa-let-7c-5p,6.44,21.76,4.13,9.4,5.06,11.19,18.33,7.92,0.0,4.37,0.0,4.12,7.32,0.0,3.51,4.5,0.0,9.86,4.97,10.61,7.2,4.73,3.15,26.71,9.16,3.22,5.82,14.91,11.59,21.0
hsa-let-7d-3p,0.0,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0
hsa-let-7d-5p,3.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,3.13,5.06,7.46,3.06,9.9,0.0,1.46,4.23,0.0,2.44,0.0,1.75,0.0,3.63,2.47,0.0,2.65,3.6,0.0,0.0,0.0,1.83,1.61,0.0,0.0,2.9,0.0
hsa-let-7f-5p,3.22,2.72,0.0,6.27,12.64,29.85,45.83,27.72,13.42,4.37,4.23,8.24,14.64,10.55,14.03,0.0,10.88,14.8,9.94,13.26,12.59,4.73,9.44,2.43,7.33,1.61,5.82,0.83,20.28,10.5
hsa-let-7g-5p,0.0,2.72,4.13,0.0,0.0,3.73,6.11,1.98,0.0,1.46,0.0,4.12,2.44,0.0,5.26,4.5,0.0,7.4,0.0,2.65,3.6,0.0,0.0,4.86,0.0,3.22,4.65,1.66,1.45,5.25
hsa-let-7i-3p,3.22,0.0,0.0,0.0,0.0,0.0,3.06,1.98,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.81,0.0,0.0,2.65,0.0,0.0,0.0,0.0,1.83,0.0,1.16,0.83,0.0,0.0
hsa-let-7i-5p,28.99,16.32,49.5,43.87,45.52,119.39,103.89,122.78,16.77,30.61,8.45,41.22,39.05,23.75,47.34,22.49,67.09,88.78,62.16,106.08,41.37,21.27,7.87,58.28,38.49,48.32,30.26,8.29,84.0,39.37
hsa-miR-1-3p,0.0,0.0,0.0,3.13,0.0,0.0,9.17,3.96,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,4.93,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0
hsa-miR-100-5p,38.65,81.58,37.13,81.48,151.73,160.43,110.0,136.64,26.83,36.44,12.68,61.83,51.26,42.22,47.34,40.47,83.41,56.72,27.35,63.65,59.36,54.36,12.59,38.85,45.82,57.98,34.91,9.94,49.24,26.24
hsa-miR-101-3p,161.03,282.83,185.64,310.24,171.96,402.94,299.43,253.48,77.15,173.47,50.71,234.97,175.74,277.05,189.38,206.87,339.06,547.45,149.17,159.12,165.5,276.51,75.54,194.25,348.24,499.3,364.25,146.66,208.55,375.3
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,2.65,3.6,0.0,1.57,0.0,0.0,1.61,1.16,0.0,0.0,0.0
