miRNA,SRR13179635,SRR13179636,SRR13179637,SRR13179638,SRR13179639,SRR13179640,SRR13179641,SRR13179642,SRR13179643,SRR13179644,SRR13179645,SRR13179646,SRR13179647,SRR13179648
hsa-let-7a-5p,49.49,67.75,270.62,3.07,2.63,1923.92,1.54,6.54,619.43,35.32,33.87,781.46,2.73,8.0
hsa-let-7b-5p,97239.38,98125.13,15036.0,55226.33,18822.57,27226.81,1826.31,11200.88,564279.22,532748.91,635931.44,449997.51,0.42,17954.24
hsa-let-7c-5p,0.81,3.39,0.0,28.27,10.77,3.59,0.39,0.17,0.0,936.1,1531.86,0.0,0.84,0.21
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69,17.66,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.81,1.69,0.0,0.68,0.26,0.0,0.0,0.34,29.22,11.77,7.7,32.02,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.34,0.0,1.03,0.0,0.17,2.92,0.0,0.0,2.37,0.0,0.0
hsa-let-7f-5p,0.0,0.0,0.27,0.0,0.26,0.51,0.0,0.0,2.92,47.1,41.57,59.29,0.0,0.0
hsa-let-7g-5p,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,5.89,0.0,10.67,0.0,0.0
hsa-let-7i-5p,17.04,6.78,0.8,173.05,31.25,4.1,0.58,0.86,613.59,977.32,477.26,642.71,0.0,71.81
hsa-miR-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,0.0,0.0,0.0,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,14614.83,13795.14,1203.11,2490.87,476.85,5203.31,385.72,654.53,35447.88,63719.8,57537.91,61373.32,718.12,1499.21
hsa-miR-103a-3p,180.12,204.1,816.4,936.8,2549.69,1354.44,411.35,97.71,1422.94,5663.72,6492.32,2829.37,1069.4,943.19
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.34,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-5p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,1.54,0.0,0.0,0.0
hsa-miR-107,0.0,0.0,0.27,1.7,0.53,447.38,0.77,0.0,0.0,0.0,60.04,0.0,0.21,0.21
hsa-miR-10a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0
hsa-miR-10a-5p,0.0,0.85,0.0,0.0,368.14,1.03,0.0,0.0,0.0,0.0,0.0,11.86,0.0,0.0
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11,0.0,0.0
hsa-miR-10b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,0.0,15.4,5.93,0.0,0.0
hsa-miR-1180-3p,0.81,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,11.77,1.54,0.0,0.0,0.0
hsa-miR-122-5p,5.68,0.0,9.07,1.36,2797.57,571.53,0.39,79.13,93.5,47.1,157.03,202.78,0.21,0.62
hsa-miR-1246,0.81,0.0,0.0,2.04,0.0,1.03,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.41
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.75,41.21,0.0,20.16,0.0,0.0
hsa-miR-125a-5p,3.25,5.08,0.27,2.73,3.15,0.51,2.31,0.0,52.59,29.44,49.27,49.8,2.94,1.85
hsa-miR-125b-5p,74.64,70.29,9.87,12.6,15.76,73.37,5.2,6.54,0.0,0.0,20.01,4.74,23.35,16.41
hsa-miR-126-3p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,11.69,0.0,0.0,3.56,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,81.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,0.0,0.0,0.0,0.0
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0
hsa-miR-1285-5p,0.0,0.0,0.0,355.3,0.53,0.0,0.0,0.0,0.0,0.0,24.63,5.93,0.0,156.34
hsa-miR-1292-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32,0.0,0.0,0.0
hsa-miR-1303,0.0,0.0,0.0,0.0,0.0,0.0,56.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,0.81,0.0,0.0,0.0,0.26,0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-5p,140.36,167.69,0.0,0.34,0.26,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0
hsa-miR-1307-3p,318.86,290.49,0.27,0.0,366.83,0.0,469.34,0.0,73.05,264.93,206.3,83.01,0.21,0.0
hsa-miR-130b-3p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-134-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
hsa-miR-135a-5p,1.62,1.69,0.27,1.7,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.82
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49,0.0,0.0
hsa-miR-139-3p,17.04,17.78,0.0,0.0,0.0,0.0,0.0,20.99,67.2,105.97,263.26,130.44,0.0,0.0
hsa-miR-140-3p,2.43,0.85,0.0,0.0,0.0,0.0,0.0,0.0,137.33,153.07,210.92,132.81,0.0,0.0
hsa-miR-140-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.48,182.51,354.1,500.42,0.0,0.0
hsa-miR-141-3p,3303.81,3173.33,1182.03,1099.98,196.41,3776.53,2733.01,880.91,0.0,17.66,0.0,39.13,2481.03,2347.41
hsa-miR-141-5p,0.0,0.0,0.0,0.0,162.01,1328.79,0.0,0.17,11.69,41.21,7.7,11.86,0.0,0.0
hsa-miR-142-3p,1153.74,1094.19,0.0,332.48,734.19,0.0,211.94,116.8,476.26,306.15,1125.42,1516.66,257.25,0.0
hsa-miR-142-5p,2.43,0.0,0.0,188.04,0.0,0.51,0.0,0.34,1177.51,1483.64,1531.86,1814.31,0.0,0.0
hsa-miR-143-3p,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.94,0.0,0.0,0.0
hsa-miR-144-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,5.89,1.54,3.56,0.0,0.0
hsa-miR-144-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77,52.99,0.0,56.92,0.0,0.0
hsa-miR-145-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.91,23.55,12.32,92.49,0.0,0.0
hsa-miR-1468-5p,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0
hsa-miR-146a-5p,0.0,0.0,0.27,238.8,0.0,317.06,0.19,326.32,11.69,29.44,183.21,135.18,0.0,0.21
hsa-miR-146b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.44,76.98,13.04,0.0,0.0
hsa-miR-146b-5p,0.0,0.0,186.55,0.0,0.0,0.51,0.0,0.0,37.98,76.54,0.0,8.3,0.42,120.44
hsa-miR-148a-3p,366.73,308.27,0.0,2.73,1.58,3.08,0.39,0.86,29.22,5.89,47.73,13.04,1.05,1.44
hsa-miR-148b-3p,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,2.92,0.0,0.0,0.0,0.0,0.0
hsa-miR-149-3p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-150-3p,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-150-5p,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.17,11.69,23.55,86.22,13.04,0.0,0.0
hsa-miR-151a-3p,2.43,0.85,0.0,0.34,0.0,4.62,0.0,1.55,8.77,35.32,16.94,36.76,0.21,0.41
hsa-miR-151a-5p,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-151b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,0.0
hsa-miR-152-3p,0.0,0.0,170.54,181.57,0.0,0.0,0.0,0.0,134.41,264.93,152.42,310.68,0.0,0.0
hsa-miR-15a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.69,47.1,47.73,23.72,0.0,0.0
hsa-miR-15b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,1.54,2.37,0.0,0.0
hsa-miR-15b-5p,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.53,11.77,1.54,13.04,0.0,0.0
hsa-miR-16-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,0.0,0.0
hsa-miR-16-5p,3245.4,3169.94,548.18,357.69,309.32,631.05,2.5,673.8,67614.51,86262.83,57193.05,114396.1,2.31,255.24
hsa-miR-17-5p,0.81,0.0,0.0,0.0,0.26,0.0,0.0,0.0,2.92,5.89,10.78,13.04,0.0,0.0
hsa-miR-181a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0
hsa-miR-181a-5p,0.81,1.69,0.0,0.0,0.0,0.0,0.0,0.0,8.77,0.0,0.0,3.56,0.0,0.0
hsa-miR-181b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,5.93,0.0,0.0
hsa-miR-181b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.14,82.42,192.44,252.58,0.0,0.0
hsa-miR-181c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77,5.89,0.0,0.0,0.0,0.0
hsa-miR-181d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,13.86,4.74,0.0,0.0
hsa-miR-182-5p,0.81,0.0,0.0,0.0,0.0,0.0,4.24,0.0,55.52,0.0,47.73,10.67,0.0,0.0
hsa-miR-1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0
hsa-miR-183-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,0.0,12.32,8.3,0.0,0.0
