miRNA,SRR13288406,SRR13288407,SRR13288408,SRR13288409,SRR13288410,SRR13288411,SRR13288412,SRR13288413,SRR13288414,SRR13288415,SRR13288416,SRR13288417,SRR13288418,SRR13288419,SRR13288420,SRR13288421,SRR13288422
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0
hsa-let-7a-3p,5.4,0.0,4.45,0.0,1.41,10.61,2.41,8.31,4.91,0.89,0.0,9.44,0.51,3.95,9.86,2.52,3.39
hsa-let-7a-5p,1602.21,444.8,2303.67,399.65,3049.47,5477.73,875.84,1932.47,1805.85,1283.77,668.35,6141.74,1350.88,1252.03,4607.25,1482.34,788.65
hsa-let-7b-3p,4.05,0.0,15.57,0.0,6.21,17.91,4.1,18.41,24.06,2.34,0.0,10.94,0.38,5.27,11.05,2.75,0.0
hsa-let-7b-5p,973.62,537.1,1502.7,512.15,2133.19,2885.52,382.71,901.93,902.84,529.06,698.41,2704.27,1014.18,666.5,2423.16,509.59,1211.43
hsa-let-7c-3p,3.38,0.0,0.0,0.0,0.7,0.69,0.6,1.8,0.17,0.4,0.0,0.45,0.0,0.33,1.97,0.11,0.0
hsa-let-7c-5p,553.65,143.72,824.11,245.71,1254.85,1852.0,387.05,566.79,488.27,265.98,490.28,1193.04,266.27,564.8,1503.6,113.82,582.0
hsa-let-7d-3p,33.76,58.85,59.18,41.45,37.71,79.77,18.34,44.0,39.64,51.79,27.75,52.16,16.71,43.12,61.93,16.36,26.42
hsa-let-7d-5p,66.84,8.05,101.46,26.64,75.19,235.99,44.78,95.4,91.15,65.1,13.88,141.19,32.02,54.97,232.55,74.01,16.94
hsa-let-7e-3p,0.68,0.0,1.78,0.0,2.93,1.79,0.72,2.24,1.02,0.89,0.0,1.05,0.26,3.95,4.73,1.72,0.0
hsa-let-7e-5p,73.6,17.35,139.72,17.76,117.7,205.96,22.33,75.42,92.84,29.77,16.19,253.6,51.67,69.12,315.2,49.76,44.04
