miRNA,SRR13608450,SRR13608451,SRR13608452,SRR13608453,SRR13608454,SRR13608455,SRR13608456,SRR13608457,SRR13608458,SRR13608459,SRR13608460,SRR13608461,SRR13608462,SRR13608463,SRR13608464,SRR13608465,SRR13608466,SRR13608467,SRR13608468,SRR13608469,SRR13608470,SRR13608471
hsa-let-7a-2-3p,0.0,0.0,0.27,0.41,0.0,0.0,0.47,0.0,0.0,0.29,0.0,0.5,0.0,0.0,0.13,0.43,0.2,0.0,0.15,0.0,0.0,0.0
hsa-let-7a-3p,16.01,86.63,7.72,8.74,0.82,5.18,9.66,5.53,9.3,21.93,4.98,4.54,17.06,12.06,4.25,19.77,10.29,7.7,22.7,25.33,3.14,20.26
hsa-let-7a-5p,14987.01,39351.72,3830.01,9873.11,653.45,18151.34,26773.86,29558.67,7425.96,16202.66,5044.65,7396.69,10675.16,14653.33,3153.64,25991.34,19460.15,13864.04,15464.5,58778.08,9958.14,61460.45
hsa-let-7b-3p,8.4,36.51,1.22,3.46,0.0,5.4,1.74,1.95,3.87,7.6,3.11,2.35,5.23,9.26,2.25,30.01,11.7,4.74,24.5,35.78,2.48,12.71
hsa-let-7b-5p,9704.77,11278.91,3061.24,11140.91,833.94,16720.12,12904.87,9920.95,3932.67,12035.44,3453.81,11262.29,8174.9,6968.74,6701.6,12040.55,8306.58,10393.69,10865.33,33203.14,1699.82,29129.72
hsa-let-7c-3p,11.03,0.0,0.68,1.63,0.0,1.13,3.32,0.98,1.55,3.01,1.71,0.67,2.2,1.08,1.25,9.52,5.65,2.76,4.36,5.02,0.5,2.78
hsa-let-7c-5p,10791.04,14673.46,1714.01,8199.8,542.12,9877.25,14994.1,11949.9,3683.92,7273.72,2605.52,6118.3,7728.75,8630.94,3984.31,15416.65,10692.82,13593.69,9188.88,37926.55,2172.23,21538.0
hsa-let-7d-3p,501.66,477.1,38.19,56.33,7.03,121.29,48.76,48.8,80.44,120.39,63.76,40.87,189.47,253.34,25.51,625.3,199.51,278.84,848.74,502.69,48.78,460.47
hsa-let-7d-5p,509.01,964.51,158.87,380.7,30.08,820.7,695.14,1109.49,241.31,364.32,174.01,306.44,296.36,553.21,183.16,841.72,657.43,525.51,465.03,2609.93,264.4,2220.29
hsa-let-7e-3p,0.0,0.0,0.54,0.0,0.0,0.0,1.11,0.16,0.15,0.0,0.0,0.0,0.51,0.22,0.25,1.15,0.4,0.0,1.2,0.2,0.0,1.59
hsa-let-7e-5p,147.79,369.63,39.01,143.98,14.39,512.86,231.29,305.19,56.72,102.05,38.88,195.6,117.87,160.06,110.4,274.99,212.22,168.53,177.8,1255.42,74.41,1100.51
hsa-let-7f-1-3p,1.31,0.0,0.27,1.02,0.16,0.23,1.11,0.33,0.15,2.87,0.93,0.5,1.35,0.86,0.63,1.15,0.61,0.39,1.35,5.43,0.0,0.2
