miRNA,SRR13608450,SRR13608451,SRR13608452,SRR13608453,SRR13608454,SRR13608455,SRR13608456,SRR13608457,SRR13608458,SRR13608459,SRR13608460,SRR13608461,SRR13608462,SRR13608463,SRR13608464,SRR13608465,SRR13608466,SRR13608467,SRR13608468,SRR13608469,SRR13608470,SRR13608471
hsa-let-7a-2-3p,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7a-3p,61.0,420.0,57.0,43.0,5.0,23.0,61.0,34.0,60.0,153.0,32.0,27.0,101.0,56.0,34.0,137.0,51.0,39.0,151.0,126.0,19.0,102.0
hsa-let-7a-5p,57091.0,190780.0,28278.0,48548.0,3997.0,80660.0,169122.0,181697.0,47915.0,113051.0,32440.0,43979.0,63216.0,68021.0,25224.0,180148.0,96467.0,70256.0,102891.0,292434.0,60224.0,309394.0
hsa-let-7b-3p,32.0,177.0,9.0,17.0,0.0,24.0,11.0,12.0,25.0,53.0,20.0,14.0,31.0,43.0,18.0,208.0,58.0,24.0,163.0,178.0,15.0,64.0
hsa-let-7b-5p,36969.0,54681.0,22602.0,54782.0,5101.0,74300.0,81516.0,60984.0,25375.0,83975.0,22210.0,66963.0,48410.0,32349.0,53602.0,83454.0,41177.0,52670.0,72291.0,165193.0,10280.0,146640.0
hsa-let-7c-3p,42.0,0.0,5.0,8.0,0.0,5.0,21.0,6.0,10.0,21.0,11.0,4.0,13.0,5.0,10.0,66.0,28.0,14.0,29.0,25.0,3.0,14.0
hsa-let-7c-5p,41107.0,71138.0,12655.0,40320.0,3316.0,43892.0,94713.0,73456.0,23770.0,50751.0,16755.0,36378.0,45768.0,40065.0,31868.0,106854.0,53006.0,68886.0,61137.0,188693.0,13137.0,108423.0
hsa-let-7d-3p,1911.0,2313.0,282.0,277.0,43.0,539.0,308.0,300.0,519.0,840.0,410.0,243.0,1122.0,1176.0,204.0,4334.0,989.0,1413.0,5647.0,2501.0,295.0,2318.0
hsa-let-7d-5p,1939.0,4676.0,1173.0,1872.0,184.0,3647.0,4391.0,6820.0,1557.0,2542.0,1119.0,1822.0,1755.0,2568.0,1465.0,5834.0,3259.0,2663.0,3094.0,12985.0,1599.0,11177.0
hsa-let-7e-3p,0.0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,8.0,2.0,0.0,8.0,1.0,0.0,8.0
hsa-let-7e-5p,563.0,1792.0,288.0,708.0,88.0,2279.0,1461.0,1876.0,366.0,712.0,250.0,1163.0,698.0,743.0,883.0,1906.0,1052.0,854.0,1183.0,6246.0,450.0,5540.0
hsa-let-7f-1-3p,5.0,0.0,2.0,5.0,1.0,1.0,7.0,2.0,1.0,20.0,6.0,3.0,8.0,4.0,5.0,8.0,3.0,2.0,9.0,27.0,0.0,1.0
hsa-let-7f-2-3p,1.0,39.0,3.0,5.0,0.0,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,1.0,3.0,4.0,0.0,5.0
hsa-let-7f-5p,42545.0,143258.0,28521.0,37931.0,3285.0,33231.0,184169.0,107642.0,59232.0,116595.0,27347.0,23423.0,56499.0,48866.0,14678.0,138455.0,67959.0,53244.0,84977.0,144521.0,43898.0,129140.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,19451.0,67900.0,34968.0,28124.0,1640.0,10439.0,140486.0,62472.0,66837.0,109103.0,14399.0,7909.0,33996.0,50521.0,7133.0,156640.0,67511.0,27067.0,66538.0,69130.0,44956.0,57455.0
hsa-let-7i-3p,0.0,0.0,5.0,4.0,0.0,0.0,12.0,1.0,6.0,17.0,6.0,1.0,4.0,0.0,4.0,5.0,6.0,0.0,14.0,9.0,0.0,0.0
hsa-let-7i-5p,45282.0,65287.0,22464.0,24442.0,4807.0,13068.0,54862.0,19010.0,41882.0,111681.0,11551.0,8353.0,63032.0,52653.0,13902.0,161032.0,49897.0,37415.0,142989.0,85928.0,21978.0,63776.0
hsa-miR-1-3p,1662.0,7811.0,7221.0,4206.0,745.0,1712.0,14421.0,611.0,3217.0,3462.0,1938.0,658.0,2486.0,1442.0,2354.0,3030.0,4515.0,1531.0,4310.0,5595.0,1766.0,2239.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-100-5p,15945.0,14587.0,23553.0,9029.0,2954.0,10288.0,46143.0,13294.0,10705.0,55115.0,24636.0,11818.0,12694.0,13709.0,8243.0,32589.0,13845.0,10091.0,33572.0,23157.0,5463.0,19571.0
hsa-miR-101-3p,2785.0,2243.0,6196.0,2446.0,595.0,2068.0,19936.0,4296.0,8872.0,27219.0,3956.0,2975.0,2869.0,3542.0,2059.0,11606.0,3856.0,1655.0,10431.0,5305.0,2181.0,5029.0
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,8.0,0.0,5.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,3.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
hsa-miR-10395-3p,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,11.0,18.0,0.0,0.0,3.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-10396b-3p,1.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,7.0,0.0,12.0,1.0,12.0,8.0,0.0,8.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
hsa-miR-10398-3p,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
