miRNA,SRR13648489,SRR13648490,SRR13648491,SRR13648492,SRR13648493,SRR13648494,SRR13648495,SRR13648496,SRR13648497,SRR13648498,SRR13648499,SRR13648500,SRR13648501,SRR13648502,SRR13648503,SRR16312949,SRR16312950,SRR16312951,SRR16312952,SRR16312953,SRR16312954,SRR16312955,SRR16312956,SRR16312957,SRR16312958
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,114.0,297.0,273.0,178.0,242.0,783.0,363.0,151.0,305.0,321.0,433.0,14.0,128.0,0.0,124.0,382.0,1046.0,31.0,1.0,120.0,0.0,0.0,102.0,1.0,34.0
hsa-let-7a-5p,186810.0,37272.0,57375.0,17611.0,86155.0,81231.0,24574.0,159509.0,249615.0,32515.0,25685.0,12307.0,34270.0,641.0,13780.0,40349.0,101508.0,478.0,206.0,349.0,1083.0,524.0,16419.0,694.0,1557.0
hsa-let-7b-3p,430.0,89.0,207.0,108.0,416.0,754.0,148.0,129.0,407.0,85.0,370.0,8.0,75.0,2.0,42.0,161.0,400.0,0.0,0.0,0.0,0.0,0.0,109.0,1.0,7.0
hsa-let-7b-5p,64120.0,104438.0,69348.0,29043.0,62822.0,88784.0,61776.0,43175.0,41178.0,28355.0,41553.0,21070.0,110806.0,1577.0,34117.0,97789.0,69381.0,6121.0,492.0,2667.0,8971.0,1860.0,46325.0,211.0,9134.0
hsa-let-7c-3p,13.0,7.0,3.0,0.0,11.0,11.0,0.0,33.0,10.0,2.0,12.0,4.0,0.0,0.0,1.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0
hsa-let-7c-5p,2755.0,5297.0,1136.0,239.0,3089.0,14118.0,1229.0,22244.0,2528.0,1049.0,2176.0,2230.0,1900.0,5.0,408.0,987.0,11326.0,18.0,264.0,20.0,26.0,52.0,1856.0,279.0,48.0
hsa-let-7d-3p,23287.0,9180.0,12722.0,2795.0,19765.0,27183.0,3953.0,3964.0,13676.0,3980.0,7554.0,977.0,7458.0,25.0,3857.0,21217.0,20672.0,115.0,13.0,370.0,1.0,3.0,6731.0,20.0,237.0
hsa-let-7d-5p,18351.0,8999.0,17723.0,5390.0,12129.0,13790.0,5120.0,13378.0,30580.0,16852.0,11235.0,1352.0,7217.0,23.0,5225.0,8869.0,19165.0,510.0,42.0,200.0,7.0,13.0,5070.0,116.0,318.0
hsa-let-7e-3p,0.0,1.0,1.0,1.0,12.0,16.0,4.0,2.0,10.0,2.0,0.0,13.0,1.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,1.0
hsa-let-7e-5p,1019.0,349.0,835.0,123.0,820.0,757.0,529.0,558.0,1644.0,1216.0,995.0,851.0,711.0,10.0,213.0,900.0,1636.0,12.0,7.0,94.0,11.0,2.0,820.0,22.0,20.0
hsa-let-7f-1-3p,16.0,13.0,26.0,50.0,30.0,76.0,26.0,14.0,52.0,22.0,47.0,5.0,9.0,0.0,12.0,19.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
