miRNA,SRR13699293,SRR13699296,SRR13699298,SRR13699299,SRR13699300,SRR13699301,SRR13699305,SRR13699307,SRR13699310,SRR13699312,SRR13699320,SRR13699322,SRR13699324,SRR13699334,SRR13699337,SRR13699339,SRR13699341,SRR13699348,SRR13699349,SRR13699351,SRR13699355,SRR13699356,SRR13699357,SRR13699361,SRR13699362,SRR13699363,SRR13699372,SRR13699373,SRR13699374,SRR13699375,SRR13699379,SRR13699382,SRR13699385,SRR13699388,SRR13699389,SRR13699392,SRR13699394,SRR13699395,SRR13699397,SRR13699400,SRR13699401,SRR13699402,SRR13699406,SRR13699410,SRR13699415,SRR13699418,SRR13699419,SRR13699420,SRR13699421,SRR13699422,SRR13699426,SRR13699427,SRR13699430,SRR13699431,SRR13699432,SRR13699435,SRR13699436,SRR13699437,SRR13699440,SRR13699441,SRR13699444,SRR13699447,SRR13699450,SRR13699451,SRR13699453,SRR13699456,SRR13699458
hsa-let-7a-5p,0.0,2604.45,7.18,730.06,2.44,1.66,0.0,191.18,1.24,5.29,1971.1,2908.61,672.36,402.15,142.92,628.2,5.97,226.4,1916.0,0.0,328.72,0.0,14.59,782.4,446.97,1008.59,494.1,573.63,315.25,0.0,1963.45,0.0,571.25,0.0,1518.11,0.0,0.0,154.29,3587.15,1261.41,0.0,257.68,2.4,1235.62,0.0,988.15,1370.37,2837.51,1989.62,1310.39,0.0,845.68,248.56,2.52,748.24,0.0,181.75,2096.47,8.49,382.36,2331.45,15.3,3310.07,197.68,75.72,0.0,8.94
hsa-let-7b-5p,0.64,1047.55,5.74,2950.66,0.0,3.31,0.0,700.99,1422.39,0.0,1300.09,2221.92,0.0,426.48,2.46,934.99,680.45,0.0,4329.08,309.86,1696.21,0.0,4.17,0.0,4231.35,702.96,302.84,214.49,1778.92,98.69,612.3,1103.51,595.82,0.0,3332.87,0.0,0.0,872.09,3389.35,319.29,4135.38,773.03,2.4,2031.91,4928.35,3699.44,801.67,1710.54,1684.9,3283.17,0.0,1120.53,186.42,0.0,1596.25,0.0,1272.24,3012.83,19.82,342.11,1519.65,20.4,1248.68,0.0,151.43,1727.82,0.0
hsa-let-7c-5p,0.64,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,347.27,0.0,1658.69,0.0,0.0,340.23,0.0,653.3,0.0,0.0,0.0,0.0,413.9,0.0,0.0,0.0,0.0,45.04,0.0,4.08,0.0,0.0,0.0,0.0,0.0,778.89,6.71,2.67,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,268.87,158.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.79,0.0,0.0,294.52,0.0,2.37,0.0,0.0,9.29,0.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,5.2,0.0,0.0,11.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.64,1.25,0.0,152.1,0.0,1.66,0.0,0.0,0.0,0.0,0.0,641.12,0.0,0.0,0.0,58.44,0.0,0.0,1016.1,0.0,26.3,0.0,0.0,0.0,0.0,427.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.5,0.0,0.0,0.0,0.0,0.0,0.0,85.89,0.0,0.0,165.66,0.0,438.52,0.0,238.99,0.0,0.0,274.85,248.56,0.0,99.77,0.0,127.22,332.42,2.83,160.99,247.5,0.0,4.74,0.0,0.0,956.8,0.0
hsa-let-7f-5p,0.0,3398.58,1.44,3346.11,0.0,0.0,0.0,509.81,11194.33,0.0,2096.91,598.69,1097.01,2425.77,66.53,1314.83,793.86,0.0,1664.24,0.0,2629.78,1.22,10.42,1746.38,4648.53,825.21,757.09,0.0,2679.64,0.0,12.25,7353.1,3.07,0.0,1343.62,0.0,0.0,73.79,3317.18,0.0,2037.9,1889.63,0.0,3665.67,3768.74,7010.97,1404.63,3013.0,914.15,4881.56,0.0,1437.66,310.69,0.0,1795.78,2.6,1799.31,1434.74,2.83,261.62,2267.1,5.1,8927.96,1532.0,378.58,5378.54,0.0
hsa-let-7g-5p,0.0,0.0,2.87,456.29,2.44,0.0,0.0,0.0,380.76,0.0,847.59,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,210.38,0.0,4.17,0.0,0.0,91.69,0.0,0.0,180.14,0.0,0.0,1212.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.63,472.41,2.4,137.29,0.0,587.99,0.0,0.0,507.86,0.0,0.0,126.85,0.0,2.52,349.18,5.2,381.67,504.49,31.14,20.12,324.22,15.3,0.0,0.0,25.24,0.0,0.0
hsa-let-7i-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,0.0,204.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.21,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1-3p,0.0,0.0,0.0,91.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.79,0.0,0.0,1023.85,0.0,52.6,0.0,0.0,0.0,208.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.78,0.0,0.0,0.0,0.0,0.0,0.0,85.89,0.0,123.56,248.49,257.25,0.0,1055.08,0.0,0.0,0.0,42.28,0.0,0.0,99.77,0.0,54.52,587.54,0.0,0.0,465.3,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,2.6,0.0,0.0,5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,0.0,0.0,0.0,0.0,5.2,0.0,31.35,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10a-5p,0.0,355.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,1305.81,200.53,2027.92,0.0,43.83,525.26,100.62,666.21,0.0,0.0,0.0,0.0,0.0,0.0,91.69,0.0,0.0,0.0,0.0,0.0,0.0,58.35,0.0,191.95,0.0,0.0,0.0,1053.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.19,2.11,1075.47,345.6,0.0,42.28,0.0,0.0,0.0,0.0,72.7,741.42,0.0,20.12,371.25,0.0,507.05,0.0,0.0,130.05,0.0
