miRNA,SRR13699293,SRR13699296,SRR13699298,SRR13699299,SRR13699300,SRR13699301,SRR13699305,SRR13699307,SRR13699310,SRR13699312,SRR13699320,SRR13699322,SRR13699324,SRR13699334,SRR13699337,SRR13699339,SRR13699341,SRR13699348,SRR13699349,SRR13699351,SRR13699355,SRR13699356,SRR13699357,SRR13699361,SRR13699362,SRR13699363,SRR13699372,SRR13699373,SRR13699374,SRR13699375,SRR13699379,SRR13699382,SRR13699385,SRR13699388,SRR13699389,SRR13699392,SRR13699394,SRR13699395,SRR13699397,SRR13699400,SRR13699401,SRR13699402,SRR13699406,SRR13699410,SRR13699415,SRR13699418,SRR13699419,SRR13699420,SRR13699421,SRR13699422,SRR13699426,SRR13699427,SRR13699430,SRR13699431,SRR13699432,SRR13699435,SRR13699436,SRR13699437,SRR13699440,SRR13699441,SRR13699444,SRR13699447,SRR13699450,SRR13699451,SRR13699453,SRR13699456,SRR13699458
hsa-let-7a-5p,0.0,2076.0,5.0,24.0,1.0,1.0,0.0,6.0,3.0,1.0,893.0,1851.0,57.0,281.0,58.0,43.0,1.0,36.0,1484.0,0.0,25.0,0.0,7.0,293.0,30.0,33.0,62.0,115.0,14.0,0.0,481.0,0.0,186.0,0.0,87.0,0.0,0.0,23.0,1342.0,320.0,0.0,6.0,1.0,90.0,0.0,242.0,200.0,1342.0,333.0,91.0,0.0,40.0,4.0,1.0,15.0,0.0,10.0,8760.0,3.0,19.0,942.0,3.0,1397.0,4.0,3.0,0.0,2.0
hsa-let-7b-5p,1.0,835.0,4.0,97.0,0.0,2.0,0.0,22.0,3448.0,0.0,589.0,1414.0,0.0,298.0,1.0,64.0,114.0,0.0,3353.0,43.0,129.0,0.0,2.0,0.0,284.0,23.0,38.0,43.0,79.0,42.0,150.0,101.0,194.0,0.0,191.0,0.0,0.0,130.0,1268.0,81.0,347.0,18.0,1.0,148.0,238.0,906.0,117.0,809.0,282.0,228.0,0.0,53.0,3.0,0.0,32.0,0.0,70.0,12589.0,7.0,17.0,614.0,4.0,527.0,0.0,6.0,186.0,0.0
hsa-let-7c-5p,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,221.0,0.0,1159.0,0.0,0.0,57.0,0.0,506.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,478.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073.0,0.0,0.0,119.0,0.0,1.0,0.0,0.0,1.0,0.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,408.0,0.0,0.0,0.0,4.0,0.0,0.0,787.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,64.0,0.0,40.0,0.0,0.0,13.0,4.0,0.0,2.0,0.0,7.0,1389.0,1.0,8.0,100.0,0.0,2.0,0.0,0.0,103.0,0.0
hsa-let-7f-5p,0.0,2709.0,1.0,110.0,0.0,0.0,0.0,16.0,27136.0,0.0,950.0,381.0,93.0,1695.0,27.0,90.0,133.0,0.0,1289.0,0.0,200.0,1.0,5.0,654.0,312.0,27.0,95.0,0.0,119.0,0.0,3.0,673.0,1.0,0.0,77.0,0.0,0.0,11.0,1241.0,0.0,171.0,44.0,0.0,267.0,182.0,1717.0,205.0,1425.0,153.0,339.0,0.0,68.0,5.0,0.0,36.0,1.0,99.0,5995.0,1.0,13.0,916.0,1.0,3768.0,31.0,15.0,579.0,0.0
hsa-let-7g-5p,0.0,0.0,2.0,15.0,1.0,0.0,0.0,0.0,923.0,0.0,384.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,11.0,1.0,10.0,0.0,144.0,0.0,0.0,85.0,0.0,0.0,6.0,0.0,1.0,7.0,2.0,21.0,2108.0,11.0,1.0,131.0,3.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7i-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1-3p,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,793.0,0.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,12.0,63.0,0.0,499.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2455.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
