miRNA,SRR13849723,SRR13849724,SRR13849725,SRR13849728,SRR13849729,SRR13849730,SRR13849731
hsa-let-7a-5p,0.0,0.0,12.59,24.27,21.06,39.6,0.0
hsa-let-7b-5p,1472.11,3739.24,9455.44,8312.09,2654.8,2569.33,604.72
hsa-let-7c-5p,0.0,4.4,0.0,0.0,0.0,6.34,0.0
hsa-let-7d-3p,0.0,0.0,0.0,2.76,7.02,20.59,0.0
hsa-let-7d-5p,0.0,0.0,0.0,7.17,0.0,1.58,0.0
hsa-let-7e-5p,0.0,0.0,1.26,0.0,0.0,0.0,0.0
hsa-let-7f-5p,0.0,0.88,59.19,8.83,1.4,23.76,0.0
hsa-let-7i-5p,0.0,0.0,1.26,31.44,35.1,20.59,0.0
hsa-miR-1-3p,0.0,0.0,23.93,0.0,15.44,0.0,0.0
hsa-miR-101-3p,6.54,225.39,209.06,350.82,234.45,541.75,181.17
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,1.4,0.0,0.0
hsa-miR-103a-3p,163.57,667.38,1044.03,1204.15,1594.84,1001.12,302.36
hsa-miR-106b-3p,0.0,0.88,0.0,0.0,0.0,0.0,0.0
hsa-miR-107,0.0,0.0,0.0,4.41,8.42,1.58,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,7.02,0.0,0.0
hsa-miR-1246,6.54,0.88,1.26,49.64,29.48,7.92,1.25
hsa-miR-1247-5p,0.0,0.0,0.0,2.21,0.0,0.0,0.0
hsa-miR-125a-5p,0.0,9.68,66.75,0.0,0.0,3.17,0.0
hsa-miR-125b-5p,0.0,15.85,0.0,0.0,14.04,1.58,0.0
hsa-miR-127-3p,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-1273h-3p,0.0,0.0,22.67,13.24,9.83,0.0,0.0
hsa-miR-128-3p,58.88,7.04,0.0,16.55,12.64,0.0,0.0
hsa-miR-1285-5p,52.34,5.28,0.0,0.0,25.27,1.58,8.75
hsa-miR-1289,0.0,0.0,0.0,0.0,1.4,0.0,0.0
hsa-miR-129-5p,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-1290,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-1292-5p,0.0,0.88,0.0,0.55,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,25.19,8.83,5.62,15.84,0.0
hsa-miR-1304-3p,0.0,0.0,28.97,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,9571.98,3208.33,7250.26,7255.77,2539.67,3854.0,1435.59
hsa-miR-130b-5p,0.0,0.0,22.67,0.0,0.0,0.0,0.0
hsa-miR-135b-3p,0.0,0.0,0.0,0.0,0.0,22.18,0.0
hsa-miR-139-3p,52.34,0.0,22.67,1.65,7.02,17.42,0.0
hsa-miR-140-3p,0.0,0.88,26.45,11.58,12.64,0.0,18.74
hsa-miR-140-5p,0.0,10.57,0.0,2.76,14.04,0.0,0.0
hsa-miR-141-3p,0.0,0.0,431.97,43.02,36.5,193.25,0.0
hsa-miR-141-5p,0.0,0.0,0.0,0.0,5.62,0.0,0.0
hsa-miR-142-3p,680.44,283.5,3781.93,1721.55,9955.13,4410.0,822.12
hsa-miR-142-5p,294.42,111.82,250.62,119.7,320.09,432.45,154.93
hsa-miR-1468-5p,0.0,0.0,2.52,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,0.0,23.77,18.89,14.34,26.67,0.0,0.0
hsa-miR-146b-3p,0.0,0.0,23.93,9.93,0.0,0.0,0.0
hsa-miR-146b-5p,0.0,0.0,104.53,0.55,0.0,0.0,16.24
hsa-miR-147b-3p,39.26,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-148a-3p,0.0,0.0,20.15,1.1,1.4,0.0,0.0
hsa-miR-148b-3p,0.0,0.0,2.52,0.0,1.4,0.0,0.0
hsa-miR-150-5p,26.17,10.57,28.97,4.41,0.0,0.0,0.0
hsa-miR-151a-3p,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-152-3p,0.0,0.0,22.67,1.65,1.4,0.0,0.0
hsa-miR-15a-5p,0.0,0.0,31.48,12.14,18.25,0.0,0.0
hsa-miR-15b-5p,0.0,0.0,0.0,7.72,2.81,0.0,10.0
hsa-miR-16-5p,6.54,331.93,395.45,1056.32,425.38,611.44,382.32
hsa-miR-17-5p,0.0,0.88,0.0,0.0,0.0,0.0,0.0
hsa-miR-181a-5p,13.09,4.4,44.08,25.37,105.29,77.62,27.49
hsa-miR-181b-5p,1073.0,1789.94,3812.15,4505.48,3877.6,2729.32,1153.22
hsa-miR-181c-3p,0.0,7.04,17.63,4.96,0.0,0.0,0.0
hsa-miR-181d-5p,6.54,15.85,64.23,36.41,18.25,3.17,11.24
hsa-miR-182-5p,13.09,7.04,144.83,100.39,131.97,112.47,14.99
hsa-miR-183-3p,0.0,0.0,20.15,0.0,0.0,0.0,0.0
hsa-miR-183-5p,0.0,0.0,1.26,11.58,7.02,1.58,0.0
hsa-miR-184,0.0,0.0,0.0,3.86,0.0,0.0,0.0
hsa-miR-1843,0.0,0.0,0.0,1.65,0.0,36.43,0.0
hsa-miR-185-3p,0.0,0.0,0.0,5.52,5.62,0.0,0.0
hsa-miR-185-5p,0.0,0.0,0.0,1.1,0.0,0.0,0.0
hsa-miR-186-5p,0.0,12.33,0.0,3.31,0.0,0.0,0.0
hsa-miR-18a-3p,130.85,52.83,211.58,440.73,261.13,83.95,111.2
hsa-miR-18b-3p,0.0,11.45,0.0,59.57,15.44,17.42,0.0
hsa-miR-1908-5p,248.62,145.27,167.5,84.95,21.06,7.92,54.97
hsa-miR-191-5p,0.0,14.97,0.0,20.96,0.0,17.42,0.0
hsa-miR-192-5p,0.0,0.88,1.26,0.55,2.81,0.0,0.0
hsa-miR-193b-5p,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-194-5p,0.0,19.37,0.0,20.96,2.81,0.0,13.74
hsa-miR-195-5p,0.0,0.0,0.0,2.21,0.0,0.0,0.0
hsa-miR-196a-5p,6.54,68.67,181.35,216.78,124.95,33.27,0.0
hsa-miR-196b-5p,0.0,0.0,0.0,7.17,15.44,0.0,0.0
hsa-miR-197-3p,0.0,0.0,0.0,3.31,11.23,0.0,0.0
hsa-miR-197-5p,19.63,15.85,1.26,27.58,14.04,39.6,0.0
hsa-miR-1976,0.0,0.0,0.0,0.0,2.81,0.0,0.0
hsa-miR-199b-3p,0.0,0.0,0.0,0.0,1.4,0.0,0.0
hsa-miR-19b-3p,0.0,0.88,46.6,12.14,0.0,30.1,0.0
hsa-miR-200a-3p,183.2,36.98,0.0,0.0,605.09,0.0,52.48
hsa-miR-200b-3p,0.0,0.0,0.0,0.0,4.21,0.0,0.0
hsa-miR-200c-3p,19.63,39.62,382.85,47.99,496.98,131.48,74.97
hsa-miR-203a-3p,0.0,0.0,1.26,0.0,0.0,0.0,0.0
hsa-miR-206,39.26,1370.85,399.22,4.96,303.24,99.8,18.74
hsa-miR-20a-5p,0.0,0.0,0.0,1.1,0.0,0.0,1.25
hsa-miR-20b-5p,0.0,0.0,0.0,0.0,5.62,0.0,0.0
