miRNA,SRR14333352,SRR14333353,SRR14333354,SRR14333355,SRR14333356,SRR14333357
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7a-5p,7.0,6.0,0.0,0.0,15.0,13.0
hsa-let-7b-5p,79.0,73.0,4.0,2.0,95.0,78.0
hsa-let-7f-5p,5.0,5.0,1.0,3.0,4.0,3.0
hsa-let-7g-5p,4.0,2.0,1.0,1.0,5.0,6.0
hsa-let-7i-5p,0.0,0.0,0.0,0.0,3.0,2.0
hsa-miR-100-5p,3.0,1.0,0.0,0.0,2.0,2.0
hsa-miR-10399-3p,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,1.0,0.0,1.0,0.0,4.0
hsa-miR-10a-5p,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1178-5p,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-1197,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-12120,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-125a-5p,0.0,1.0,0.0,0.0,2.0,0.0
hsa-miR-125b-5p,1.0,1.0,0.0,0.0,7.0,12.0
hsa-miR-126-3p,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,2.0,1.0,1.0,0.0,1.0,0.0
hsa-miR-1283,2.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,0.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-1296-5p,3.0,3.0,0.0,0.0,2.0,0.0
hsa-miR-1302,0.0,0.0,1.0,1.0,0.0,0.0
hsa-miR-1307-3p,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-130b-3p,6.0,4.0,0.0,0.0,2.0,4.0
hsa-miR-138-5p,3.0,1.0,0.0,0.0,1.0,1.0
hsa-miR-143-3p,3.0,2.0,0.0,0.0,0.0,0.0
hsa-miR-143-5p,0.0,0.0,1.0,2.0,0.0,0.0
hsa-miR-148a-3p,5.0,5.0,1.0,0.0,0.0,2.0
hsa-miR-148a-5p,2.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-148b-3p,3.0,0.0,0.0,0.0,2.0,0.0
hsa-miR-149-5p,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-151a-3p,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-151a-5p,6.0,4.0,0.0,1.0,3.0,1.0
hsa-miR-151b,0.0,0.0,0.0,0.0,4.0,1.0
