miRNA,SRR14729102,SRR14729103,SRR14729104,SRR14729111,SRR14729112,SRR14729113,SRR14729114,SRR14729115,SRR14729100,SRR14729101,SRR14729105,SRR14729106,SRR14729107,SRR14729108,SRR14729109,SRR14729110,SRR14729116,SRR14729117,SRR14729118,SRR14729119
hsa-let-7a-3p,32.63,5.57,27.39,5.31,0.0,16.71,29.15,9.44,10.07,7.83,10.72,4.59,12.75,5.95,10.49,46.29,47.39,65.04,46.4,36.03
hsa-let-7a-5p,10607.13,14749.77,8257.49,1556.52,244.23,3298.56,3732.59,2125.2,7233.41,4020.15,10083.47,7426.43,16015.04,7383.49,10177.24,3633.24,4032.74,4142.68,4171.34,3576.26
hsa-let-7b-3p,44.33,5.08,6.81,3.44,0.0,5.57,14.65,3.43,3.7,1.38,2.0,6.25,6.57,4.29,3.68,17.08,10.44,20.19,18.74,16.35
hsa-let-7b-5p,5736.63,7802.1,5999.28,3449.89,2196.64,2386.13,1969.77,4134.0,5185.62,3653.26,7392.39,5210.26,9155.15,3869.23,3288.5,3148.92,3471.35,8797.71,3891.17,2788.91
hsa-let-7c-3p,0.45,0.0,0.14,0.0,0.0,0.34,0.3,0.0,0.74,0.0,0.29,0.0,0.26,0.0,0.74,0.48,0.0,0.75,0.0,0.32
hsa-let-7c-5p,170.57,290.01,137.8,62.31,40.22,82.18,182.63,114.16,113.89,91.68,214.23,144.97,1220.15,425.27,1410.25,75.83,92.13,127.59,148.47,91.28
hsa-let-7d-3p,1507.91,3527.11,1401.93,184.43,102.57,448.71,856.18,252.52,1323.73,572.22,1149.75,1180.01,1636.05,989.62,629.39,683.71,878.36,1489.21,1342.5,747.35
hsa-let-7d-5p,1499.36,986.24,870.75,334.51,47.81,520.93,576.73,530.78,534.05,489.14,972.1,647.41,1440.53,556.33,609.52,741.33,928.07,1532.07,754.86,606.23
hsa-let-7e-3p,0.45,0.0,0.0,0.0,0.0,0.17,0.45,0.17,0.0,0.0,0.0,0.14,0.26,0.0,0.0,0.16,0.17,0.0,0.0,0.16
hsa-let-7e-5p,97.44,63.92,48.95,20.15,13.41,30.21,32.78,28.15,78.49,37.47,75.32,72.14,149.15,61.86,30.37,50.28,52.36,69.03,74.06,45.4
