miRNA,SRR14867395,SRR14867396,SRR14867397,SRR14867398,SRR14867399,SRR14867400,SRR14867401,SRR14867402,SRR14867403,SRR14867404,SRR14867405,SRR14867406,SRR14867407,SRR14867408,SRR14867409,SRR14867410,SRR14867411,SRR14867412,SRR14867413,SRR14867414,SRR14867415
hsa-let-7a-3p,11.31,5.69,3.87,14.14,11.62,30.93,9.38,37.66,14.78,13.06,25.17,7.17,14.31,5.69,13.2,8.75,17.67,11.64,20.37,30.24,0.0
hsa-let-7a-5p,8390.45,1638.53,13880.83,5008.9,2706.97,2790.56,4743.7,3983.69,2939.77,1752.32,1987.98,5971.14,2449.67,3867.82,3917.86,3217.45,1363.74,908.86,2507.4,3183.89,4833.3
hsa-let-7b-3p,0.0,5.69,0.0,0.0,3.75,13.8,0.0,1.41,18.91,0.0,4.82,0.0,8.98,0.0,1.05,2.05,0.0,0.0,0.0,7.76,2.27
hsa-let-7b-5p,38967.82,17474.29,16103.24,31102.72,23946.53,14595.83,28503.36,20362.44,23928.95,23136.77,25629.48,31910.83,30391.35,24538.01,35224.69,26300.68,22027.89,14712.8,24945.28,29801.29,17086.8
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,626.47,271.82,244.63,277.14,105.73,202.71,242.89,471.26,265.37,176.84,99.32,208.59,156.23,239.49,160.52,265.6,86.33,76.3,393.21,318.39,716.65
hsa-let-7d-3p,290.2,281.07,309.2,595.66,620.13,734.56,372.94,556.96,588.07,418.96,380.41,382.22,371.4,256.77,256.49,237.53,247.0,216.95,258.52,479.93,206.61
hsa-let-7d-5p,1801.08,340.85,2326.55,1053.02,749.1,782.46,1154.0,835.17,449.18,556.62,520.73,1512.58,638.25,1015.5,927.25,886.09,335.48,293.58,642.7,664.75,1061.33
hsa-let-7e-3p,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0
hsa-let-7e-5p,277.23,42.69,133.38,188.08,47.24,82.64,114.41,243.9,195.04,35.07,66.77,119.75,41.24,161.24,105.53,72.66,24.73,32.33,96.05,136.96,275.48
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52
hsa-let-7f-2-3p,2.04,0.0,1.75,2.62,4.12,0.0,2.08,0.0,0.0,0.0,5.58,1.3,2.18,0.0,0.0,0.0,0.0,0.0,0.0,7.44,8.45
hsa-let-7f-5p,3205.94,850.34,6563.93,1555.42,916.32,746.61,1696.34,1024.69,610.53,511.85,718.48,1718.04,853.67,1137.56,1112.71,925.5,556.83,348.54,788.51,846.34,1205.89
hsa-let-7g-3p,0.0,0.0,1.01,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,2.91,3.65,1.54,0.0,0.0,0.0,0.0,4.85,0.0
hsa-let-7g-5p,1917.72,887.1,1409.57,844.51,704.86,309.94,589.51,519.65,249.41,369.71,767.91,684.61,614.96,547.58,700.96,597.17,386.94,213.07,707.97,641.47,407.7
hsa-let-7i-3p,2.49,7.35,4.06,2.1,1.87,5.08,0.0,13.73,0.0,6.72,0.0,7.44,2.18,0.0,4.21,1.19,10.45,5.82,0.0,2.26,6.5
hsa-let-7i-5p,6951.13,4605.35,9131.51,4837.06,4856.04,4174.81,5293.07,3625.23,4207.53,3904.94,3923.07,4760.81,4682.46,3466.34,4423.39,3964.37,2385.25,2354.44,3234.8,4126.28,2301.98
hsa-miR-1-3p,31.82,19.92,3.04,5.76,20.25,13.01,6.52,10.91,16.55,5.97,3.01,15.52,8.98,6.87,0.0,13.6,13.21,13.9,3.7,15.52,1.3
hsa-miR-100-5p,114.23,206.83,76.19,443.21,428.54,320.57,212.14,582.47,463.37,155.57,216.13,69.01,297.41,122.38,82.69,637.44,76.65,179.77,929.22,549.14,426.87
hsa-miR-101-3p,1442.26,2655.14,1186.43,2573.86,2970.54,1786.19,1301.77,1353.41,703.91,1972.06,2751.08,1735.26,2219.21,1233.52,1547.79,1888.9,1835.79,1017.82,1642.28,2391.55,747.51
hsa-miR-101-5p,16.36,21.11,10.52,4.71,30.74,9.36,6.78,4.93,11.82,24.62,12.06,11.74,11.16,5.9,15.55,11.98,11.06,0.0,8.33,16.98,2.92
hsa-miR-10226,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0
hsa-miR-10399-3p,2.79,9.01,1.57,0.0,3.37,0.0,1.56,0.18,0.0,4.48,4.82,2.09,1.94,0.75,0.0,0.0,0.0,0.0,0.0,2.26,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
