miRNA,SRR14916083,SRR14916084,SRR14916086,SRR14916090,SRR14916093,SRR14916094,SRR14916100,SRR14916102,SRR14916106,SRR14916109,SRR14916110,SRR14916111,SRR14916112,SRR14916114,SRR14916115,SRR14916116,SRR14916117,SRR14916121,SRR14916123,SRR14916124,SRR14916125,SRR14916126,SRR14916130,SRR14916131,SRR14916133,SRR14916134,SRR14916137,SRR14916140,SRR14916142,SRR14916143
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,7.0,183.0,0.0,2.0,36.0,68.0,0.0,42.0,0.0,43.0,11.0,5.0,4.0,37.0,126.0,26.0,176.0,133.0,127.0,20.0,80.0,135.0,19.0,208.0,26.0,10.0,20.0,106.0,82.0,38.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
hsa-let-7b-5p,8.0,65.0,1.0,0.0,12.0,12.0,1.0,0.0,0.0,13.0,0.0,30.0,35.0,46.0,38.0,69.0,103.0,23.0,55.0,26.0,180.0,43.0,96.0,63.0,67.0,12.0,31.0,49.0,10.0,49.0
hsa-let-7c-5p,0.0,169.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,6.0,17.0,1.0,0.0,2.0,15.0,1.0,25.0,8.0,28.0,33.0,21.0,0.0,1.0,7.0,45.0,9.0
hsa-let-7d-3p,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7d-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,0.0,12.0,0.0,7.0,12.0,7.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,13.0,58.0,0.0,8.0,21.0,0.0,62.0,23.0,0.0,0.0,20.0,10.0,5.0
hsa-let-7f-5p,5.0,193.0,0.0,1.0,34.0,85.0,78.0,0.0,0.0,40.0,6.0,5.0,17.0,9.0,74.0,0.0,107.0,67.0,114.0,89.0,61.0,60.0,8.0,98.0,25.0,7.0,31.0,136.0,23.0,3.0
hsa-let-7g-5p,22.0,22.0,0.0,0.0,6.0,46.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,12.0,18.0,19.0,24.0,0.0,17.0,23.0,12.0,16.0,13.0,1.0,0.0,28.0,18.0,6.0
