miRNA,SRR15035013,SRR15035014,SRR15035015,SRR15035016,SRR15035017,SRR15035018,SRR15035019,SRR15035020,SRR15035021,SRR15035022,SRR15035023,SRR15035024,SRR15035025,SRR15035027,SRR15035028,SRR15035029,SRR15035030,SRR15035031,SRR15035032,SRR15035033,SRR15035034,SRR15035035,SRR15035036,SRR15035037,SRR15035038,SRR15035039,SRR15035040,SRR15035041,SRR15035042,SRR15035043,SRR15035044,SRR15035045
hsa-let-7a-3p,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,6.35,3.66,0.0,8.62,3.3,1.15,0.0,0.0,0.0,0.0,0.0,3.97,3.15,0.0,0.0,0.0,0.0,0.48,0.89
hsa-let-7a-5p,6887.85,3607.91,8831.69,9345.4,20606.78,24421.98,16690.71,12126.56,4321.29,8676.43,13167.63,8260.04,10996.72,4026.47,10633.0,9983.28,10465.75,2488.01,8811.6,2290.8,7198.48,24086.56,12574.52,4840.39,12867.2,9940.06,9644.29,9675.75,7587.53,4251.18,5860.94,10276.01
hsa-let-7b-3p,0.0,0.0,3.1,0.0,14.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,1.5,0.0,0.1,0.0
hsa-let-7b-5p,190.65,151.69,335.25,268.35,423.2,507.84,431.87,310.86,195.64,278.68,334.43,323.53,272.86,116.39,255.15,246.68,384.48,144.9,357.79,77.31,431.52,473.58,344.07,156.62,298.68,315.05,399.64,197.43,235.93,98.61,226.83,427.85
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,62.36,32.41,68.64,121.06,127.36,122.68,82.53,103.64,170.33,40.59,63.1,100.57,18.4,37.15,171.65,38.34,74.88,27.34,109.08,30.03,56.12,306.87,182.88,59.77,468.59,111.37,79.82,28.56,37.51,15.17,36.89,17.71
hsa-let-7d-3p,47.66,43.39,97.14,99.73,99.5,413.89,203.5,98.45,251.18,162.37,237.89,116.22,187.4,167.64,172.21,164.97,120.94,131.07,110.99,14.41,19.35,103.0,105.51,95.11,32.83,209.28,103.85,31.92,120.59,29.26,52.24,49.35
hsa-let-7d-5p,68.31,122.12,201.06,195.14,46.43,218.28,203.5,166.1,35.79,159.24,183.62,55.98,420.92,177.52,267.8,289.52,189.41,370.6,267.77,20.9,42.57,63.71,148.29,44.06,115.07,127.8,71.56,82.33,54.95,33.59,71.84,60.37
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
hsa-let-7e-5p,353.49,135.3,408.92,386.82,939.26,1213.5,451.84,506.95,230.81,324.73,347.05,361.48,572.15,145.78,368.32,453.39,596.8,189.44,316.23,75.28,71.6,280.32,383.92,222.06,176.4,362.61,157.07,27.72,205.73,57.43,114.53,49.68
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,3.69,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,15653.55,8882.64,18669.29,19705.42,44572.63,73371.5,43115.09,29219.01,16484.72,29452.24,35894.23,20952.28,26596.44,8652.03,25969.09,22578.89,23828.78,10589.59,16331.18,5674.96,8506.59,44432.29,23639.14,15657.64,31590.83,27043.27,24891.78,26628.69,20582.61,11056.53,10717.02,24217.77
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0
hsa-let-7g-5p,431.73,299.9,720.55,754.62,612.91,788.0,815.13,731.92,161.69,533.93,823.45,417.94,959.23,454.49,937.38,934.49,832.26,647.37,829.13,81.58,207.05,658.33,637.14,202.86,664.46,437.26,406.36,346.13,242.87,222.15,204.14,452.58
hsa-let-7i-3p,0.0,1.56,0.0,3.75,0.0,0.0,0.0,2.41,0.0,0.0,3.15,0.0,0.0,0.0,1.97,0.0,6.65,1.13,1.92,0.0,0.0,0.0,0.0,2.18,0.0,2.1,0.26,0.0,0.56,0.0,0.19,0.0
hsa-let-7i-5p,9765.4,2380.86,6013.42,7517.65,4943.08,3838.89,6791.98,6736.89,1069.52,3059.19,3614.98,8404.72,5677.3,4057.98,5106.69,5707.05,6431.02,3930.94,5039.48,758.53,2840.69,4463.93,3291.78,977.68,5353.22,2727.25,2744.0,2990.02,1330.23,1319.89,1810.79,2604.42
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,0.0,3.39,10.33,9.8,19.9,12.71,4.9,3.71,67.89,0.78,19.56,9.01,6.13,6.82,5.76,11.5,3.2,13.59,16.37,6.09,0.0,0.0,3.52,19.2,5.41,4.2,10.33,0.0,2.63,10.84,6.95,13.92
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1606.58,1219.54,1541.63,2224.94,1305.42,1128.4,2148.8,1888.49,1357.73,2635.32,1405.86,1886.17,1721.32,1544.52,2494.86,2011.27,1570.69,1492.15,1382.05,573.06,1188.14,2829.78,2290.65,1999.85,2105.57,1369.13,1450.27,1597.08,2135.53,2291.93,865.03,2587.27
hsa-miR-101-5p,0.0,5.86,0.0,8.07,0.0,0.0,0.0,1.24,0.0,0.0,4.42,0.0,2.96,7.76,7.73,6.57,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,3.15,4.13,0.0,2.63,0.0,0.0,3.9
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,2.03,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.92,0.48,0.0
hsa-miR-10395-3p,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56
hsa-miR-10399-3p,0.0,0.73,4.28,0.0,0.0,0.0,0.0,0.99,0.0,8.59,0.0,0.0,0.0,0.0,2.95,3.83,0.0,6.51,2.43,0.0,0.0,0.0,0.0,8.73,9.38,0.0,1.29,0.0,2.06,23.84,0.48,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,1.34
