miRNA,SRR15307302,SRR15307303,SRR15307304,SRR15307305,SRR15307378,SRR15307379,SRR15307380,SRR15307381,SRR15307382,SRR15307383,SRR15307384,SRR15307385,SRR15307386,SRR15307387,SRR15307388,SRR15307389,SRR15307390,SRR15307391,SRR15307392,SRR15307393,SRR15307394,SRR15307395,SRR15307396,SRR15307397,SRR15307398,SRR15307399,SRR15307400,SRR15307401,SRR15307402,SRR15307403,SRR15307404,SRR15307405,SRR15307406,SRR15307407,SRR15307408,SRR15307409,SRR15307410,SRR15307411,SRR15307412,SRR15307413,SRR15307414,SRR15307415,SRR15307416,SRR15307417,SRR15307418,SRR15307419,SRR15307420,SRR15307421,SRR15307422,SRR15307423,SRR15307424,SRR15307425
hsa-let-7a-3p,0.13,0.0,1.73,0.87,0.0,1.63,0.0,1.6,0.0,1.62,1.63,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,411.15,704.85,417.6,309.65,967.14,996.42,1051.0,1073.64,957.45,1075.28,1014.93,957.12,347.06,355.85,316.23,285.2,323.47,348.33,338.53,304.6,55.65,56.43,53.53,41.07,55.61,56.38,48.7,57.29,1122.22,989.22,1054.38,1116.82,1061.55,1069.94,1154.95,1150.28,882.14,884.43,845.07,927.33,838.91,838.55,961.48,770.47,49.97,57.54,62.62,40.18,58.14,50.48,43.48,60.68
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.59,1.6,0.0,1.62,0.0,1.6,0.0,0.0,1.05,0.0,3.2,0.0,1.07,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,1.64,1.64,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,269.98,442.13,110.67,139.88,223.56,265.39,210.2,221.75,247.45,212.14,239.86,214.83,122.43,105.68,102.62,107.21,115.3,142.11,102.84,107.5,40.25,34.82,39.57,32.86,31.95,32.39,39.2,35.8,156.82,182.4,167.16,203.5,163.44,161.07,181.84,193.89,171.3,133.96,152.65,158.21,137.97,161.94,182.68,155.04,78.33,87.68,101.26,92.42,100.06,105.04,92.4,107.88
hsa-let-7c-5p,5.1,69.88,0.0,0.87,6.48,30.93,3.18,7.98,4.85,3.24,8.16,6.41,3.19,0.0,28.27,1.04,1.07,14.96,0.0,10.54,1.18,0.0,0.0,0.0,5.92,0.0,1.19,1.19,35.94,47.65,8.04,3.2,3.24,50.95,52.42,3.26,6.4,6.46,29.9,1.57,1.59,8.02,1.6,6.33,1.35,1.37,0.0,0.0,0.0,1.36,1.36,0.0
hsa-let-7d-3p,27.37,30.91,25.07,21.82,166.86,146.53,136.95,126.03,145.56,121.45,109.33,123.45,44.71,73.33,40.84,59.33,50.18,44.88,41.78,63.24,26.05,18.01,15.13,18.78,22.48,26.39,9.5,13.13,155.18,149.53,136.62,144.21,144.02,159.42,142.53,159.67,107.27,127.5,107.01,112.78,125.28,118.65,133.0,123.4,74.28,64.39,62.62,62.95,71.67,66.85,67.94,56.64
hsa-let-7d-5p,37.3,67.19,33.72,30.99,153.9,143.28,122.62,161.13,164.97,132.79,135.43,152.31,63.88,88.42,78.54,80.15,64.05,81.21,95.35,75.89,13.02,6.0,11.64,15.26,5.92,13.19,13.07,9.55,205.82,200.47,228.23,190.68,258.91,235.03,250.65,192.26,190.52,154.94,174.68,191.11,177.61,165.15,165.05,162.95,12.16,9.59,9.33,6.7,8.11,9.55,10.87,25.62
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,7.51,8.06,0.0,0.22,16.2,13.03,19.11,12.76,9.7,11.34,14.69,9.62,1.06,3.24,2.09,3.12,6.41,3.21,2.14,1.05,0.0,0.0,1.16,1.17,0.0,0.0,0.0,0.0,1.63,4.93,1.61,3.2,3.24,3.29,1.64,4.89,1.6,0.0,0.0,3.13,0.0,1.6,0.0,3.16,0.0,0.0,0.0,1.34,0.0,2.73,0.0,0.0
hsa-let-7f-1-3p,0.13,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,795.19,1611.95,995.15,807.4,988.2,931.29,1023.92,944.42,896.0,1023.46,884.39,982.77,201.21,203.81,207.33,199.85,207.11,199.81,194.98,206.58,56.83,58.84,60.51,56.33,55.61,62.37,52.26,42.96,818.39,861.04,837.4,857.25,878.69,887.51,909.22,866.79,669.21,740.79,728.62,676.7,697.77,718.3,711.49,700.86,35.12,28.77,29.31,37.5,43.27,25.92,27.18,35.06
