miRNA,SRR15307302,SRR15307303,SRR15307304,SRR15307305,SRR15307378,SRR15307379,SRR15307380,SRR15307381,SRR15307382,SRR15307383,SRR15307384,SRR15307385,SRR15307386,SRR15307387,SRR15307388,SRR15307389,SRR15307390,SRR15307391,SRR15307392,SRR15307393,SRR15307394,SRR15307395,SRR15307396,SRR15307397,SRR15307398,SRR15307399,SRR15307400,SRR15307401,SRR15307402,SRR15307403,SRR15307404,SRR15307405,SRR15307406,SRR15307407,SRR15307408,SRR15307409,SRR15307410,SRR15307411,SRR15307412,SRR15307413,SRR15307414,SRR15307415,SRR15307416,SRR15307417,SRR15307418,SRR15307419,SRR15307420,SRR15307421,SRR15307422,SRR15307423,SRR15307424,SRR15307425
hsa-let-7a-3p,1.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,3064.0,1049.0,483.0,1419.0,597.0,612.0,660.0,673.0,592.0,664.0,622.0,597.0,326.0,330.0,302.0,274.0,303.0,326.0,316.0,289.0,47.0,47.0,46.0,35.0,47.0,47.0,41.0,48.0,687.0,602.0,656.0,697.0,656.0,651.0,705.0,706.0,551.0,548.0,537.0,592.0,529.0,523.0,600.0,487.0,37.0,42.0,47.0,30.0,43.0,37.0,32.0,45.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,2012.0,658.0,128.0,641.0,138.0,163.0,132.0,139.0,153.0,131.0,147.0,134.0,115.0,98.0,98.0,103.0,108.0,133.0,96.0,102.0,34.0,29.0,34.0,28.0,27.0,27.0,33.0,30.0,96.0,111.0,104.0,127.0,101.0,98.0,111.0,119.0,107.0,83.0,97.0,101.0,87.0,101.0,114.0,98.0,58.0,64.0,76.0,69.0,74.0,77.0,68.0,80.0
hsa-let-7c-5p,38.0,104.0,0.0,4.0,4.0,19.0,2.0,5.0,3.0,2.0,5.0,4.0,3.0,0.0,27.0,1.0,1.0,14.0,0.0,10.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,22.0,29.0,5.0,2.0,2.0,31.0,32.0,2.0,4.0,4.0,19.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
hsa-let-7d-3p,204.0,46.0,29.0,100.0,103.0,90.0,86.0,79.0,90.0,75.0,67.0,77.0,42.0,68.0,39.0,57.0,47.0,42.0,39.0,60.0,22.0,15.0,13.0,16.0,19.0,22.0,8.0,11.0,95.0,91.0,85.0,90.0,89.0,97.0,87.0,98.0,67.0,79.0,68.0,72.0,79.0,74.0,83.0,78.0,55.0,47.0,47.0,47.0,53.0,49.0,50.0,42.0
hsa-let-7d-5p,278.0,100.0,39.0,142.0,95.0,88.0,77.0,101.0,102.0,82.0,83.0,95.0,60.0,82.0,75.0,77.0,60.0,76.0,89.0,72.0,11.0,5.0,10.0,13.0,5.0,11.0,11.0,8.0,126.0,122.0,142.0,119.0,160.0,143.0,153.0,118.0,119.0,96.0,111.0,122.0,112.0,103.0,103.0,103.0,9.0,7.0,7.0,5.0,6.0,7.0,8.0,19.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,56.0,12.0,0.0,1.0,10.0,8.0,12.0,8.0,6.0,7.0,9.0,6.0,1.0,3.0,2.0,3.0,6.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
hsa-let-7f-1-3p,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,5926.0,2399.0,1151.0,3700.0,610.0,572.0,643.0,592.0,554.0,632.0,542.0,613.0,189.0,189.0,198.0,192.0,194.0,187.0,182.0,196.0,48.0,49.0,52.0,48.0,47.0,52.0,44.0,36.0,501.0,524.0,521.0,535.0,543.0,540.0,555.0,532.0,418.0,459.0,463.0,432.0,440.0,448.0,444.0,443.0,26.0,21.0,22.0,28.0,32.0,19.0,20.0,26.0
hsa-let-7g-5p,10525.0,3890.0,1706.0,6124.0,2024.0,1989.0,2071.0,2033.0,2049.0,1963.0,1989.0,2123.0,447.0,447.0,446.0,429.0,417.0,436.0,454.0,432.0,140.0,122.0,134.0,112.0,122.0,121.0,107.0,135.0,1733.0,1700.0,1730.0,1640.0,1647.0,1673.0,1658.0,1697.0,1331.0,1390.0,1487.0,1434.0,1423.0,1441.0,1412.0,1474.0,50.0,51.0,45.0,32.0,39.0,48.0,35.0,35.0
hsa-let-7i-3p,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,22831.0,6981.0,3878.0,16823.0,467.0,472.0,451.0,494.0,458.0,518.0,479.0,460.0,215.0,225.0,227.0,244.0,232.0,210.0,193.0,218.0,27.0,29.0,31.0,34.0,29.0,30.0,32.0,33.0,435.0,469.0,499.0,483.0,451.0,496.0,464.0,482.0,387.0,387.0,429.0,399.0,390.0,385.0,403.0,392.0,51.0,59.0,42.0,41.0,45.0,49.0,46.0,43.0
hsa-miR-1-3p,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0
hsa-miR-100-5p,12.0,1.0,8.0,60.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,1.0,2.0,4.0,7.0,1.0,4.0,1.0,2.0,3.0,4.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,423.0,173.0,76.0,249.0,11.0,14.0,10.0,11.0,9.0,9.0,16.0,12.0,8.0,6.0,7.0,3.0,6.0,5.0,3.0,3.0,4.0,2.0,0.0,6.0,3.0,3.0,1.0,9.0,9.0,8.0,3.0,10.0,8.0,9.0,7.0,4.0,6.0,4.0,9.0,6.0,5.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
