miRNA,SRR16297783,SRR16297784,SRR16297785,SRR16297786,SRR16297787,SRR16297788,SRR16297789,SRR16297790,SRR16297791,SRR16297792,SRR16297793,SRR16297794,SRR16297795,SRR16297796,SRR16297797,SRR16297798,SRR16297799,SRR16297800,SRR16297801,SRR16297802,SRR16297803
hsa-let-7a-2-3p,1.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,746.0,592.0,736.0,867.0,1286.0,818.0,792.0,1117.0,1213.0,425.0,1134.0,720.0,314.0,268.0,571.0,405.0,638.0,185.0,259.0,1001.0,511.0
hsa-let-7a-5p,402713.0,149824.0,254735.0,692395.0,570924.0,91944.0,394625.0,367095.0,377671.0,77112.0,388679.0,291749.0,414092.0,116784.0,219113.0,194764.0,344676.0,221837.0,159363.0,871395.0,339233.0
hsa-let-7b-3p,760.0,527.0,277.0,555.0,569.0,299.0,664.0,574.0,780.0,323.0,533.0,299.0,386.0,197.0,301.0,402.0,440.0,194.0,296.0,490.0,423.0
hsa-let-7b-5p,318783.0,153583.0,151919.0,285151.0,268971.0,129813.0,203930.0,203922.0,223166.0,119543.0,203387.0,176844.0,167952.0,85613.0,113310.0,120163.0,159006.0,87855.0,99944.0,229463.0,162180.0
hsa-let-7c-3p,23.0,1.0,11.0,23.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,15.0,0.0,0.0,10.0,0.0,2.0,13.0,0.0,22.0,0.0
hsa-let-7c-5p,9799.0,4910.0,4413.0,13522.0,11784.0,3698.0,8433.0,6000.0,9644.0,2461.0,8830.0,6753.0,7226.0,3665.0,4036.0,4473.0,9815.0,3101.0,3987.0,4807.0,6402.0
hsa-let-7d-3p,13619.0,8454.0,13471.0,17674.0,19467.0,9233.0,10052.0,10827.0,12740.0,8470.0,9894.0,9769.0,18425.0,5014.0,15727.0,19247.0,16200.0,11054.0,7101.0,29497.0,14663.0
hsa-let-7d-5p,87952.0,73916.0,144825.0,117855.0,138029.0,59668.0,56779.0,56604.0,69602.0,45101.0,60952.0,65490.0,85481.0,26341.0,58197.0,51493.0,89036.0,57099.0,24578.0,241751.0,89132.0
hsa-let-7e-3p,284.0,153.0,131.0,226.0,101.0,32.0,107.0,95.0,220.0,16.0,171.0,130.0,118.0,16.0,37.0,37.0,135.0,119.0,82.0,237.0,174.0
hsa-let-7e-5p,13057.0,10089.0,14122.0,18628.0,15881.0,3234.0,10518.0,9721.0,13420.0,3299.0,14917.0,11221.0,14980.0,4479.0,6275.0,5637.0,9381.0,5334.0,4776.0,21517.0,9759.0
hsa-let-7f-1-3p,60.0,0.0,26.0,38.0,53.0,71.0,18.0,86.0,82.0,91.0,78.0,58.0,8.0,19.0,38.0,29.0,23.0,26.0,35.0,86.0,80.0
hsa-let-7f-2-3p,37.0,59.0,55.0,30.0,55.0,21.0,17.0,38.0,55.0,75.0,87.0,19.0,43.0,0.0,30.0,45.0,41.0,4.0,0.0,68.0,49.0
hsa-let-7f-5p,177308.0,68830.0,172900.0,368277.0,302615.0,45348.0,200660.0,176325.0,167898.0,38836.0,171327.0,129778.0,218879.0,55026.0,103058.0,93610.0,204408.0,164083.0,75987.0,739182.0,184254.0
hsa-let-7g-3p,65.0,0.0,95.0,96.0,107.0,67.0,99.0,89.0,92.0,105.0,57.0,15.0,50.0,67.0,26.0,80.0,79.0,22.0,12.0,46.0,45.0
hsa-let-7g-5p,264925.0,183689.0,279443.0,368963.0,336704.0,89974.0,222317.0,180416.0,201216.0,90708.0,205762.0,146536.0,195319.0,68055.0,115469.0,102063.0,181945.0,154371.0,91765.0,530604.0,200054.0
hsa-let-7i-3p,1126.0,1381.0,1620.0,1077.0,1762.0,1845.0,897.0,1199.0,1435.0,1571.0,1721.0,893.0,911.0,402.0,914.0,1453.0,1063.0,472.0,465.0,2229.0,829.0
hsa-let-7i-5p,181369.0,134438.0,275695.0,200840.0,264355.0,122294.0,107900.0,119070.0,126317.0,113734.0,121055.0,89513.0,150862.0,43292.0,125565.0,115404.0,150191.0,102545.0,53399.0,357666.0,127865.0
hsa-miR-1-3p,649.0,764.0,3609.0,3952.0,4400.0,1304.0,1095.0,531.0,524.0,743.0,567.0,1595.0,1921.0,501.0,1491.0,1360.0,1731.0,1228.0,290.0,19624.0,2338.0
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,0.0,0.0,0.0,17.0,0.0
hsa-miR-100-5p,4814.0,5172.0,4410.0,6208.0,7610.0,4599.0,3771.0,2116.0,3852.0,3151.0,5627.0,2170.0,3921.0,2451.0,2555.0,3051.0,12160.0,2627.0,1997.0,3329.0,3834.0
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0
hsa-miR-101-3p,84031.0,50978.0,60760.0,63817.0,103847.0,24687.0,47294.0,39704.0,81127.0,32504.0,65313.0,34162.0,16277.0,11246.0,19360.0,20067.0,28427.0,19601.0,33210.0,76894.0,34442.0
hsa-miR-101-5p,318.0,100.0,224.0,77.0,232.0,93.0,189.0,205.0,163.0,341.0,282.0,78.0,134.0,88.0,92.0,137.0,75.0,82.0,110.0,120.0,46.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,29.0,0.0,0.0,0.0,9.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
hsa-miR-10397-3p,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,75.0,12.0,1.0,0.0,12.0,0.0,0.0,4.0,0.0,8.0,0.0,11.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,120.0,122.0,96.0,140.0,148.0,81.0,17.0,71.0,156.0,55.0,124.0,137.0,83.0,33.0,103.0,105.0,68.0,130.0,55.0,186.0,104.0
hsa-miR-10399-5p,20.0,0.0,11.0,20.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0
hsa-miR-103a-2-5p,32.0,0.0,122.0,33.0,0.0,106.0,0.0,30.0,32.0,0.0,118.0,24.0,0.0,23.0,10.0,15.0,89.0,41.0,64.0,197.0,16.0
hsa-miR-103a-3p,198442.0,208412.0,5945.0,104357.0,106923.0,1366.0,141150.0,148187.0,112501.0,40492.0,149084.0,129998.0,232912.0,54302.0,166089.0,168247.0,251255.0,195262.0,1331.0,26666.0,250047.0
hsa-miR-10401-3p,61.0,13.0,27.0,16.0,15.0,116.0,2.0,57.0,36.0,79.0,38.0,27.0,80.0,159.0,66.0,75.0,21.0,65.0,7.0,25.0,78.0
hsa-miR-10401-5p,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,4.0,0.0,0.0,14.0,12.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
hsa-miR-106a-3p,451.0,139.0,217.0,317.0,445.0,255.0,220.0,533.0,375.0,437.0,596.0,160.0,218.0,81.0,97.0,161.0,199.0,104.0,89.0,189.0,155.0
hsa-miR-106a-5p,4432.0,2396.0,1882.0,1932.0,3858.0,1793.0,2098.0,2081.0,2394.0,2358.0,2538.0,827.0,1596.0,504.0,383.0,525.0,1138.0,1516.0,1013.0,1594.0,1393.0
hsa-miR-106b-3p,34386.0,20383.0,27672.0,25136.0,39567.0,27717.0,11358.0,25251.0,25538.0,31575.0,18976.0,15100.0,19410.0,6626.0,15117.0,16230.0,20409.0,10246.0,8583.0,25877.0,21033.0
hsa-miR-106b-5p,30081.0,16008.0,17190.0,16834.0,25070.0,13312.0,19733.0,22937.0,21597.0,22149.0,24592.0,10156.0,8071.0,5457.0,4783.0,5791.0,10144.0,7732.0,11218.0,29857.0,13066.0
hsa-miR-107,1717.0,57839.0,11095.0,6117.0,7671.0,49456.0,24482.0,28172.0,3323.0,2634.0,1703.0,28456.0,12233.0,14258.0,3517.0,3466.0,8618.0,5935.0,841.0,22458.0,7310.0
hsa-miR-10a-3p,264.0,281.0,298.0,709.0,467.0,180.0,369.0,396.0,496.0,132.0,501.0,215.0,157.0,131.0,68.0,82.0,189.0,106.0,261.0,446.0,279.0
hsa-miR-10a-5p,32308.0,24654.0,30077.0,68701.0,51407.0,10322.0,39874.0,46423.0,53879.0,13588.0,52582.0,41132.0,33706.0,17215.0,20259.0,22534.0,22524.0,11476.0,23482.0,37235.0,40354.0
hsa-miR-10b-3p,250.0,489.0,275.0,379.0,303.0,219.0,291.0,381.0,345.0,71.0,400.0,283.0,139.0,234.0,148.0,262.0,96.0,35.0,132.0,276.0,246.0
hsa-miR-10b-5p,70101.0,59697.0,57284.0,132328.0,98658.0,20861.0,83301.0,103897.0,129776.0,33909.0,115324.0,111014.0,66375.0,54788.0,52948.0,55639.0,54873.0,25024.0,42683.0,73197.0,92636.0
hsa-miR-11400,50.0,450.0,22.0,12.0,25.0,0.0,0.0,122.0,164.0,1.0,0.0,10.0,580.0,15.0,0.0,0.0,7.0,30.0,6.0,19.0,12.0
hsa-miR-11401,0.0,23.0,77.0,111.0,0.0,22.0,21.0,52.0,58.0,37.0,62.0,46.0,39.0,36.0,11.0,0.0,42.0,19.0,43.0,112.0,48.0
hsa-miR-1178-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
hsa-miR-1179,40.0,0.0,33.0,21.0,10.0,25.0,0.0,17.0,15.0,21.0,21.0,3.0,4.0,0.0,0.0,0.0,7.0,33.0,0.0,9.0,0.0
hsa-miR-1180-3p,3629.0,1484.0,1521.0,1054.0,3126.0,1403.0,922.0,1666.0,2025.0,2843.0,1383.0,626.0,1665.0,707.0,1920.0,2199.0,980.0,429.0,372.0,950.0,1425.0
hsa-miR-1180-5p,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,379.0,253.0,1255.0,703.0,1962.0,191.0,70.0,254.0,223.0,33.0,73.0,159.0,360.0,128.0,291.0,350.0,686.0,661.0,52.0,746.0,890.0
hsa-miR-1185-2-3p,0.0,0.0,57.0,6.0,153.0,11.0,0.0,12.0,11.0,0.0,0.0,4.0,33.0,15.0,22.0,59.0,57.0,21.0,0.0,36.0,25.0
hsa-miR-1185-5p,18.0,0.0,99.0,42.0,81.0,47.0,0.0,28.0,0.0,0.0,7.0,14.0,17.0,11.0,44.0,25.0,68.0,51.0,0.0,74.0,27.0
hsa-miR-1193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
hsa-miR-1197,44.0,51.0,98.0,70.0,240.0,0.0,0.0,64.0,19.0,0.0,8.0,12.0,74.0,5.0,50.0,96.0,64.0,156.0,0.0,101.0,82.0
hsa-miR-12114,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
