miRNA,SRR16760614,SRR16760616,SRR16760617,SRR16760618,SRR16760620,SRR16760621,SRR16760622,SRR16760623,SRR16760624,SRR16760625,SRR16760626,SRR16760627,SRR16760628,SRR16760629,SRR16760630,SRR16760631,SRR16760633,SRR16760634,SRR16760635,SRR16760636,SRR16760637,SRR16760641,SRR16760644,SRR16760645,SRR16760647,SRR16760648,SRR16760649,SRR16760650,SRR16760654,SRR16760655,SRR16760656,SRR16760661,SRR16760662,SRR16760663,SRR16760664,SRR16760665,SRR16760666,SRR16760668,SRR16760669,SRR16760670,SRR16760671,SRR16760673,SRR16760674,SRR16760675,SRR16760676,SRR16760677,SRR16760678,SRR16760679,SRR16760681,SRR16760682,SRR16760683,SRR16760686,SRR16760689,SRR16760690,SRR16760691,SRR16760615,SRR16760619,SRR16760632,SRR16760638,SRR16760639,SRR16760642,SRR16760643,SRR16760646,SRR16760651,SRR16760652,SRR16760653,SRR16760657,SRR16760658,SRR16760659,SRR16760660,SRR16760667,SRR16760672,SRR16760680,SRR16760684,SRR16760687,SRR16760688
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,12.99,23.08,7.44,21.43,6.17,6.09,9.33,8.51,1.41,9.02,12.07,4.24,5.31,15.7,41.06,2.76,0.0,21.2,6.92,2.75,1.25,11.27,13.46,10.29,0.0,0.78,2.4,4.28,10.37,44.5,0.0,0.0,0.0,4.75,0.0,7.45,2.32,4.53,1.17,11.88,0.0,19.68,2.32,20.61,0.0,23.61,0.0,9.2,0.0,8.5,8.73,0.0,25.32,0.0,10.84,1.54,25.23,0.0,1.26,2.49,24.85,3.68,2.21,13.59,2.12,3.43,10.17,7.13,0.0,9.89,2.29,20.73,17.9,0.0,46.87,15.39
hsa-let-7a-5p,1743.52,3446.62,3489.96,6881.61,1430.51,275.92,827.38,989.33,1182.97,1390.07,803.79,895.75,1377.78,1624.54,4201.2,2457.17,2250.09,3493.37,2369.59,1095.98,786.01,2524.25,1451.96,6265.27,147.9,340.88,822.44,552.12,4029.17,3490.2,2356.76,1163.61,1466.6,1687.24,1312.05,2084.19,480.04,116.24,518.52,992.24,4761.9,2209.99,1444.91,810.63,1939.24,1027.15,2039.58,1282.93,1207.12,1207.59,2155.86,1944.02,2228.41,2847.71,2602.71,1576.72,1106.5,1141.33,1227.77,1114.78,2655.92,4130.32,170.48,1888.39,1730.13,1345.44,1986.04,1657.88,3011.18,2097.48,259.5,1276.87,2550.08,1994.9,3988.17,2600.16
hsa-let-7b-3p,20.79,15.49,11.84,3.8,3.22,2.77,4.0,6.01,3.53,5.41,3.1,2.83,4.09,7.85,3.18,9.65,0.0,7.07,27.06,0.95,0.63,11.27,4.49,11.16,3.41,3.13,4.81,4.28,9.54,7.22,0.0,0.0,0.0,4.75,0.0,0.53,1.16,0.0,1.17,5.54,0.0,2.81,1.16,0.0,0.0,0.0,0.0,0.0,0.0,8.5,2.91,14.09,0.0,0.0,14.46,0.51,0.93,0.0,3.52,3.98,6.21,9.98,1.11,5.78,4.24,2.29,10.17,3.75,13.69,3.38,0.86,4.15,0.0,0.0,6.7,30.77
hsa-let-7b-5p,33251.66,6031.18,5165.09,2993.01,1759.37,368.45,1056.98,1317.27,2628.34,937.69,770.33,766.71,1420.68,1895.64,870.08,8487.01,12043.93,12807.7,4694.49,809.24,469.19,3160.95,4977.52,20271.68,155.86,358.08,1828.44,181.47,3868.27,913.64,4006.49,1822.77,1506.78,2029.12,2478.31,1045.02,183.56,101.14,344.38,200.67,4761.9,5524.99,2603.87,652.62,7387.57,1853.6,3294.7,1554.23,12976.56,2508.73,2502.07,6564.58,15877.44,21098.96,5469.3,8884.7,1103.69,7531.16,785.45,1310.6,15422.99,9869.83,219.19,2910.24,2122.33,1936.81,3151.91,2237.91,4653.65,1351.51,263.79,3714.54,4778.05,6790.73,18876.3,9031.33
hsa-let-7c-3p,0.0,0.0,0.68,1.08,0.0,0.0,0.44,0.0,0.0,0.0,0.34,0.47,0.0,0.41,0.58,0.0,0.0,0.0,2.52,3.7,1.67,0.0,1.12,0.37,0.0,0.0,0.0,0.0,0.41,1.2,0.0,0.0,0.0,2.11,0.0,0.0,0.29,0.0,1.17,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,1.45,0.0,0.0,0.0,0.0,2.23,0.0
hsa-let-7c-5p,779.52,245.6,212.1,601.59,106.49,61.5,387.26,359.98,193.99,396.45,100.39,143.64,131.16,115.71,1405.89,958.32,1054.26,217.52,2034.76,2975.51,1495.63,989.79,864.0,1922.45,71.67,35.96,69.74,75.33,184.95,286.64,418.98,766.77,763.44,766.59,1020.48,647.88,266.08,39.25,325.59,198.02,0.0,283.98,356.87,728.19,1939.24,1086.19,647.17,179.33,804.75,242.37,250.21,253.57,481.13,323.6,292.8,436.24,125.23,653.9,1819.63,1304.64,183.27,452.57,59.78,84.96,184.27,408.09,1115.03,279.69,177.93,4234.76,257.78,281.91,644.23,231.73,102.66,276.94
hsa-let-7d-3p,1946.2,361.64,390.03,327.1,106.22,19.39,74.17,114.15,307.56,237.24,49.33,47.57,104.19,94.22,194.89,424.7,376.26,521.84,619.93,29.14,34.44,396.29,672.12,34.48,30.72,31.27,117.83,112.14,318.49,667.09,130.93,127.8,160.72,87.58,72.89,143.21,22.58,14.34,48.13,108.52,0.0,250.24,166.23,34.35,184.69,271.55,264.75,303.49,100.59,267.88,253.12,140.87,202.58,388.32,249.43,425.95,45.79,423.5,50.6,77.53,630.59,532.89,31.0,94.81,121.44,120.79,193.18,182.83,301.12,169.84,29.44,153.39,196.85,362.71,756.57,538.49
hsa-let-7d-5p,145.51,779.98,464.79,624.1,197.42,57.62,212.73,196.76,227.85,215.14,176.97,156.83,196.53,234.73,614.46,466.06,119.21,741.37,222.8,170.27,130.03,514.62,283.88,160.22,42.09,45.35,105.81,83.03,492.66,461.83,314.23,161.43,220.99,212.62,72.89,252.34,187.04,18.87,148.71,168.19,0.0,475.18,202.26,212.96,277.03,342.38,490.28,257.51,0.0,182.84,232.75,183.13,50.65,453.05,350.64,65.85,159.81,23.97,188.81,252.97,298.21,246.76,28.78,326.91,115.08,202.33,562.6,333.0,602.24,613.75,100.03,290.2,474.23,332.48,647.21,446.18
hsa-let-7e-3p,0.0,0.99,0.68,2.17,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.94,0.41,0.83,0.58,0.0,0.0,0.5,3.78,1.03,0.42,1.88,0.0,0.25,0.0,0.0,0.8,0.86,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.6,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,0.0,0.0,0.5,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.97,0.86,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,114.33,39.23,24.36,95.2,14.75,3.32,21.32,20.53,13.4,46.46,12.76,12.72,20.02,19.01,23.71,39.99,85.68,20.19,139.09,243.85,81.61,31.93,35.91,331.74,2.28,8.6,6.41,18.83,26.13,39.69,26.19,20.18,0.0,34.29,0.0,51.64,44.88,3.77,32.09,23.5,0.0,14.06,25.57,20.61,92.34,70.84,68.64,22.99,100.59,8.5,23.28,56.35,25.32,129.44,39.76,44.24,10.28,47.94,103.97,54.67,31.06,37.28,3.32,11.21,18.0,16.0,20.33,19.52,13.69,231.85,23.43,16.58,80.53,10.08,35.71,46.16
hsa-let-7f-1-3p,0.0,2.31,0.34,1.36,0.0,0.0,1.33,0.5,0.0,0.45,0.69,0.94,0.0,0.41,7.81,1.38,0.0,1.01,0.63,0.43,0.21,0.0,3.37,3.84,0.0,0.0,0.8,0.86,2.07,2.81,0.0,0.0,0.0,0.0,0.0,1.06,0.58,0.0,0.39,1.85,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.53,0.0,0.34,0.71,0.76,0.0,0.38,0.0,2.41,0.29,4.15,0.0,0.0,2.23,0.0
hsa-let-7f-2-3p,0.0,0.33,0.0,0.54,0.27,0.0,0.0,0.0,0.0,0.9,1.38,0.47,0.0,0.0,2.02,2.76,0.0,1.51,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.41,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.29,4.15,0.0,0.0,0.0,0.0
hsa-let-7f-5p,1327.78,2474.78,2035.73,2583.72,1813.02,492.0,1515.75,1277.71,527.64,986.85,3154.46,2091.02,2112.03,3139.16,4082.64,1675.34,2231.46,2002.56,1322.94,3305.14,1473.3,2377.76,843.8,6211.57,257.12,670.81,848.89,655.69,3218.45,1407.55,2252.02,1661.34,1305.88,1839.18,947.59,1615.18,2191.15,414.38,1118.44,1514.76,0.0,2091.9,1379.82,2170.84,1754.55,1759.15,3304.5,1186.37,905.34,540.01,1344.14,1690.45,1645.99,906.09,1214.6,1016.51,2669.98,848.34,1779.35,1453.74,1730.23,2336.33,503.7,2501.77,1366.17,1630.07,2114.83,1272.32,2121.51,5738.26,1101.15,1641.7,2254.81,1229.18,2713.83,1661.64
hsa-let-7g-3p,0.0,0.0,0.0,1.08,0.0,0.0,0.44,0.0,0.0,0.45,0.69,0.47,0.0,0.83,0.58,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,1.11,0.68,0.0,0.0,0.0,0.0,0.0,0.72,0.29,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,2187.85,4744.18,3974.03,4767.66,3399.37,726.37,3222.02,1823.95,1346.62,2382.78,4486.42,2981.12,3170.29,5626.6,14400.72,2451.65,1020.74,5919.86,1835.25,2694.79,1279.41,3057.65,1550.71,2901.78,451.66,1156.32,2119.42,725.88,4970.53,4072.3,4661.15,2360.85,2491.21,2786.74,1822.29,1779.68,1245.26,545.71,851.94,2440.72,4761.9,3759.24,948.55,1992.22,3509.1,2774.5,5138.16,1296.72,100.59,1037.51,1082.29,1605.93,1924.54,1941.62,1391.73,671.84,3942.83,366.24,1679.66,2279.26,2391.88,1818.14,766.07,6443.38,1655.65,2434.06,3921.25,2279.58,3531.3,5442.24,1185.18,2607.64,4312.77,2246.78,5447.75,1415.47
hsa-let-7i-3p,5.2,3.63,1.01,2.98,1.61,0.0,1.78,0.5,2.12,5.86,2.07,0.94,0.82,1.65,7.81,0.0,0.0,4.04,0.0,1.03,0.0,1.88,2.24,1.98,0.0,0.78,0.0,0.0,2.07,6.01,26.19,0.0,0.0,1.58,72.89,1.6,1.45,0.0,0.78,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.5,0.0,0.0,1.11,2.04,0.35,1.14,0.0,0.75,13.69,1.21,0.29,0.0,8.95,0.0,0.0,0.0
hsa-let-7i-5p,7083.22,7077.86,4923.56,9608.82,6927.23,1485.98,4258.58,2790.24,2162.78,5206.21,10220.61,5690.03,5464.55,9141.41,20222.66,4514.45,3699.23,8331.21,8189.4,4675.65,2511.85,5134.9,3654.59,23393.71,820.27,2521.39,5462.88,2942.06,6858.22,6825.25,8431.97,4089.46,3636.36,4557.34,7580.73,8229.77,3659.92,1829.59,2319.46,4291.06,21428.57,6216.66,2852.63,2809.72,8126.33,4675.32,11825.62,6051.38,3017.81,2287.62,3671.65,7649.29,5317.8,5695.42,4005.28,3160.65,6960.46,1636.75,3066.03,3771.26,8648.06,5411.89,1674.94,7872.67,2655.04,5044.91,5273.52,3346.92,7856.45,15486.19,2234.89,6081.74,7847.1,3989.8,9688.11,3000.18
hsa-miR-1-3p,49.37,7.58,18.61,85.44,22.0,4.43,13.32,14.52,4.23,50.06,74.17,26.84,30.64,72.73,253.3,11.03,7.45,15.14,67.34,19.43,116.67,7.51,11.22,199.29,12.51,30.49,9.62,30.82,20.32,116.66,26.19,0.0,0.0,22.69,656.02,512.66,12.74,91.33,11.35,74.99,0.0,98.41,18.6,968.63,277.03,295.16,147.08,13.79,0.0,12.76,14.55,14.09,0.0,0.0,10.84,53.5,78.5,43.95,8.06,11.43,3.11,25.2,26.57,12.91,9.18,24.39,20.33,36.42,27.37,53.8,13.43,70.48,125.27,0.0,8.93,46.16
hsa-miR-100-5p,301.41,996.24,765.85,721.2,210.03,33.8,118.13,342.46,177.06,389.69,234.93,311.77,922.61,1050.52,364.63,743.22,517.82,601.07,1071.19,2032.95,751.36,279.85,455.56,13363.53,78.5,171.22,207.61,217.42,686.73,878.36,288.05,403.56,361.63,902.71,728.92,998.71,73.83,179.64,114.27,245.55,0.0,134.96,67.42,295.4,0.0,389.61,225.53,275.9,201.19,42.52,66.92,211.31,0.0,0.0,187.97,194.97,236.44,215.75,923.41,618.27,211.23,699.85,130.63,175.35,247.11,657.29,467.7,375.8,273.74,1387.46,113.74,132.66,250.53,30.23,153.99,30.77
