miRNA,SRR16775346,SRR16775347,SRR16775348,SRR16775349,SRR16775350,SRR16775351,SRR16775352,SRR16775353,SRR16775354,SRR16775355,SRR16775356,SRR16775357,SRR16775358,SRR16775359,SRR16775360,SRR16775361,SRR16775362,SRR16775363,SRR16775364,SRR16775365,SRR16775366,SRR16775367,SRR16775368,SRR16775369,SRR16775370,SRR16775371,SRR16775372
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.14,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.23,0.65,0.0,0.18,0.27,1.29,0.29,0.74,0.67,0.94,15.4,12.84,13.49,8.79,11.59,10.12,10.71,9.34,9.95,0.0,0.0,0.19,0.49,0.0,0.19,0.24,0.0
hsa-let-7a-5p,43.92,50.22,40.62,39.01,145.4,145.77,149.13,137.62,139.93,146.57,1305.94,1098.83,1445.0,1233.93,1323.32,1337.26,1427.07,1564.87,2622.89,48.86,44.39,57.58,47.32,39.43,48.03,49.26,57.91
hsa-let-7b-3p,0.23,0.0,0.18,0.0,0.54,0.64,0.87,0.37,0.67,0.71,3.52,2.52,4.36,4.71,4.23,4.57,3.52,4.78,7.39,0.0,0.0,0.19,0.0,0.22,0.0,0.49,0.0
hsa-let-7b-5p,24.63,43.76,38.85,39.9,122.55,146.41,123.29,155.7,151.74,153.89,616.31,491.28,610.76,534.3,557.75,474.9,574.6,675.31,880.28,29.16,40.65,43.42,29.86,23.57,24.68,30.33,32.97
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,5.58,0.0,2.47,3.04,2.69,1.93,0.72,21.77,4.68,16.76,7.53,10.8,13.08,4.08,5.32,4.43,4.23,12.63,7.24,0.0,0.0,7.08,5.55,5.95,0.38,0.24,0.0
hsa-let-7d-3p,2.09,2.59,1.06,2.15,9.68,11.61,11.12,8.49,11.14,12.75,44.86,38.16,52.06,54.48,60.96,58.48,65.24,76.33,81.09,4.63,5.37,6.5,4.41,3.74,3.06,2.67,4.23
hsa-let-7d-5p,9.06,9.48,8.83,8.59,41.12,32.89,34.36,38.0,38.99,38.24,160.52,122.4,197.59,215.42,221.33,235.3,238.55,288.56,399.89,9.85,11.45,10.52,10.77,9.47,12.82,9.22,10.99
hsa-let-7e-3p,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.24,0.55,0.0,0.27,0.14,0.14,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
