miRNA,SRR16775346,SRR16775347,SRR16775348,SRR16775349,SRR16775350,SRR16775351,SRR16775352,SRR16775353,SRR16775354,SRR16775355,SRR16775356,SRR16775357,SRR16775358,SRR16775359,SRR16775360,SRR16775361,SRR16775362,SRR16775363,SRR16775364,SRR16775365,SRR16775366,SRR16775367,SRR16775368,SRR16775369,SRR16775370,SRR16775371,SRR16775372
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,1.0,3.0,0.0,1.0,1.0,6.0,2.0,2.0,3.0,4.0,92.0,107.0,99.0,56.0,85.0,73.0,76.0,88.0,66.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
hsa-let-7a-5p,189.0,233.0,230.0,218.0,541.0,678.0,1033.0,373.0,628.0,621.0,7802.0,9157.0,10604.0,7859.0,9704.0,9650.0,10128.0,14740.0,17401.0,253.0,190.0,301.0,290.0,179.0,251.0,203.0,137.0
hsa-let-7b-3p,1.0,0.0,1.0,0.0,2.0,3.0,6.0,1.0,3.0,3.0,21.0,21.0,32.0,30.0,31.0,33.0,25.0,45.0,49.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
hsa-let-7b-5p,106.0,203.0,220.0,223.0,456.0,681.0,854.0,422.0,681.0,652.0,3682.0,4094.0,4482.0,3403.0,4090.0,3427.0,4078.0,6361.0,5840.0,151.0,174.0,227.0,183.0,107.0,129.0,125.0,78.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,24.0,0.0,14.0,17.0,10.0,9.0,5.0,59.0,21.0,71.0,45.0,90.0,96.0,26.0,39.0,32.0,30.0,119.0,48.0,0.0,0.0,37.0,34.0,27.0,2.0,1.0,0.0
hsa-let-7d-3p,9.0,12.0,6.0,12.0,36.0,54.0,77.0,23.0,50.0,54.0,268.0,318.0,382.0,347.0,447.0,422.0,463.0,719.0,538.0,24.0,23.0,34.0,27.0,17.0,16.0,11.0,10.0
hsa-let-7d-5p,39.0,44.0,50.0,48.0,153.0,153.0,238.0,103.0,175.0,162.0,959.0,1020.0,1450.0,1372.0,1623.0,1698.0,1693.0,2718.0,2653.0,51.0,49.0,55.0,66.0,43.0,67.0,38.0,26.0
hsa-let-7e-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,2.0,0.0,2.0,2.0,7.0,2.0,5.0,2.0,1.0,5.0,200.0,191.0,218.0,26.0,46.0,31.0,48.0,56.0,64.0,1.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0
hsa-let-7f-1-3p,0.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,1.0,8.0,8.0,10.0,8.0,16.0,16.0,21.0,11.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
