miRNA,SRR17237638,SRR17237639,SRR17237640,SRR17237641,SRR17237642,SRR17237643,SRR17237644,SRR17237645,SRR17237646,SRR17237647,SRR17237648,SRR17237649,SRR17237650,SRR17237651,SRR17237652,SRR17237653,SRR17237654,SRR17237655,SRR17237656,SRR17237657,SRR17237658,SRR17237659,SRR17237660,SRR17237661,SRR17237662,SRR17237663,SRR17237664,SRR17237665
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7a-3p,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7a-5p,1479.0,1304.0,2595.0,1297.0,1019.0,115.0,922.0,531.0,532.0,1763.0,776.0,684.0,585.0,726.0,853.0,133.0,1191.0,754.0,602.0,468.0,654.0,362.0,255.0,187.0,182.0,383.0,320.0,778.0
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7b-5p,123.0,191.0,586.0,177.0,192.0,175.0,311.0,104.0,53.0,197.0,65.0,126.0,68.0,69.0,89.0,20.0,134.0,121.0,60.0,58.0,72.0,57.0,18.0,13.0,7.0,33.0,40.0,25.0
hsa-let-7c-5p,56.0,30.0,93.0,58.0,22.0,9.0,29.0,15.0,16.0,29.0,4.0,7.0,15.0,9.0,31.0,1.0,65.0,10.0,8.0,6.0,16.0,9.0,1.0,0.0,1.0,10.0,3.0,25.0
hsa-let-7d-3p,2.0,3.0,7.0,2.0,0.0,0.0,4.0,0.0,2.0,7.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,4.0,0.0,1.0,1.0,2.0,1.0,2.0
hsa-let-7d-5p,93.0,60.0,122.0,87.0,64.0,9.0,61.0,23.0,26.0,122.0,37.0,53.0,39.0,16.0,47.0,6.0,84.0,33.0,15.0,17.0,30.0,11.0,9.0,13.0,3.0,19.0,22.0,17.0
hsa-let-7e-3p,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0
hsa-let-7e-5p,157.0,203.0,261.0,97.0,66.0,71.0,150.0,79.0,230.0,213.0,226.0,97.0,158.0,160.0,377.0,69.0,247.0,138.0,92.0,217.0,292.0,168.0,279.0,168.0,309.0,407.0,309.0,678.0
hsa-let-7f-5p,1357.0,1143.0,2338.0,1194.0,1235.0,43.0,855.0,395.0,590.0,2017.0,633.0,495.0,708.0,342.0,732.0,101.0,1284.0,773.0,461.0,295.0,662.0,244.0,328.0,172.0,194.0,357.0,329.0,382.0
hsa-let-7g-5p,653.0,400.0,958.0,624.0,544.0,32.0,509.0,187.0,273.0,886.0,273.0,172.0,255.0,131.0,392.0,35.0,597.0,411.0,180.0,111.0,283.0,116.0,85.0,59.0,65.0,159.0,178.0,140.0
hsa-let-7i-3p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,632.0,385.0,1136.0,477.0,535.0,116.0,616.0,197.0,132.0,831.0,197.0,230.0,270.0,94.0,439.0,45.0,695.0,323.0,161.0,162.0,318.0,103.0,76.0,52.0,39.0,143.0,184.0,110.0
hsa-miR-1-3p,5.0,2.0,9.0,4.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,11.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0
