miRNA,SRR17622163,SRR17622164,SRR17622165,SRR17622166,SRR17622167,SRR17622168,SRR17622169,SRR17622170,SRR17622171,SRR17622172,SRR17622173,SRR17622174,SRR17622175,SRR17622176,SRR17622177,SRR17622178,SRR17622179,SRR17622180,SRR17622181
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.19,0.31,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
hsa-let-7a-3p,52.71,34.32,58.4,56.46,72.87,107.25,49.89,84.07,65.61,33.11,48.91,21.96,58.75,16.11,18.61,26.91,54.85,37.5,42.41
hsa-let-7a-5p,30342.26,11150.05,22690.39,16644.51,23393.64,25570.42,23289.17,16797.46,21553.78,13555.02,9812.8,7373.59,18492.34,8637.16,7024.13,6038.15,10149.3,7111.34,13688.06
hsa-let-7b-3p,22.63,5.79,13.06,12.18,18.09,27.19,11.02,21.51,15.24,9.04,10.82,2.31,6.5,3.89,3.55,6.21,11.38,6.99,14.43
hsa-let-7b-5p,26009.48,17173.68,31808.09,18182.08,18857.94,37137.73,16897.59,16291.04,17246.04,12690.05,16504.1,11253.26,17180.9,10387.52,5131.38,11617.07,9833.31,8957.65,18934.75
hsa-let-7c-3p,3.09,2.48,9.86,5.76,9.55,9.56,3.15,5.66,7.06,5.65,1.8,1.16,4.12,0.81,0.89,3.55,8.97,2.33,2.82
hsa-let-7c-5p,7634.16,4766.31,12148.39,6465.16,8041.79,12559.18,6852.87,5252.39,8623.67,9345.62,2899.06,3012.54,7605.2,6574.42,2078.43,4162.15,5923.44,1946.52,3711.99
hsa-let-7d-3p,153.77,71.94,158.45,114.7,131.34,148.69,60.91,139.55,90.15,45.54,67.16,29.47,114.69,33.96,20.39,81.62,68.65,51.06,84.46
hsa-let-7d-5p,2444.09,479.19,1152.25,880.16,1314.05,1017.18,1737.02,1270.71,1368.57,850.28,416.73,263.52,965.42,775.37,423.66,432.92,580.93,315.24,796.03
hsa-let-7e-3p,2.83,3.72,3.94,1.33,3.18,3.56,2.99,2.83,1.86,2.26,2.7,1.16,2.17,1.21,0.0,0.59,0.34,0.85,4.4
hsa-let-7e-5p,588.59,369.22,935.89,579.03,1150.05,1708.48,1292.57,491.98,624.53,387.91,233.27,478.78,1233.17,261.9,180.37,405.13,396.37,349.14,694.85
hsa-let-7f-1-3p,10.8,4.13,0.99,5.31,5.7,7.87,8.66,6.51,3.72,4.84,3.38,0.58,4.34,2.55,0.44,2.07,7.24,3.81,2.46
hsa-let-7f-2-3p,1.8,0.0,0.0,0.66,1.34,3.19,2.52,0.28,2.42,0.65,1.13,0.0,1.3,0.94,0.44,0.89,1.38,0.42,0.88
hsa-let-7f-5p,16244.94,5049.11,9669.68,9675.6,14046.17,12715.55,17933.47,8831.54,12902.79,6289.47,4081.62,4907.74,11470.56,4606.05,3331.26,4946.97,5853.07,4693.65,6515.87
hsa-let-7g-3p,0.0,0.0,0.25,0.0,0.17,0.56,0.31,0.0,0.19,0.65,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,7750.65,1807.63,3356.21,3031.53,4036.98,3613.46,4233.09,2686.91,4685.25,3080.38,1525.37,920.58,3340.92,3228.21,1000.22,1261.51,2831.84,1119.44,2354.31
hsa-let-7i-3p,5.4,0.41,5.42,2.21,6.7,7.31,3.93,3.96,5.58,2.42,3.38,0.0,1.08,1.07,0.0,1.48,5.86,1.06,3.17
hsa-let-7i-5p,28984.57,10281.39,15954.07,13479.9,9967.48,18467.43,13641.21,12629.51,11858.94,10148.1,7402.59,5506.14,7420.05,7845.81,3690.66,6977.93,11179.72,5380.27,10389.74
hsa-miR-1-3p,30.6,15.3,18.97,17.05,8.38,13.31,2.36,8.21,12.83,6.94,6.31,10.4,16.26,18.26,6.2,107.64,26.22,3.18,9.15
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.22,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,2597.35,1982.1,3766.0,2007.22,3148.94,2727.16,1531.64,2587.84,3399.21,3058.25,1175.13,1073.14,2463.52,903.44,470.64,1342.24,3176.12,872.84,1219.56
hsa-miR-101-2-5p,0.26,1.65,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.45,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1756.77,472.99,778.93,692.62,810.31,1064.99,969.47,1061.8,1102.59,626.93,408.84,201.68,612.47,298.15,222.47,403.94,864.49,417.99,758.02
hsa-miR-101-5p,0.26,0.0,0.0,1.11,0.67,0.37,0.0,0.0,0.56,0.48,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.21,0.88
hsa-miR-10226,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,1.24,0.0,0.0,0.0,0.0,0.79,0.0,0.56,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-5p,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.19,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.34,0.0,0.18
hsa-miR-10395-3p,0.26,0.41,2.22,0.0,0.0,1.69,0.63,0.28,0.19,0.0,0.23,0.0,1.08,0.54,0.0,0.0,0.34,0.0,0.35
