miRNA,SRR17622163,SRR17622164,SRR17622165,SRR17622166,SRR17622167,SRR17622168,SRR17622169,SRR17622170,SRR17622171,SRR17622172,SRR17622173,SRR17622174,SRR17622175,SRR17622176,SRR17622177,SRR17622178,SRR17622179,SRR17622180,SRR17622181
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7a-3p,205.0,83.0,237.0,255.0,435.0,572.0,317.0,297.0,353.0,205.0,217.0,76.0,271.0,120.0,42.0,91.0,159.0,177.0,241.0
hsa-let-7a-5p,118000.0,26968.0,92081.0,75170.0,139644.0,136377.0,147979.0,59340.0,115961.0,83934.0,43539.0,25519.0,85296.0,64341.0,15850.0,20419.0,29421.0,33567.0,77792.0
hsa-let-7b-3p,88.0,14.0,53.0,55.0,108.0,145.0,70.0,76.0,82.0,56.0,48.0,8.0,30.0,29.0,8.0,21.0,33.0,33.0,82.0
hsa-let-7b-5p,101150.0,41537.0,129082.0,82114.0,112569.0,198070.0,107367.0,57551.0,92785.0,78578.0,73228.0,38946.0,79247.0,77380.0,11579.0,39285.0,28505.0,42282.0,107610.0
hsa-let-7c-3p,12.0,6.0,40.0,26.0,57.0,51.0,20.0,20.0,38.0,35.0,8.0,4.0,19.0,6.0,2.0,12.0,26.0,11.0,16.0
hsa-let-7c-5p,29689.0,11528.0,49300.0,29198.0,48004.0,66983.0,43543.0,18555.0,46396.0,57869.0,12863.0,10426.0,35079.0,48975.0,4690.0,14075.0,17171.0,9188.0,21096.0
hsa-let-7d-3p,598.0,174.0,643.0,518.0,784.0,793.0,387.0,493.0,485.0,282.0,298.0,102.0,529.0,253.0,46.0,276.0,199.0,241.0,480.0
hsa-let-7d-5p,9505.0,1159.0,4676.0,3975.0,7844.0,5425.0,11037.0,4489.0,7363.0,5265.0,1849.0,912.0,4453.0,5776.0,956.0,1464.0,1684.0,1488.0,4524.0
hsa-let-7e-3p,11.0,9.0,16.0,6.0,19.0,19.0,19.0,10.0,10.0,14.0,12.0,4.0,10.0,9.0,0.0,2.0,1.0,4.0,25.0
hsa-let-7e-5p,2289.0,893.0,3798.0,2615.0,6865.0,9112.0,8213.0,1738.0,3360.0,2402.0,1035.0,1657.0,5688.0,1951.0,407.0,1370.0,1149.0,1648.0,3949.0
hsa-let-7f-1-3p,42.0,10.0,4.0,24.0,34.0,42.0,55.0,23.0,20.0,30.0,15.0,2.0,20.0,19.0,1.0,7.0,21.0,18.0,14.0
hsa-let-7f-2-3p,7.0,0.0,0.0,3.0,8.0,17.0,16.0,1.0,13.0,4.0,5.0,0.0,6.0,7.0,1.0,3.0,4.0,2.0,5.0
hsa-let-7f-5p,63176.0,12212.0,39241.0,43697.0,83846.0,67817.0,113949.0,31199.0,69418.0,38945.0,18110.0,16985.0,52908.0,34312.0,7517.0,16729.0,16967.0,22155.0,37031.0
hsa-let-7g-3p,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,30142.0,4372.0,13620.0,13691.0,24098.0,19272.0,26897.0,9492.0,25207.0,19074.0,6768.0,3186.0,15410.0,24048.0,2257.0,4266.0,8209.0,5284.0,13380.0
hsa-let-7i-3p,21.0,1.0,22.0,10.0,40.0,39.0,25.0,14.0,30.0,15.0,15.0,0.0,5.0,8.0,0.0,5.0,17.0,5.0,18.0
hsa-let-7i-5p,112720.0,24867.0,64744.0,60878.0,59499.0,98494.0,86676.0,44616.0,63802.0,62838.0,32845.0,19056.0,34225.0,58446.0,8328.0,23597.0,32408.0,25396.0,59047.0
hsa-miR-1-3p,119.0,37.0,77.0,77.0,50.0,71.0,15.0,29.0,69.0,43.0,28.0,36.0,75.0,136.0,14.0,364.0,76.0,15.0,52.0
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,10101.0,4794.0,15283.0,9065.0,18797.0,14545.0,9732.0,9142.0,18288.0,18937.0,5214.0,3714.0,11363.0,6730.0,1062.0,4539.0,9207.0,4120.0,6931.0
hsa-miR-101-2-5p,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,6832.0,1144.0,3161.0,3128.0,4837.0,5680.0,6160.0,3751.0,5932.0,3882.0,1814.0,698.0,2825.0,2221.0,502.0,1366.0,2506.0,1973.0,4308.0
hsa-miR-101-5p,1.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0
hsa-miR-10226,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0
hsa-miR-10395-3p,1.0,1.0,9.0,0.0,0.0,9.0,4.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,2.0
