miRNA,SRR17646531,SRR17646532,SRR17646533,SRR17646534,SRR17646535,SRR17646536,SRR17646537,SRR17646538,SRR17646539,SRR17646540,SRR17646541,SRR17646542,SRR17646543,SRR17646544,SRR17646545,SRR17646546,SRR17646547,SRR17646548,SRR17646549,SRR17646550,SRR17646551,SRR17646552,SRR17646553,SRR17646554,SRR17646555,SRR17646556,SRR17646557,SRR17646558,SRR17646559,SRR17646560,SRR17646561,SRR17646562,SRR17646563,SRR17646564,SRR17646565
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,135.12,188.85,32.73,453.45,465.16,76.4,550.89,440.98,249.97,39.14,462.16,261.31,371.59,128.43,462.88,179.16,207.63,212.39,315.35,266.55,442.66,1396.85,1329.17,584.31,591.78,76.37,961.15,79.42,927.17,190.64,1032.09,510.67,358.94,189.36,380.95
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,18145.68,6841.69,5140.17,21890.49,20353.74,11078.59,35771.91,10850.52,15843.78,8021.47,26384.57,35123.12,20638.68,23041.68,27879.75,20302.82,7400.22,7477.49,9648.96,9975.51,32071.38,50946.7,52392.26,25667.66,31431.95,13775.97,106041.52,36092.43,37507.67,14165.2,43898.41,22030.56,21138.09,33320.57,16379.94
hsa-let-7c-5p,238.17,0.0,49.09,3.29,25.31,91.1,44.01,2.0,0.85,160.23,8.04,505.11,1.91,381.73,0.0,211.06,0.0,0.0,16.34,1.04,104.86,2.02,22.02,2.09,3.11,94.66,14.47,1019.99,56.25,314.19,5.73,18.85,1.0,754.35,1.1
hsa-let-7d-5p,1.15,1.13,0.0,0.0,25.31,0.0,73.34,1.0,3.39,0.0,6.7,1.35,5.72,1.19,5.34,11.54,0.0,1.95,1.92,1.04,3.2,1.01,2.0,1.4,2.08,0.0,14.47,0.89,9.04,0.0,0.96,1.82,1.0,5.12,1.1
hsa-let-7e-5p,33.21,7.92,0.0,1.64,22.9,0.0,3.26,32.0,3.39,0.0,2.68,5.39,3.81,0.0,4.0,0.0,0.0,0.97,11.54,1.04,3.2,3.02,0.0,26.53,3.11,0.0,6.33,3.57,4.02,4.26,5.73,2.43,2.01,5.12,1.1
hsa-let-7f-5p,383.59,33.93,84.15,188.94,209.68,255.66,369.98,209.99,43.21,225.06,184.86,476.82,247.73,324.65,126.73,209.02,29.84,84.76,129.79,274.85,279.36,312.43,258.23,245.73,420.48,50.56,379.76,134.75,441.99,91.59,203.55,183.6,250.65,222.11,303.88
hsa-let-7g-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.03,0.0,0.0,41.76,15.24,46.38,1.33,2.04,12.43,0.0,10.58,12.45,0.8,0.0,4.0,0.0,61.25,3.23,48.83,0.0,2.01,1.07,1.91,0.0,38.1,0.0,0.0
hsa-let-7i-5p,356.11,41.84,109.86,164.29,320.55,213.05,461.25,229.99,157.61,119.87,476.89,247.84,415.42,574.38,276.13,356.96,167.85,164.65,358.62,332.93,188.91,549.27,57.05,159.86,144.31,103.26,396.03,229.34,216.98,100.11,194.95,155.63,29.08,123.85,84.78
hsa-miR-1-3p,0.0,0.0,0.0,42.72,25.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.03,0.0,0.0,33.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
