miRNA,SRR17804000,SRR17804001
hsa-let-7a-3p,0.0,0.1
hsa-let-7a-5p,343.75,7547.03
hsa-let-7b-5p,799.59,4514.47
hsa-let-7c-5p,23.0,112.15
hsa-let-7d-5p,3.11,0.79
hsa-let-7e-5p,28.18,9.0
hsa-let-7f-5p,289.05,27157.43
hsa-let-7g-5p,83.92,8818.88
hsa-let-7i-5p,220.25,16613.75
hsa-miR-1-3p,141.1,248786.68
hsa-miR-100-5p,1259.57,4337.44
hsa-miR-101-3p,9.53,1134.48
hsa-miR-103a-3p,0.0,7.22
hsa-miR-106a-5p,0.83,0.1
hsa-miR-106b-3p,3.32,0.4
hsa-miR-106b-5p,0.83,0.1
hsa-miR-107,1.24,0.3
hsa-miR-10a-5p,121.63,1320.31
hsa-miR-10b-5p,458.74,816.91
hsa-miR-122-5p,150.22,0.1
hsa-miR-1246,16.78,109.78
hsa-miR-125a-5p,12.22,1625.22
hsa-miR-125b-5p,0.0,6892.41
hsa-miR-126-3p,18.65,16885.82
hsa-miR-126-5p,0.21,108.49
hsa-miR-127-3p,0.21,828.48
hsa-miR-128-3p,3.32,0.3
hsa-miR-129-1-3p,0.21,0.0
hsa-miR-129-5p,0.21,0.0
hsa-miR-1290,0.21,0.0
hsa-miR-133a-3p,0.0,1379.06
hsa-miR-133a-5p,28.8,0.0
hsa-miR-133b,0.0,0.59
hsa-miR-134-5p,15.13,0.0
hsa-miR-139-5p,1.45,1570.62
hsa-miR-140-3p,3.32,1263.15
hsa-miR-140-5p,0.62,0.1
hsa-miR-141-3p,0.0,0.1
hsa-miR-142-3p,3.52,0.59
hsa-miR-142-5p,11.81,0.89
hsa-miR-143-3p,396.58,36116.25
hsa-miR-144-3p,13.05,1.58
hsa-miR-144-5p,2.69,0.4
hsa-miR-146a-5p,41.44,0.2
hsa-miR-146b-5p,32.94,0.1
hsa-miR-148a-3p,2242.74,25134.94
hsa-miR-148b-3p,52.63,2222.67
hsa-miR-149-5p,0.0,37.19
hsa-miR-150-5p,0.41,1.29
hsa-miR-151a-3p,740.95,11286.32
hsa-miR-151a-5p,0.21,0.0
hsa-miR-152-3p,0.0,0.1
hsa-miR-15a-5p,0.41,0.1
hsa-miR-15b-3p,0.0,0.2
hsa-miR-15b-5p,5.18,0.79
hsa-miR-16-5p,28.59,6.23
hsa-miR-17-5p,19.89,1.19
hsa-miR-181a-3p,0.0,0.3
hsa-miR-181a-5p,42.68,1.58
hsa-miR-181b-5p,12.22,2.57
hsa-miR-181c-5p,0.0,0.1
hsa-miR-181d-5p,0.0,250.91
hsa-miR-182-5p,39.37,1.09
hsa-miR-183-5p,0.21,0.59
hsa-miR-184,17.4,21.46
hsa-miR-185-5p,0.41,0.2
hsa-miR-186-5p,14.3,2.37
hsa-miR-18a-5p,0.21,0.1
hsa-miR-191-5p,56.15,3806.84
hsa-miR-192-5p,60.5,3262.9
hsa-miR-193a-5p,11.19,0.0
